courseId,numStudents,computers,projector,whiteboard,internet,audio,printer,backup-power
BI023,280,0,0,0,1,1,0,0
BI025,100,0,0,0,0,1,0,0
BI033,64,0,0,0,0,0,0,0
BI037,73,0,0,1,1,0,0,0
BI039,73,1,0,0,0,0,0,0
BI041,68,0,1,0,0,0,0,0
BI059,67,0,0,0,0,1,0,0
BI070,45,0,0,0,0,0,0,0
BI101,42,0,0,0,0,0,0,0
BI105,25,0,0,0,0,0,0,0
BI128,303,0,0,0,1,0,0,0
BI138,134,0,0,0,0,0,0,0
BI154,88,0,0,0,0,0,0,0
BI155,85,0,0,0,0,0,0,1
BI228,86,1,0,0,0,0,0,1
BI232,54,0,0,0,0,1,0,0
BI257,30,0,0,1,0,0,0,0
BI285,77,0,0,0,0,1,0,0
BI289,54,0,0,0,1,1,0,1
BI291,16,0,0,0,0,0,0,1
BI296,29,0,1,0,0,0,0,0
BI324,9,0,0,0,0,0,1,1
BI336,35,0,0,0,1,0,0,1
BI374,34,0,0,1,0,0,0,0
BI390,3,0,1,0,0,0,1,0
BI409,61,0,0,0,0,0,0,0
BI417,60,0,0,0,0,0,0,0
BI433,61,1,0,1,0,0,0,0
BI463,50,0,0,0,0,0,1,0
BI507,61,0,1,1,0,0,0,0
BI529,90,0,0,0,0,1,0,1
BI534,57,0,0,1,0,0,0,1
BI544,55,0,0,0,0,1,0,0
BI551,63,0,0,0,0,0,0,0
BI586,175,0,0,1,0,0,1,0
BI593,41,1,0,0,0,0,0,0
BI597,81,1,0,0,0,0,1,0
BI624,63,0,0,1,1,0,0,0
BI636,95,0,0,0,0,0,0,0
BI641,56,0,0,0,0,1,0,1
BI654,62,0,0,0,0,0,0,0
BI666,61,0,0,0,0,1,1,0
BI679,63,1,0,0,0,0,0,0
BI682,61,0,0,0,0,0,0,1
BI727,166,0,0,1,0,0,0,0
BI728,124,0,0,1,0,1,0,0
BI734,58,1,0,0,0,0,0,1
BI747,54,0,0,0,0,0,0,0
BI761,521,0,0,0,0,0,1,1
BI768,276,0,0,1,0,0,0,0
BI781,45,0,0,1,1,0,1,1
BI790,47,0,1,0,0,0,0,0
BI806,45,0,0,1,0,0,0,1
BI810,46,0,1,0,1,0,1,0
BI839,46,1,1,0,0,1,0,0
BI848,106,1,0,0,1,1,0,0
BI861,58,0,1,0,0,0,0,0
BI907,62,0,0,0,0,0,0,0
BI943,58,0,0,0,0,0,0,0
BI966,62,0,1,0,0,0,0,0
BI985,52,0,0,0,0,0,1,0
CA018,47,0,0,0,0,0,0,0
CA021,42,1,0,0,0,1,0,0
CA027,50,1,0,1,0,1,0,0
CA035,26,1,0,1,0,0,1,0
CA042,21,0,0,0,1,0,0,0
CA047,68,1,1,0,0,0,0,1
CA072,34,0,0,0,0,0,0,0
CA084,10,0,0,0,0,1,0,1
CA099,31,0,0,0,0,0,0,0
CA141,332,1,0,0,0,0,0,1
CA164,24,0,0,0,1,0,0,1
CA182,133,0,0,0,1,1,0,0
CA208,11,0,0,0,0,1,0,0
CA252,22,0,0,0,0,0,0,0
CA339,31,0,0,0,0,1,0,0
CA370,34,0,1,1,0,1,0,0
