RoomId,Capacity,computers,projector,whiteboard,internet,audio,printer,backup-power
Room1,100,1,1,1,1,1,1,1
Room2,100,1,1,1,1,1,1,1
Room3,100,0,1,1,1,1,1,1
Room4,100,1,1,1,1,0,1,1
Room5,100,1,0,1,1,1,1,1
Room6,100,0,1,1,1,0,1,0
Room7,100,0,1,0,0,1,0,0
Room8,100,1,1,0,1,0,1,1
Room9,100,1,1,1,0,1,1,1
Room10,100,1,1,1,1,0,1,1
Room11,100,0,1,0,1,0,1,0
Room12,100,0,1,1,1,1,1,0
Room13,200,1,1,1,1,1,1,1
Room14,200,1,1,1,1,1,1,1
Room15,200,0,1,1,1,1,1,1
Room16,300,1,1,1,1,1,1,1
Room17,400,1,1,1,1,1,1,1
Room18,500,1,1,1,1,1,1,1
Room19,590,1,1,1,1,1,1,1
Room20,690,1,1,1,1,1,1,1
Room21,890,1,1,1,1,1,1,1
Room22,1570,1,1,1,1,1,1,1
