rollNum,coursesEnrolled
23BI00020,CH828
23BI00064,CH657
23BI00095,GO678
23BI00200,BI041
23BI00239,CH648 CH657
23BI00286,MA288
23BI00308,ST869 ST878 ST889
23BI00315,GO550
23BI00385,CA616 CH720 CH740
23BI00458,BI070
23BI00543,CH874
23BI00564,BI101
23BI00612,CA465
23BI00650,EN162
23BI00728,BI037
23BI00785,PY027
23BI00814,HI025
23BI00837,CH828
23BI00898,PY494
23BI00902,BI232
23BI00993,CA812
23BI01009,CH221
23BI01025,BI985
23BI01048,BI761
23BI01150,BI059
23BI01159,BI037
23BI01380,HI426
23BI01390,BI761 BI806
23BI01569,BI374
23BI01600,GO822
23BI01602,BI023
23BI01676,ST711
23BI01681,CH454
23BI01683,MA287
23BI01789,BI761
23BI01828,PY671
23BI01880,BI848 CA405
23BI01919,GO822
23BI02050,GO919 GO955
23BI02061,BI059
23BI02106,CH218
23BI02113,CH874
23BI02137,HI455
23BI02173,HI511
23BI02191,MA228 MA237 MA393 MA583
23BI02317,ST765 ST820 ST822
23BI02318,BI155
23BI02333,CH740
23BI02448,BI070
23BI02664,EN713 EN755
23BI02823,HI832
23BI03078,CA836 EN889
23BI03086,GO822
23BI03108,BI761 CH657 GO825 HI004 HI280
23BI03136,HI025
23BI03157,BI761
23BI03284,MA534
23BI03389,BI985 CA772 CH675
23BI03433,GO186
23BI03589,BI039
23BI03676,GO919 GO955
23BI03681,EN943 GO013 GO034 GO336
23BI03720,HI816
23BI03918,EN377 MA982
23BI03925,BI985 CA018
23BI03940,CA141
23BI03968,HI816
23BI03991,EN950 GO013
23BI04028,BI768
23BI04031,GO997 HI039
23BI04033,BI761
23BI04088,GO955
23BI04106,CA812 GO997
23BI04124,BI039
23BI04157,BI374
23BI04224,HI658
23BI04278,CH254
23BI04307,EN377
23BI04338,BI727 CH285 GO997
23BI04378,GO396
23BI04487,CH727
23BI04536,BI023
23BI04585,PY250
23BI04721,BI039
23BI04806,BI768
23BI04908,GO822
23BI05077,HI664
23BI05223,CH657 MA287
23BI05289,CA027
23BI05291,HI511
23BI05321,GO092 GO155 GO161
23BI05455,CH648
23BI05555,EN943
23BI05585,EN775
23BI05600,GO857
23BI05658,GO825
23BI05799,HI301 MA106 MA287
23BI05808,HI039
23BI05918,GO967 HI025 PY494
23BI05952,CH874
23BI05969,BI768 GO825
23BI06043,EN898 GO822 MA287 ST657
23BI06049,EN645 EN832
23BI06061,EN375
23BI06077,BI761
23BI06376,PY044 PY477 ST711
23BI06410,HI025
23BI06427,GO822
23BI06559,CA768 GO718
23BI06658,MA984
23BI06858,CA405
23BI06867,GO857 HI025
23BI06869,ST765
23BI06892,CA141
23BI06912,HI822
23BI07034,CA817 CA858
23BI07093,HI972
23BI07118,HI892 MA073
23BI07201,BI848
23BI07313,HI039
23BI07391,GO822
23BI07506,EN377 ST711
23BI07522,HI816
23BI07682,HI822
23BI07734,MA982
23BI07808,GO801
23BI07899,HI732
23BI07927,CA141
23BI08064,EN377
23BI08071,EN377
23BI08075,EN907
23BI08169,HI700
23BI08177,CA852
23BI08198,CH525
23BI08199,BI033
23BI08264,BI155 BI985
23BI08276,BI128
23BI08456,MA228
23BI08458,HI262
23BI08466,GO997
23BI08525,HI046 HI156 MA311
23BI08591,BI641
23BI08595,CH218 MA287
23BI08634,CH285
23BI08713,HI466 MA295 MA583 PY461
23BI08780,GO909 HI268
23BI08808,CA947
23BI08838,GO822
23BI08853,BI682
23BI08984,HI967
23BI09024,HI681 MA018
23BI09057,BI848
23BI09078,CH648
23BI09132,CH648
23BI09141,GO822
23BI09148,GO299 MA223
23BI09182,GO857
23BI09261,PY250
23BI09283,BI768 CH454 CH657
23BI09294,PY494
23BI09312,CH657
23BI09357,BI023
23BI09411,PY769
23BI09464,HI967
23BI09485,CH657
23BI09529,CH995
23BI09584,CH525
23BI09604,HI455
23BI09635,HI816
23BI09731,CA817
23BI09743,BI037 BI059 BI101
23BI09746,CH657
23BI09748,MA287
23BI09826,CA537
23BI09998,CA141 GO467 GO718
23BI10004,MA119
23BI10038,CH987 EN581 GO396 HI673
23BI10178,BI848
23BI10220,HI235
23BI10298,BI761
23BI10316,CH758
23BI10330,CA836
23BI10339,GO437
23BI10353,GO955 HI816 MA166
23BI10408,MA920
23BI10454,BI768
23BI10520,PY085 PY274
23BI10534,EN377
23BI10595,ST711
23BI10737,EN375
23BI10803,BI985
23BI10811,CH817
23BI10901,BI128
23BI10911,BI285 BI291
23BI10952,HI455
23BI10991,CA768
23BI10999,PY345 PY381 PY407 PY450
23BI11084,GO188 PY145 PY705 PY742 PY769 ST322
23BI11112,EN091 EN185
23BI11114,CA141 EN394
23BI11131,HI816
23BI11132,CH315 CH383
23BI11299,EN377
23BI11310,EN943
23BI11324,MA982 PY044 ST745 ST765 ST802
23BI11411,MA948
23BI11422,GO570
23BI11445,HI816
23BI11550,ST734
23BI11587,CA141
23BI11590,PY609
23BI11597,EN421
23BI11663,BI128
23BI11790,CA976
23BI11805,BI409
23BI11828,EN889
23BI11895,GO822
23BI11944,CH860 EN377 MA920 ST711
23BI11990,BI059
23BI12039,CH987
23BI12054,BI761
23BI12063,GO313
23BI12077,GO997
23BI12086,CA552
23BI12140,CA900 CA947
23BI12152,HI301
