courseId,numStudents,computers,projector,whiteboard,internet,audio,printer,backup-power
BI025,152,0,0,0,0,0,0,0
BI045,103,1,0,0,0,0,0,1
BI049,214,0,1,0,0,0,0,0
BI060,117,0,0,1,0,0,0,0
BI066,70,0,0,0,0,0,0,0
BI086,147,0,0,0,0,1,0,0
BI102,47,0,0,1,0,1,0,0
BI103,48,1,0,0,1,0,0,0
BI105,81,0,0,1,1,1,0,0
BI167,20,0,0,0,0,0,0,0
BI174,26,0,0,0,0,1,0,0
BI188,64,1,0,1,0,0,0,0
BI190,37,1,0,0,0,0,0,0
BI212,45,0,0,0,0,0,0,0
BI227,13,0,0,0,0,0,1,1
BI252,4,0,0,0,0,0,0,0
BI259,198,0,0,0,1,0,0,1
BI309,48,0,0,0,0,0,0,0
BI336,71,0,0,1,0,0,1,0
BI337,88,0,0,0,0,0,0,0
BI370,92,0,0,0,0,1,0,0
BI375,69,0,0,0,0,0,1,0
BI387,47,0,0,0,0,0,0,0
BI425,44,0,1,0,0,0,0,0
BI446,114,0,0,1,0,0,0,1
BI457,63,0,1,0,0,0,0,0
BI496,61,0,0,0,0,1,0,0
BI518,39,0,0,0,1,0,0,0
BI544,29,0,0,0,1,0,1,0
BI547,10,0,0,0,1,1,1,0
BI558,30,0,0,0,0,0,0,0
BI563,14,0,0,1,0,0,0,1
BI564,4,0,0,0,1,0,0,0
BI570,26,1,1,0,0,0,1,0
BI572,23,1,1,0,0,0,1,0
BI601,15,1,1,0,0,0,0,1
BI624,2,0,0,0,0,0,1,0
BI628,53,0,0,0,1,1,0,0
BI637,57,0,1,0,0,0,0,0
BI641,85,0,0,0,0,0,0,0
BI661,56,0,0,0,0,0,0,0
BI666,53,0,0,0,0,0,0,0
BI672,57,0,0,1,1,0,0,0
BI676,46,1,1,1,0,0,0,0
BI687,81,0,0,0,0,1,1,0
BI695,51,0,0,1,1,0,0,0
BI704,53,0,0,0,0,0,0,0
BI723,213,0,0,0,0,0,0,0
BI735,48,0,0,0,0,0,0,0
BI736,98,0,1,0,0,0,0,0
BI747,104,1,0,0,0,0,0,0
BI760,107,0,0,1,0,0,0,1
BI766,55,1,0,0,0,0,0,1
BI783,54,1,1,0,0,1,0,0
BI807,83,0,0,0,1,1,0,0
BI814,89,1,1,1,0,0,0,0
BI841,51,0,0,0,0,1,0,0
BI846,103,0,0,0,0,0,0,0
BI861,333,0,0,0,0,1,1,0
BI868,100,0,0,0,0,0,0,0
BI873,34,0,0,1,1,1,0,0
BI876,40,0,0,1,1,1,0,0
BI882,46,1,0,0,0,0,0,0
BI890,47,0,1,1,1,1,0,0
BI905,44,0,0,0,0,0,1,0
BI929,51,0,0,1,0,0,1,1
BI946,50,0,1,0,0,0,1,1
BI952,77,1,0,0,1,0,0,0
BI959,69,0,0,0,0,0,0,0
BI961,60,1,1,0,0,0,0,0
BI964,43,0,0,0,0,1,0,0
BI967,86,0,0,0,0,0,0,0
BI989,60,0,0,0,0,0,0,0
BI990,60,1,0,0,1,1,1,0
CA047,98,0,0,0,1,1,0,0
CA052,94,0,0,0,0,1,0,0
CA063,42,0,1,1,1,0,0,0
CA089,54,0,0,0,0,1,0,0
CA098,85,0,0,0,1,0,0,0
CA127,46,0,0,0,0,0,0,1
CA205,64,1,0,1,0,0,0,0
CA206,151,0,0,0,0,0,0,0
CA207,48,0,0,0,1,0,1,1
CA212,64,0,0,1,0,0,1,1
CA225,47,0,0,1,0,0,0,0
CA229,60,0,1,0,0,0,0,1
CA232,62,0,0,0,0,0,1,0
CA237,23,0,1,0,0,0,1,0
CA262,43,1,0,1,0,0,0,0
CA319,15,0,1,0,1,0,0,0
CA330,12,0,0,0,0,0,0,0
CA349,8,0,0,1,0,0,1,0
CA355,90,0,0,0,0,1,1,0
CA356,182,0,0,0,1,0,0,0
CA362,187,0,0,0,1,0,1,0
CA366,54,0,0,0,0,0,0,0
CA378,30,0,0,0,0,0,1,0
CA397,42,0,0,0,0,1,0,0
CA398,40,0,0,0,0,0,1,0
CA446,22,0,0,0,1,0,0,1
CA455,35,0,0,1,0,0,0,0
CA469,53,0,0,0,0,0,0,0
CA485,51,0,0,1,0,0,1,0
CA497,20,0,1,0,1,0,1,0
CA499,264,1,0,1,0,0,1,0
CA512,37,0,0,0,0,0,1,0
CA531,104,0,0,0,0,0,0,0
CA569,16,0,1,0,1,1,0,0
CA596,17,0,0,1,0,1,0,1
CA614,24,0,0,0,0,0,0,0
CA620,20,0,0,0,0,0,0,0
CA629,40,0,0,0,0,0,0,1
CA635,27,1,0,1,0,0,0,0
CA639,19,1,1,0,0,0,0,0
CA671,83,0,1,0,0,1,0,0
CA705,21,1,0,0,0,1,0,0
CA714,20,1,0,1,0,0,1,0
CA722,71,0,1,0,1,0,0,0
CA746,23,1,0,0,0,0,1,0
CA754,25,0,0,0,1,0,0,0
CA756,32,1,0,0,0,0,0,0
CA757,40,1,0,0,0,0,0,0
CA772,26,0,0,0,0,0,0,0
CA779,47,0,0,0,0,0,0,1
CA785,37,0,1,0,0,0,0,0
CA787,66,0,1,0,0,1,0,0
CA789,9,1,0,0,0,0,0,0
CA821,35,1,0,0,1,0,0,0
CA840,18,0,1,0,0,0,0,0
CA847,16,0,1,0,1,0,0,0
CA850,17,0,0,0,0,0,0,1
CA873,12,0,1,0,0,0,1,1
CA877,9,0,1,0,0,1,0,0
CA880,79,0,0,0,0,0,0,0
CA881,48,1,0,0,0,1,1,0
CA882,20,0,0,1,0,0,0,0
CA890,35,0,0,0,0,0,0,0
CA909,17,0,0,0,0,0,0,0
CA920,11,0,1,0,0,0,0,0
