RoomId,Capacity,computers,projector,whiteboard,internet,audio,printer,backup-power
Room1,80,1,1,1,1,1,1,1
Room2,80,1,1,0,1,1,1,0
Room3,80,0,1,1,1,1,1,1
Room4,80,1,1,0,1,0,1,1
Room5,80,1,0,1,0,1,0,0
Room6,80,1,0,1,1,0,1,1
Room7,80,1,0,1,0,1,1,1
Room8,80,1,1,1,0,1,1,1
Room9,80,1,1,0,1,0,1,1
Room10,80,1,1,1,0,1,0,1
Room11,80,1,0,1,1,1,1,0
Room12,80,0,1,1,0,1,0,1
Room13,160,1,1,1,1,1,1,1
Room14,160,1,1,1,1,0,0,1
Room15,160,1,1,1,1,0,1,1
Room16,160,1,1,0,1,1,1,0
Room17,160,0,1,1,1,1,1,1
Room18,240,1,1,1,1,1,1,1
Room19,310,1,1,1,1,1,1,1
Room20,390,1,1,1,1,1,1,1
Room21,470,1,1,1,1,1,1,1
Room22,540,1,1,1,1,1,1,1
Room23,620,1,1,1,1,1,1,1
Room24,700,1,1,1,1,1,1,1
Room25,1390,1,1,1,1,1,1,1
