rollNum,coursesEnrolled
23BI00059,EN579 EN592
23BI00071,ST634
23BI00200,CH570
23BI00213,EN196
23BI00244,MA801
23BI00278,CH528 CH570
23BI00279,CH463
23BI00292,BI049 BI959
23BI00375,CA366
23BI00401,BI861
23BI00408,HI775
23BI00536,ST721 ST745 ST746
23BI00539,MA801
23BI00554,CH888 EN227
23BI00566,BI190
23BI00585,HI331 MA578 MA674
23BI00624,CA398
23BI00827,MA806
23BI00841,BI337
23BI00949,BI868 CA063
23BI00951,EN964 GO671
23BI00965,BI060 BI086 BI103
23BI00978,HI836
23BI00983,ST619
23BI01089,EN800 GO188
23BI01212,CA840
23BI01241,EN592
23BI01259,BI868 BI946
23BI01261,MA882
23BI01287,BI564
23BI01377,CH362
23BI01412,CH486
23BI01532,BI387 CA212
23BI01598,HI808
23BI01667,BI066
23BI01726,EN963
23BI01757,BI105
23BI01785,HI836
23BI01809,CH888
23BI01829,BI259
23BI01830,CA850
23BI01872,CA052 PY026
23BI01910,CA937
23BI01949,BI259
23BI01999,PY786
23BI02039,HI545
23BI02067,ST785
23BI02105,ST016
23BI02218,BI929
23BI02250,HI864
23BI02293,BI890 HI805
23BI02323,CH404 CH454
23BI02337,MA195
23BI02684,GO464 GO471
23BI02779,GO671
23BI02873,GO762 GO839 HI055 HI212
23BI02880,HI757 ST585
23BI02884,EN937
23BI02920,EN194
23BI02984,MA536
23BI02991,CA705
23BI03097,CA047
23BI03308,MA105
23BI03314,CA047
23BI03338,CH761 CH802
23BI03347,CA998
23BI03402,BI868
23BI03462,CH511
23BI03487,BI861
23BI03579,BI861
23BI03606,HI201
23BI03609,BI425
23BI03727,MA602
23BI03928,BI252
23BI03952,ST619
23BI03982,EN964
23BI03996,CA229 CH936
23BI04087,CA237
23BI04089,BI086
23BI04106,CA366 CA397 CA469 HI553
23BI04122,GO904
23BI04165,CA840
23BI04194,BI807
23BI04264,HI757
23BI04268,HI456
23BI04342,BI861
23BI04397,PY603
23BI04458,BI457
23BI04462,EN757 MA202
23BI04472,BI868 BI946 CH214 EN265
23BI04534,BI861 HI560
23BI04634,BI259 CH237 CH528
23BI04643,BI601
23BI04760,BI861
23BI04809,EN964 HI861
23BI04829,CA063
23BI04842,PY925
23BI04890,GO184 GO202 GO308
23BI04912,MA693
23BI04916,BI188 EN480
23BI04982,EN624
23BI05084,HI769 MA442 MA516
23BI05112,CA098
23BI05171,GO671
23BI05184,BI861
23BI05210,HI089
23BI05217,ST585
23BI05332,GO184
23BI05355,GO762 GO837 HI199 MA661 MA882
23BI05424,BI188
23BI05435,MA891
23BI05438,HI545
23BI05490,BI946
23BI05694,CH138
23BI05870,BI723
23BI05920,BI259 HI769 MA893
23BI06006,HI460
23BI06015,MA442
23BI06089,HI642
23BI06148,CH761 MA505 MA646
23BI06202,PY366
23BI06279,BI601 CA212 CA330
23BI06311,EN265
23BI06330,CA880
23BI06404,MA442
23BI06426,PY603
23BI06433,HI769
23BI06487,BI959
23BI06493,CH463
23BI06584,GO430 PY376 PY426
23BI06646,CH404
23BI06692,EN203 MA930
23BI06769,HI509
23BI06829,EN112
23BI06915,BI025
23BI06928,PY987
23BI06931,EN964
23BI06949,HI509
23BI06982,CA821
23BI07004,CH500
23BI07320,GO228
23BI07342,ST746
23BI07369,CH761 EN164
23BI07442,MA959 PY096
23BI07506,GO633
23BI07543,BI861
23BI07599,CH761
23BI07645,HI864
23BI07752,GO631
23BI07883,GO352 GO353 GO394
23BI07930,CH802
23BI07988,EN707 MA806
23BI08016,CA705
23BI08104,PY537
23BI08203,CA262
23BI08266,PY773
23BI08298,HI331 HI545
23BI08431,GO217
23BI08511,HI575
23BI08583,ST658
23BI08656,GO415
23BI08661,HI560 HI587
23BI08663,MA442
23BI08672,BI457 BI814
23BI08707,CH269
23BI08750,HI155
23BI08761,HI456
23BI08762,HI808
23BI08779,BI212
23BI08845,HI836
23BI08905,HI864
23BI08932,EN499
23BI09012,EN964
23BI09076,CA499
23BI09125,GO739
23BI09582,BI259 MA930
23BI09653,HI957
23BI09722,CH269 CH804 CH888
23BI09777,CA499
23BI09781,GO236 MA933
23BI09784,MA882
23BI09848,BI807
23BI09959,EN964
23BI09985,CH269 CH571 HI749
23BI09987,HI331
23BI10025,BI188 BI190
