courseId,numStudents,computers,projector,whiteboard,internet,audio,printer,backup-power
BI003,24,0,0,0,0,0,0,0
BI099,1,0,0,0,0,1,0,1
BI142,89,1,0,0,1,0,0,0
BI173,38,0,0,1,0,0,0,1
BI197,59,0,0,0,0,1,0,1
BI277,49,1,0,0,0,0,0,0
BI305,15,0,0,0,0,0,0,0
BI329,62,0,0,0,0,1,1,1
BI344,174,0,0,0,0,0,0,0
BI370,45,0,1,0,0,0,1,0
BI383,93,0,0,1,1,0,0,1
BI411,30,0,0,0,0,0,0,0
BI415,33,0,1,0,0,1,0,0
BI627,31,0,0,0,0,0,0,0
BI629,48,1,0,0,0,0,0,0
BI637,1,0,0,0,0,0,1,0
BI750,32,0,0,0,1,0,0,1
BI757,41,1,0,1,1,0,0,0
BI867,53,0,0,0,1,0,1,0
BI883,232,0,0,0,0,0,0,1
BI896,7,0,0,0,0,0,1,1
BI947,37,0,0,0,0,0,1,0
CA055,81,0,1,1,0,0,0,0
CA116,225,0,0,0,0,0,0,0
CA121,45,1,0,0,0,0,0,0
CA165,79,0,0,0,0,0,1,0
CA257,159,0,0,0,0,0,0,1
CA319,23,0,0,1,0,0,0,1
CA395,84,0,0,1,0,0,0,1
CA398,89,0,1,0,0,1,0,0
CA409,24,0,1,0,0,0,0,0
CA452,17,0,0,1,0,0,1,0
CA459,25,0,0,0,0,1,1,1
CA578,53,1,0,0,0,0,0,0
CA593,13,1,1,0,0,1,1,0
CA762,1,0,0,0,0,1,0,1
CA814,30,1,0,0,1,0,0,0
CA827,29,0,0,0,0,0,0,0
CA847,125,0,0,0,0,0,0,1
CA870,23,0,0,1,0,0,1,0
CA886,38,0,0,0,1,0,0,1
CA968,1,0,1,0,1,0,0,0
CA973,27,0,0,0,0,1,0,0
CH152,17,0,0,0,1,0,0,0
CH177,59,0,0,0,0,0,1,1
CH272,34,0,0,0,0,0,0,0
CH276,121,0,0,0,0,0,0,0
CH302,41,0,0,0,0,0,0,0
CH399,1,0,1,0,0,0,0,0
CH460,23,1,0,0,0,1,0,0
CH461,1,0,0,1,1,0,0,0
CH508,82,0,0,0,1,0,1,1
CH526,27,0,1,0,0,0,0,0
CH537,12,0,0,1,0,1,0,1
CH585,30,0,0,0,0,0,0,0
CH589,1,0,0,0,0,0,1,0
CH703,64,1,1,0,1,0,0,0
CH720,30,0,0,0,0,1,0,0
CH757,82,1,0,1,0,0,0,0
CH798,34,0,0,0,0,1,1,0
CH806,36,0,0,0,0,1,0,0
CH901,216,0,0,0,0,0,0,0
CH908,2,0,0,1,0,0,0,0
CH950,118,0,0,0,1,1,0,0
EN025,19,1,1,0,0,1,0,0
EN116,23,1,0,0,0,1,1,0
EN136,50,0,0,0,0,0,1,0
EN258,28,0,0,1,0,0,0,0
EN380,18,0,0,0,0,0,0,0
EN404,26,0,0,0,0,1,1,0
EN435,25,0,1,0,0,0,0,1
EN450,26,0,0,0,0,0,0,0
EN469,20,0,0,0,1,0,0,0
EN481,11,0,0,0,0,0,0,1
EN538,13,0,0,0,1,0,1,1
EN606,38,0,0,1,0,1,0,0
EN633,96,0,1,0,1,1,0,1
EN748,112,1,0,1,0,1,0,0
EN784,3,0,1,0,1,0,0,0
EN815,31,0,0,0,0,0,1,1
EN817,71,0,0,0,0,0,0,0
EN819,10,0,0,0,0,0,0,0
EN840,152,1,0,0,0,0,0,0
EN887,73,0,0,0,1,1,0,0
EN937,34,0,1,0,0,1,0,0
GO048,133,0,0,1,1,0,0,1
GO081,178,0,0,0,0,0,0,0
GO108,44,0,1,1,1,0,0,0
GO236,58,0,0,1,0,0,1,1
GO320,125,0,0,0,0,0,0,0
GO334,16,0,0,1,0,0,1,1
GO365,20,0,0,0,0,1,0,0
GO397,19,0,0,1,1,0,0,1
GO399,8,0,0,0,0,0,1,1
GO459,25,0,1,0,0,0,0,0
GO515,21,0,0,0,0,0,0,1
GO541,14,0,1,0,1,0,0,0
GO595,10,1,0,0,1,0,0,0
GO663,5,0,0,0,0,0,0,0
GO684,1,0,0,1,0,0,1,0
GO744,81,0,0,0,0,0,0,1
GO837,21,1,0,0,0,0,0,0
GO916,26,0,0,0,0,0,0,0
GO979,24,0,0,0,1,0,0,0
GO996,30,0,0,1,0,1,0,0
HI020,1,1,0,0,0,0,0,0
HI087,6,0,0,0,0,0,0,0
HI097,68,0,1,1,0,0,0,0
HI191,24,0,1,1,1,0,0,0
HI255,4,0,0,0,0,0,0,1
HI261,22,1,0,0,1,0,1,0
HI408,24,0,0,0,0,0,1,0
HI431,24,1,0,0,0,1,0,0
HI475,4,0,0,0,0,0,0,0
HI505,6,1,1,0,0,0,0,0
HI544,63,0,1,0,0,0,0,1
HI560,94,0,0,0,1,0,0,0
HI612,10,0,1,0,0,0,0,1
HI664,4,0,1,0,0,0,0,0
HI745,67,0,1,0,0,0,1,0
HI757,61,1,0,0,0,0,0,1
HI781,16,0,0,0,1,0,0,1
HI866,41,1,0,0,0,1,0,0
HI929,42,0,0,0,1,0,1,0
HI979,44,0,0,0,0,0,0,0
HI980,27,0,0,0,0,1,0,0
MA035,133,1,1,0,1,1,1,0
MA063,94,0,0,0,0,0,1,0
MA113,27,0,0,0,0,0,0,0
MA152,29,1,1,0,0,0,1,0
MA172,130,1,1,0,0,1,0,0
MA178,23,0,0,0,0,0,1,0
MA213,79,1,0,0,0,0,0,0
MA244,2,0,0,0,0,0,0,0
MA260,38,0,0,1,0,0,0,0
MA311,67,0,0,0,1,0,0,0
MA440,220,1,0,0,1,0,0,0
MA491,36,0,1,0,0,0,0,0
MA596,33,1,0,0,0,0,0,0
MA647,42,0,0,1,0,0,0,0
MA739,30,1,0,0,1,1,0,0
MA799,89,1,0,0,0,0,0,0
MA865,82,1,0,0,0,0,1,0
MA867,18,0,0,0,0,1,0,0
MA944,26,0,0,1,0,0,0,1
MA972,19,0,0,0,0,1,0,0
PY001,65,0,0,0,0,1,0,0
PY014,11,1,0,0,0,0,1,0
PY041,7,1,0,0,0,0,0,1
PY048,15,0,0,0,1,0,0,0
PY084,45,0,0,0,1,0,0,0
PY164,19,0,0,1,1,0,0,1
PY191,33,0,1,0,1,0,0,0
PY240,20,0,0,0,0,1,0,0
PY303,44,0,0,1,0,0,1,0
PY430,6,0,0,0,1,0,1,0
PY528,99,0,0,0,0,0,1,0
PY613,1,0,0,0,1,0,0,0
PY622,76,0,0,0,0,1,0,1
PY633,28,0,0,1,0,0,0,0
PY771,32,0,0,0,0,0,0,0
PY805,1,0,1,0,0,0,0,0
PY847,13,1,0,0,0,0,0,1
PY853,26,0,1,0,0,1,0,0
PY884,27,1,1,1,0,1,0,0
PY895,12,0,1,0,0,0,0,0
PY965,23,0,0,0,0,0,0,0
PY980,41,0,0,0,0,0,0,1
ST049,1,0,0,1,0,0,0,0
ST073,21,0,1,0,0,0,1,0
ST110,10,0,0,0,0,0,0,0
ST128,10,0,0,0,0,1,0,0
ST190,15,0,0,0,0,0,0,0
ST277,9,0,0,0,0,0,0,0
ST286,12,0,1,0,0,0,0,0
ST311,26,1,0,0,0,0,0,0
