courseId,2025-03-03 10:00:00,2025-03-03 14:00:00,2025-03-04 10:00:00,2025-03-04 14:00:00,2025-03-05 10:00:00,2025-03-05 14:00:00,2025-03-06 10:00:00,2025-03-06 14:00:00,2025-03-07 10:00:00,2025-03-07 14:00:00,2025-03-10 10:00:00,2025-03-10 14:00:00,2025-03-11 10:00:00,2025-03-11 14:00:00,2025-03-12 10:00:00,2025-03-12 14:00:00,2025-03-13 10:00:00,2025-03-13 14:00:00,2025-03-14 10:00:00,2025-03-14 14:00:00,2025-03-17 10:00:00,2025-03-17 14:00:00,2025-03-18 10:00:00,2025-03-18 14:00:00
BI003,1,4,4,2,3,2,4,4,3,3,3,3,3,2,1,4,3,3,3,3,1,3,3,4
BI099,3,1,4,3,5,5,4,2,2,4,3,2,2,3,4,3,3,4,4,5,2,5,3,2
BI142,3,2,2,5,2,5,3,5,4,3,3,5,3,2,5,3,1,4,3,3,3,1,3,3
BI173,3,5,4,3,3,4,3,3,3,3,5,1,3,5,5,4,3,3,2,3,3,1,4,3
BI197,4,3,3,2,3,3,5,3,3,4,3,4,3,3,3,3,2,3,3,3,3,3,4,3
BI277,2,4,3,4,3,5,2,2,3,5,2,4,1,2,3,3,2,2,2,3,2,3,2,3
BI305,4,2,3,2,4,4,3,1,2,3,3,3,3,2,3,2,5,1,1,3,1,4,4,3
BI329,4,4,2,4,4,3,4,4,4,1,1,5,3,3,5,1,3,3,1,3,4,1,4,5
BI344,5,3,4,4,4,3,3,2,1,3,3,3,5,1,4,1,3,3,2,4,3,3,5,1
BI370,3,3,3,3,4,3,3,4,2,3,3,3,3,4,3,4,3,5,3,4,4,3,3,3
BI383,3,2,4,2,2,4,3,2,3,4,3,3,3,2,3,2,3,3,3,3,3,3,3,3
BI411,3,4,3,5,3,3,5,4,3,4,3,4,2,5,3,1,4,4,4,3,5,3,4,3
BI415,4,5,3,4,2,3,3,4,3,3,5,2,3,4,3,1,4,3,2,2,4,3,4,3
BI627,4,4,3,5,3,2,2,4,3,2,3,4,2,3,4,5,1,3,3,3,2,4,3,2
BI629,4,3,2,3,2,4,2,4,2,2,3,5,5,1,3,3,2,3,4,1,3,2,3,3
BI637,4,4,4,4,3,1,5,3,3,2,3,5,3,4,2,3,2,3,3,1,3,1,3,5
BI750,2,3,2,2,3,3,4,3,1,2,1,5,1,1,2,3,3,1,4,4,3,3,2,3
BI757,4,2,4,4,5,3,2,3,3,2,3,4,3,1,3,3,4,1,3,4,1,3,2,3
BI867,4,3,3,1,3,2,3,3,2,5,2,4,1,4,3,4,4,3,3,3,4,3,3,2
BI883,4,2,2,1,4,3,2,3,2,3,4,2,1,2,3,2,4,4,2,2,3,4,5,3
BI896,5,2,1,4,3,1,1,1,3,4,3,5,3,2,5,3,3,2,2,5,3,3,4,5
BI947,1,5,1,4,5,3,3,3,3,2,1,4,3,3,3,4,3,1,3,4,4,5,3,5
CA055,3,2,3,4,4,3,2,3,5,2,4,2,5,3,2,2,5,3,3,1,1,3,4,4
CA116,3,3,3,3,1,5,3,1,5,5,5,4,2,5,4,3,5,3,5,3,3,3,4,3
CA121,5,1,5,3,5,3,4,3,4,3,5,5,3,3,3,2,3,4,3,4,3,2,3,4
CA165,3,3,4,1,1,2,2,4,3,2,3,4,2,3,2,3,2,4,2,1,5,3,3,2
CA257,3,2,4,4,3,4,2,3,1,1,3,4,3,3,5,3,3,5,2,2,3,3,2,3
CA319,2,4,4,2,3,3,1,4,3,2,3,5,1,2,2,1,2,4,3,3,2,2,5,2
CA395,5,3,3,2,3,4,2,1,4,3,3,3,3,3,1,4,3,4,5,2,4,5,4,2
CA398,4,4,3,3,4,2,5,5,3,4,3,1,5,2,1,4,1,3,5,3,1,2,5,3
CA409,3,2,5,3,3,3,4,2,5,2,2,1,1,3,2,2,5,5,3,3,2,4,1,3
CA452,2,4,3,3,1,4,1,2,2,3,3,2,3,3,3,4,2,3,1,3,3,3,3,2
CA459,3,1,3,4,3,3,2,2,3,1,5,4,5,5,4,4,3,2,4,2,3,4,3,3
CA578,2,4,5,3,2,3,3,3,2,3,4,4,5,2,5,4,4,3,3,3,5,2,2,1
CA593,4,4,2,1,2,4,1,2,1,5,2,5,3,3,3,3,3,4,3,5,3,4,4,3
CA762,4,2,2,3,4,3,3,2,3,3,2,3,2,1,3,2,4,3,1,4,2,3,3,5
CA814,2,2,2,3,2,3,3,2,5,3,3,3,2,3,3,1,4,4,3,3,3,2,1,3
CA827,1,1,1,4,2,2,3,3,2,5,2,5,2,1,5,3,4,4,2,4,1,3,2,3
CA847,4,3,3,1,1,4,5,4,2,2,3,3,3,4,2,2,5,4,4,3,3,4,3,4
CA870,3,5,3,1,2,5,3,2,2,1,2,5,3,2,3,3,5,4,2,5,4,2,2,5
CA886,2,2,3,3,3,3,2,2,3,2,3,1,3,3,5,2,5,3,4,4,5,3,2,3
CA968,3,3,3,2,3,2,4,5,4,3,1,2,3,5,3,4,2,3,4,3,4,4,3,4
CA973,3,3,3,2,3,3,2,3,3,4,3,3,5,3,2,4,5,2,4,3,1,3,4,3
CH152,3,2,4,2,1,5,4,3,2,3,5,3,2,5,4,3,4,1,3,2,4,5,5,3
CH177,3,5,4,1,2,5,3,2,4,4,2,2,4,1,5,1,1,4,2,2,4,3,3,4
CH272,4,4,2,3,3,2,3,1,3,2,3,2,4,2,4,1,3,3,2,4,5,3,1,3
CH276,5,3,4,4,5,2,3,4,4,2,4,2,3,2,4,1,5,3,4,2,3,1,4,3
CH302,4,4,1,3,2,1,3,2,3,2,2,3,3,1,3,3,3,4,4,3,3,2,2,3
CH399,5,2,1,3,1,3,1,5,4,2,2,5,4,5,3,2,3,5,2,4,3,2,3,3
CH460,1,3,3,4,1,4,2,3,3,4,1,2,2,3,3,1,3,2,1,1,5,3,2,3
