RoomId,Capacity,computers,projector,whiteboard,internet,audio,printer,backup-power
Room1,30,1,1,1,1,1,1,1
Room2,30,1,1,1,1,1,1,0
Room3,30,1,1,1,0,0,1,0
Room4,30,0,0,1,1,1,1,1
Room5,40,1,1,1,1,1,1,1
Room6,40,0,1,1,0,1,0,0
Room7,40,1,0,0,0,0,0,1
Room8,40,0,1,1,1,0,1,1
Room9,60,1,1,1,1,1,1,1
Room10,60,0,1,1,1,1,0,0
Room11,80,1,1,1,1,1,1,1
Room12,100,1,1,1,1,1,1,1
Room13,120,1,1,1,1,1,1,1
Room14,140,1,1,1,1,1,1,1
Room15,160,1,1,1,1,1,1,1
Room16,180,1,1,1,1,1,1,1
Room17,200,1,1,1,1,1,1,1
Room18,240,1,1,1,1,1,1,1
