rollNum,coursesEnrolled
23BI00048,BI757 CH806 EN887 HI087 HI505 MA260
23BI00055,BI757 CH806 EN887 HI087 HI505 MA260
23BI00381,BI757 CH901 EN887 HI087 HI505 MA260
23BI00546,BI757 CH806 EN887 HI087 HI505 MA260
23BI00550,BI757 CH806 EN887 HI087 HI505 MA260
23BI00879,BI757 CH806 EN887 HI087 HI505 MA260
23BI00986,BI757 CA814 CH806 EN815 GO744 HI097 MA260 PY622 ST608
23BI02673,BI344 BI947 CA870 CH901 EN937 GO365 HI560 MA491
23BI04789,BI757 CA814 CH806 EN815 GO744 HI097 MA260 PY622 ST608
23BI04983,BI003 BI883 CH508 EN840 HI544 MA440 PY048 PY528
23BI05420,BI344 BI883 CA847 GO081 HI560 MA440 PY084 PY164 ST316
23BI05563,BI883 CH526 CH901 GO081 GO837 MA440 PY622 ST594
23BI05671,BI344 BI947 CH537 CH901 GO108 HI560 MA491 PY164
23BI06272,BI344 BI750 BI947 CH537 CH901 GO108 HI544 MA491
23BI07139,BI750 BI867 CH508 EN817 HI544 MA311 PY048 PY240
23BI07894,BI329 BI629 BI867 CH460 EN817 HI560 MA311 PY001
23BI07989,BI329 BI867 CH460 EN817 HI560 MA440 PY164 PY980 ST316
23BI09281,BI883 CH508 EN817 HI560 MA311 PY240 PY980 ST316
23BI11981,BI883 CH526 CH901 EN887 GO837 HI097 MA440 PY622 ST594
23BI12054,BI883 CH508 CH901 EN840 HI560 MA440 PY528 ST572
23BI12372,BI344 BI947 CA870 CH901 GO108 GO365 MA491 PY528
23BI12852,BI947 CH537 CH901 EN450 GO108 GO397 HI560 MA491
23BI12942,BI344 BI883 CH508 CH901 EN840 HI560 MA440 PY164 ST316
23BI12962,BI757 CA814 CH806 EN815 GO744 HI097 MA260 PY622 ST608
23BI14320,BI757 CA814 CH806 EN815 GO744 HI097 MA260 PY622 ST608
23BI16079,BI883 CH526 CH901 EN887 GO744 HI097 MA440 PY622 ST608
23BI16931,BI883 CA847 CH901 EN887 GO744 HI097 MA440 PY622 ST608
23BI17141,BI883 CH526 CH901 EN887 GO744 HI097 MA440 PY622 ST608
23BI17428,BI883 CH526 CH901 EN887 GO837 HI097 MA440 PY622 ST594
23BI18509,BI757 CA814 EN136 EN815 GO744 HI191 MA260 PY622 ST594
23BI18818,BI757 CA814 CH806 EN815 GO744 MA260 PY622 ST608
23BI19456,BI896 CA847 CH901 EN887 HI612 MA440
23BI19800,BI344 BI947 CA870 CH901 EN937 GO541 MA491 ST522
23BI22868,BI883 CA847 CH901 EN887 GO744 MA440 PY633 ST594
23BI23503,BI947 CA870 CH901 EN937 GO744 MA491 PY633 ST594
23BI23772,BI344 BI947 CA870 CH901 EN450 EN937 HI544 MA491
23BI23857,BI757 CA814 CH806 EN815 GO744 HI097 MA260 PY633 ST594
23BI26076,BI883 CA847 CH901 EN887 GO744 HI097 MA440 PY633 ST594
23BI26927,BI883 CA847 CH901 EN840 GO744 HI097 MA440 PY633 ST594
23BI27770,BI344 BI947 CA870 CH901 EN937 GO397 MA491
23BI28457,BI344 BI947 CA870 CH901 EN937 HI560 MA491 ST522
23BI28458,BI883 CA847 CH901 EN887 GO744 HI097 MA440 PY633 ST594
23BI28869,BI757 CA814 CH806 EN815 GO744 MA244 PY622 ST608
23BI29381,BI344 BI947 CA870 CH901 EN937 GO397 HI560 MA491
23BI32013,BI883 CA847 CH901 EN937 GO365 HI560 MA440 PY084
23BI32190,BI757 CA814 CH806 EN815 GO744 HI097 MA260 PY622 ST608
23BI33982,BI344 BI883 CH460 EN817 HI560 MA311 PY771 PY980
23BI34065,BI344 BI947 CA870 CH901 EN937 GO397 MA491 ST572
23BI34661,BI883 CA847 CH901 EN887 GO744 HI097 MA440 PY633 ST594
23BI35754,BI344 BI383 BI947 CA870 CH901 EN937 HI544 MA491
23BI35822,BI344 BI947 CA847 CH537 CH901 EN937 GO541 HI560 MA491
23BI35905,BI344 BI947 CH537 CH901 EN937 GO397 MA491 PY528 PY622
23BI36371,BI883 CA847 CH901 EN887 GO744 HI097 MA440 PY633 ST594
23BI36493,BI344 BI947 CA870 CH901 EN937 GO365 MA491 PY528
23BI37273,BI344 BI383 BI947 CA870 CH901 EN937 HI544 MA491
23BI38286,BI344 BI629 BI947 CH537 CH901 EN937 HI544 MA491
23BI38684,BI344 BI947 CH537 CH901 EN937 HI560 MA491 ST522
23BI38858,BI344 BI947 CA870 CH901 EN937 GO541 HI560 MA491
23BI39298,BI197 BI344 BI947 CA870 CH901 EN937 HI560 MA491
23BI39897,BI344 BI383 BI947 CA870 CH901 EN937 MA491 PY001
23BI40964,BI883 CA847 EN819 GO744 HI097 MA440 PY633 ST594
23BI41448,BI883 CA409 CH508 EN819 GO744 HI097 MA440 PY622 ST608
23BI41791,BI883 CH526 CH901 EN887 GO744 HI097 MA440 PY633 ST594
23BI41793,BI883 CA847 CH901 EN887 GO744 HI097 MA440 PY622 ST608
