courseId,numStudents,computers,projector,whiteboard,internet,audio,printer,backup-power
BI025,367,0,0,0,0,1,1,0
BI167,469,1,0,0,0,0,0,0
BI425,245,0,0,0,1,0,0,1
BI547,579,0,0,1,0,0,1,1
BI558,207,0,0,0,1,0,0,0
BI661,454,0,0,0,1,0,0,0
BI687,102,0,0,0,1,0,1,0
BI868,61,1,1,0,0,0,1,0
BI989,32,0,0,0,0,0,0,0
CA206,205,0,0,0,1,0,0,0
CA225,573,0,0,0,0,0,0,0
CA229,257,1,0,0,0,0,0,0
CA455,634,1,0,0,0,1,0,1
CA499,120,0,0,0,1,0,0,1
CA614,59,0,0,0,0,0,0,0
CA821,71,0,0,0,0,0,0,0
CA890,275,0,0,1,0,0,0,0
CA930,35,0,0,0,0,0,0,1
CH219,289,0,0,0,1,0,0,0
CH500,141,0,0,0,0,0,0,0
CH528,187,0,0,1,0,0,0,1
CH570,197,0,0,1,1,0,0,1
CH804,273,0,0,0,0,0,1,1
CH850,210,0,1,0,0,0,0,0
CH935,169,0,0,1,0,0,0,0
CH965,69,0,0,0,0,0,0,0
CH982,272,0,0,0,0,0,0,1
EN016,127,0,0,0,1,1,0,1
EN190,48,0,0,0,1,0,0,0
EN203,251,0,0,1,1,0,0,0
EN403,114,0,0,1,1,0,0,0
EN570,154,0,1,0,0,0,0,1
EN723,129,0,1,0,0,0,1,1
EN757,127,1,0,0,0,0,0,0
EN810,30,1,1,0,0,1,0,0
EN981,76,1,1,1,0,0,0,0
GO043,66,0,0,1,0,0,1,1
GO256,78,0,1,0,1,0,0,1
GO274,59,0,0,0,0,0,0,1
GO352,69,0,1,0,0,0,1,0
GO394,54,0,1,0,0,1,1,0
GO631,29,0,0,1,0,0,1,0
GO633,7,0,0,0,0,1,0,0
GO652,44,1,0,0,0,1,0,1
GO830,55,0,0,0,0,0,0,1
HI039,65,0,1,0,0,0,0,1
HI098,78,0,1,0,0,0,0,1
HI212,24,0,0,0,0,0,0,0
HI218,61,0,0,0,0,0,1,0
HI512,43,0,0,0,1,0,0,1
HI769,69,1,0,0,0,0,0,1
HI807,58,0,0,0,0,0,0,0
HI808,47,1,0,0,0,1,0,0
HI836,109,1,1,0,0,0,0,0
MA086,67,0,0,0,0,1,0,1
MA258,83,1,0,0,0,0,0,0
MA298,55,0,0,0,0,0,0,0
MA407,54,0,0,1,0,0,0,0
MA442,56,0,1,0,0,0,0,0
MA498,52,0,1,0,0,1,1,0
MA571,41,0,0,0,0,0,0,0
MA602,28,0,0,0,0,1,0,0
MA661,46,1,0,0,1,0,1,0
PY026,35,0,0,0,0,0,0,0
PY251,13,0,0,1,0,0,1,0
PY276,105,0,0,0,0,1,0,1
PY294,16,0,0,1,0,1,1,0
PY295,45,1,0,0,0,0,0,0
PY329,86,0,0,0,0,0,1,1
PY713,73,1,1,0,0,0,0,0
PY714,28,0,0,0,1,0,1,0
PY875,26,0,0,0,1,1,0,0
ST156,196,0,0,0,0,1,0,0
ST220,75,1,1,0,0,0,1,0
ST229,152,0,0,0,0,0,0,0
ST424,158,0,0,0,0,0,0,0
ST444,105,0,0,0,0,0,0,0
ST503,81,0,0,0,0,1,0,0
ST525,84,0,0,1,0,0,0,0
ST959,117,0,0,1,0,1,0,0
ST964,132,1,0,1,0,0,1,0
