courseId,2025-03-03 10:00:00,2025-03-03 14:00:00,2025-03-04 10:00:00,2025-03-04 14:00:00,2025-03-05 10:00:00,2025-03-05 14:00:00,2025-03-06 10:00:00,2025-03-06 14:00:00,2025-03-07 10:00:00,2025-03-07 14:00:00,2025-03-10 10:00:00,2025-03-10 14:00:00,2025-03-11 10:00:00,2025-03-11 14:00:00,2025-03-12 10:00:00,2025-03-12 14:00:00,2025-03-13 10:00:00,2025-03-13 14:00:00,2025-03-14 10:00:00,2025-03-14 14:00:00,2025-03-17 10:00:00,2025-03-17 14:00:00
BI025,1,3,5,3,3,2,3,4,3,4,5,2,3,2,4,3,3,4,3,5,3,2
BI167,3,4,3,4,5,2,5,2,2,2,4,3,2,3,3,1,4,4,3,5,3,5
BI425,3,3,2,4,3,2,1,3,3,4,4,1,4,2,4,4,3,4,3,3,4,3
BI547,3,3,4,3,2,4,4,2,2,2,3,3,4,3,3,3,4,3,5,3,2,3
BI558,3,3,1,2,4,2,4,2,3,3,3,3,2,1,3,3,5,4,4,4,3,2
BI661,5,3,3,2,3,3,4,3,3,5,2,3,1,4,5,2,4,2,5,4,4,1
BI687,5,4,3,4,2,4,2,4,3,1,2,1,3,3,3,2,2,4,1,5,4,3
BI868,3,4,2,1,2,4,1,3,5,4,3,1,4,3,2,1,5,3,4,4,3,3
BI989,3,3,3,4,3,4,3,3,3,3,4,2,3,2,3,3,3,5,3,4,3,3
CA206,1,2,3,3,1,2,2,5,3,3,2,3,2,2,3,1,1,2,1,2,3,4
CA225,3,3,2,5,3,1,3,2,3,3,4,3,4,5,2,2,3,3,3,5,4,3
CA229,3,4,5,4,1,3,1,2,1,3,3,2,3,3,3,2,3,4,1,1,3,5
CA455,3,3,3,3,1,3,5,3,4,4,2,5,1,3,2,1,3,2,3,3,1,2
CA499,3,3,4,3,4,3,3,3,2,3,4,3,4,4,4,5,3,3,3,3,3,4
CA614,3,3,2,3,2,4,3,2,1,3,3,3,1,3,3,3,3,3,2,5,3,3
CA821,2,3,1,3,5,3,1,1,3,2,1,4,3,2,5,2,5,3,4,3,4,5
CA890,2,5,3,3,3,3,2,3,3,4,4,3,3,2,2,1,3,2,5,3,3,3
