RoomId,Capacity,computers,projector,whiteboard,internet,audio,printer,backup-power
Room1,70,1,1,1,1,1,1,1
Room2,70,1,1,1,1,1,1,1
Room3,70,1,1,0,1,1,1,1
Room4,70,1,1,1,1,1,0,0
Room5,70,0,0,0,1,0,1,1
Room6,130,1,1,1,1,1,1,1
Room7,130,1,1,0,0,0,0,1
Room8,130,0,0,0,1,1,1,1
Room9,130,1,0,1,1,0,1,1
Room10,180,1,1,1,1,1,1,1
Room11,180,0,1,1,1,0,1,1
Room12,240,1,1,1,1,1,1,1
Room13,300,1,1,1,1,1,1,1
Room14,410,1,1,1,1,1,1,1
Room15,470,1,1,1,1,1,1,1
Room16,520,1,1,1,1,1,1,1
Room17,580,1,1,1,1,1,1,1
Room18,640,1,1,1,1,1,1,1
