courseId,Room1,Room2,Room3,Room4,Room5,Room6,Room7,Room8,Room9,Room10,Room11,Room12,Room13,Room14,Room15,Room16,Room17,Room18
BI025,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,1
BI167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3
BI425,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,3,5,2
BI547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
BI558,0,0,0,0,0,0,0,0,0,0,0,3,4,2,3,4,3,3
BI661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2
BI687,0,0,0,0,0,3,0,3,3,3,3,4,3,2,4,3,3,5
BI868,3,2,5,0,0,2,0,0,0,4,0,2,3,2,4,1,3,4
BI989,4,3,4,2,4,2,3,4,2,2,4,4,3,3,3,2,3,2
CA206,0,0,0,0,0,0,0,0,0,0,0,5,3,3,5,4,2,3
CA225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
CA229,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,5,3,3
CA455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CA499,0,0,0,0,0,3,0,3,3,2,2,4,5,3,2,3,3,1
CA614,2,4,3,1,2,2,3,1,2,4,2,3,2,1,2,4,4,4
CA821,0,0,0,0,0,1,1,2,1,2,3,3,4,4,3,2,3,3
CA890,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,2,3,3
CA930,2,2,4,0,3,2,2,1,5,2,3,2,3,3,4,2,1,2
CH219,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,2,3,2
CH500,0,0,0,0,0,0,0,0,0,1,2,3,1,3,3,3,4,2
CH528,0,0,0,0,0,0,0,0,0,0,0,3,1,5,2,5,3,2
CH570,0,0,0,0,0,0,0,0,0,0,0,5,1,4,5,2,3,5
CH804,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,3,3
CH850,0,0,0,0,0,0,0,0,0,0,0,4,1,4,3,5,4,5
CH935,0,0,0,0,0,0,0,0,0,3,4,2,2,3,2,2,2,1
CH965,1,5,3,3,3,2,5,4,1,3,4,5,3,3,2,5,2,5
