rollNum,coursesEnrolled
23BI00656,BI025 BI167 BI425 BI989 CA229
23BI01165,ST959
23BI02554,ST156 ST220 ST444 ST525
23BI03209,ST959
23BI03395,PY276 ST156 ST229 ST424 ST964
23BI03518,ST424 ST444 ST959
23BI04837,ST156 ST444 ST503 ST959
23BI05181,ST964
23BI05805,CH965
23BI05828,BI025
23BI06731,CA225
23BI07054,CA499 MA661
23BI07156,CH982
23BI07701,BI025 BI167
23BI08115,CH982
23BI08418,PY329
23BI08427,BI989
23BI08443,BI687 CA229
23BI08454,CH500 HI807
23BI08668,EN203
23BI08967,ST444
23BI09331,ST959
23BI09862,BI025 CA229
23BI09995,EN723 ST229 ST503 ST525
23BI10460,BI547 CH219
23BI10524,BI167 BI687
23BI10574,CH528 CH570
23BI10823,CH219
23BI10924,BI425
23BI11546,PY295
23BI12558,CA499 EN403 EN570 EN723 ST220
23BI12680,EN203 GO352 GO631 PY713
23BI13346,CH982 EN203
23BI13458,EN723
23BI13936,ST525
23BI14177,EN190 PY294 PY295 PY875
23BI14586,GO256
23BI14637,CA225
23BI14702,HI807
23BI14819,MA661
23BI14902,MA407 MA442 MA498
23BI14949,ST964
23BI15237,CA614
23BI15409,CA614 EN723
23BI15662,CH982
23BI15959,ST503
23BI15961,BI167
23BI16284,CA821 CH219 EN203
23BI17294,CH219 CH500 CH965 EN203
23BI17672,BI989
23BI17875,BI425 CA225
23BI18583,CH965 ST220 ST444 ST525
23BI18692,ST444
23BI19412,CH982 EN203
23BI19503,ST444 ST503
23BI20268,ST156
23BI20589,ST503
23BI20685,CA614 EN723 ST444
23BI20714,CH570 GO830 HI039 HI098 MA258
23BI20737,ST503
23BI21403,CA499 CA930 CH500 CH850 EN203
23BI21631,CA206 CA455
23BI21669,ST444
23BI21837,ST503
23BI23037,EN570 EN723
23BI23297,CH982
23BI23913,HI039
23BI24255,GO352 GO631
23BI24265,EN981 MA298
23BI24554,HI807 MA661
23BI24950,CA930
23BI25247,ST444
23BI25307,ST959
23BI25326,ST959
23BI25554,EN190 PY329
23BI26119,MA086 MA258 MA407
23BI26411,EN723
23BI26590,ST229
23BI26837,EN203
23BI28117,CH965 HI039
23BI28475,EN723
23BI28716,GO352 PY329
23BI28950,EN723 ST503
23BI29168,CA455 CA930
23BI29573,HI836 MA258 MA661 PY026
23BI29883,HI512
23BI30278,BI687 CA229
23BI31555,ST229
23BI31908,CH804
23BI32277,ST525
23BI32620,CA614 CH965 EN016 EN723
23BI33081,CH500 EN757 HI218 HI808
23BI33460,CA499 ST156 ST424 ST444
23BI33526,GO394 ST156 ST220
23BI33747,EN403 EN570 PY276 ST220
23BI34081,CA455
