courseId,numStudents,computers,projector,whiteboard,internet,audio,printer,backup-power
BI010,47,0,1,0,1,0,0,0
BI043,42,0,0,0,0,0,0,0
BI068,21,0,0,0,0,0,0,0
BI073,7,0,1,0,0,0,0,0
BI086,21,0,1,0,0,0,0,0
BI105,1,0,0,0,0,0,1,0
BI122,4,0,0,0,0,1,1,0
BI125,24,0,0,0,0,0,0,1
BI129,10,0,0,0,1,0,1,0
BI138,11,1,0,0,0,0,1,1
BI139,11,0,0,0,0,1,0,0
BI150,2,0,0,0,1,1,0,1
BI189,13,0,0,0,0,0,1,0
BI191,11,0,1,0,0,0,0,0
BI218,4,0,0,0,0,0,1,0
BI234,1,0,0,1,0,0,0,0
BI263,3,0,0,1,0,0,0,0
BI281,5,0,0,0,0,0,1,1
BI295,8,0,0,0,0,0,0,0
BI323,2,0,0,0,0,0,0,0
BI324,10,0,0,1,0,0,0,1
BI354,1,0,0,0,0,0,0,0
BI361,12,0,0,0,0,0,0,0
BI371,11,0,0,0,0,0,0,0
BI377,2,0,0,0,0,0,0,0
BI399,16,0,0,1,0,0,0,0
BI416,4,0,0,0,0,0,0,0
BI432,10,1,1,1,0,1,0,0
BI449,9,0,0,0,1,0,0,0
BI458,13,0,0,1,0,0,0,0
BI462,19,0,0,0,0,0,0,0
BI478,8,0,0,0,0,0,1,0
BI500,18,0,0,0,0,0,0,0
BI531,7,0,1,0,0,0,0,0
BI536,11,0,0,1,0,0,0,0
BI572,7,0,0,0,0,0,0,0
BI589,4,0,0,0,0,0,0,0
BI607,5,1,0,1,0,0,1,0
BI644,348,1,0,0,0,0,1,1
BI687,258,0,0,0,1,0,0,0
BI696,113,0,0,0,0,0,0,0
BI734,4,0,0,0,0,0,0,0
BI736,6,0,0,0,1,0,0,0
BI757,12,0,0,0,0,0,1,0
BI762,2,0,0,1,0,0,0,0
BI768,6,0,0,0,0,0,0,0
BI884,2,0,0,0,1,0,0,0
BI891,4,0,0,0,0,0,0,0
BI901,4,0,0,0,1,0,1,0
BI926,1,0,0,0,0,0,0,0
BI941,14,0,0,1,0,0,0,0
BI992,6,0,1,0,0,0,1,0
CA017,3,1,1,1,0,0,1,0
CA023,4,0,0,0,0,0,0,0
CA052,3,1,0,0,0,0,0,0
CA061,8,0,0,0,0,0,0,0
CA123,9,0,0,1,0,0,0,0
CA155,12,0,0,1,0,0,0,0
CA156,9,0,0,0,0,0,0,0
CA224,4,0,0,0,0,0,0,0
CA233,7,0,0,0,0,0,0,0
CA237,1,0,1,0,0,0,0,0
CA272,3,0,0,0,0,1,0,0
CA308,4,0,0,0,1,1,0,0
CA357,2,0,0,0,0,0,0,1
CA384,11,0,1,0,0,0,1,0
CA405,3,0,0,0,0,1,1,0
CA407,8,0,1,0,1,0,1,0
CA416,17,0,0,1,0,0,0,0
CA420,10,0,0,0,0,0,0,0
CA422,9,0,0,0,0,0,0,0
CA446,3,0,0,0,1,0,1,1
CA449,2,0,0,0,0,0,0,0
CA467,3,0,0,0,0,0,0,0
CA468,7,0,1,0,1,0,0,0
CA478,10,0,0,1,0,0,0,0
CA512,17,0,0,0,0,1,0,0
CA528,8,0,0,0,0,0,0,1
CA560,6,1,0,0,0,0,0,1
CA592,11,0,1,1,0,0,1,0
CA593,13,1,0,0,1,0,0,0
CA604,10,0,0,0,1,0,1,0
CA626,26,0,0,1,0,1,0,0
CA635,87,0,0,0,0,0,0,0
CA636,48,0,0,0,0,0,1,0
CA646,61,0,0,0,1,1,0,1
CA660,61,0,0,0,0,0,0,0
CA664,53,0,1,0,0,0,1,0
CA705,66,0,1,0,0,0,0,0
CA713,63,0,0,0,1,0,1,0
CA799,63,0,0,0,0,0,0,0
CA809,33,0,1,0,0,0,0,0
CA826,61,0,0,0,0,1,1,0
CA840,59,0,0,0,0,0,1,0
CA869,18,0,0,0,0,0,0,0
CA894,26,0,0,0,0,0,0,0
CA905,60,0,0,0,0,0,0,0
CA906,48,0,1,0,0,0,0,0
CA913,52,0,0,0,0,1,0,1
CA926,22,0,0,0,0,0,0,0
CA935,29,0,0,1,0,0,0,1
CA991,60,0,1,0,1,1,0,0
CH014,33,0,0,1,0,0,0,0
CH024,23,0,0,0,0,1,0,0
CH044,5,0,0,0,1,0,0,0
CH059,11,1,0,1,0,1,0,1
CH106,8,1,0,1,0,0,0,0
CH130,12,1,0,0,0,0,0,0
CH135,4,1,0,0,0,1,0,0
CH140,1,0,0,0,1,0,0,0
CH162,403,1,0,0,0,0,0,0
CH165,394,0,0,0,0,0,0,0
CH168,81,1,1,0,0,1,0,0
CH179,10,0,0,0,0,0,0,0
CH180,21,1,0,0,1,1,1,0
CH203,6,1,0,0,0,1,1,1
CH213,21,1,1,0,0,0,0,0
CH232,13,1,0,0,0,0,0,1
CH245,66,0,0,1,0,0,0,1
CH258,11,1,0,0,0,0,0,1
CH295,50,0,0,0,0,0,1,0
CH315,1,0,0,1,0,0,0,0
CH339,10,0,0,0,0,1,1,0
CH391,14,0,0,0,0,0,1,0
CH438,7,0,0,0,0,0,0,0
CH449,1,0,0,1,0,0,0,0
CH476,22,0,0,1,0,0,0,0
CH482,11,0,0,1,0,0,0,0
CH496,4,0,0,0,0,0,1,0
CH505,2,0,0,0,1,0,0,0
CH538,2,0,0,0,0,0,0,1
CH544,6,0,0,1,0,0,0,0
CH548,5,1,0,0,0,0,0,0
CH549,3,1,0,0,0,0,0,1
CH553,5,0,0,1,0,0,0,1
CH568,4,0,0,0,0,0,0,0
CH576,3,0,1,0,0,0,0,0
CH661,1,1,1,0,1,0,0,1
CH670,3,1,0,0,0,0,0,0
CH678,27,0,0,0,0,0,0,0
CH698,31,0,0,0,0,0,0,0
CH711,36,1,0,0,0,0,0,0
CH726,24,0,0,0,0,1,0,1
CH739,19,0,1,0,0,0,0,0
CH779,29,1,0,0,0,0,0,0
CH819,23,1,0,1,0,0,0,1
CH841,19,0,0,1,0,0,1,0
CH852,19,1,0,0,0,0,0,0
CH855,14,0,0,0,0,1,0,0
CH899,33,0,0,0,0,1,0,0
CH904,31,0,0,0,0,0,0,1
CH906,23,0,1,0,0,0,1,0
CH937,10,0,1,0,0,1,1,0
EN004,6,0,0,0,0,0,0,0
EN009,12,1,0,0,0,1,1,1
EN025,12,1,0,0,0,0,0,0
EN030,7,0,0,0,0,0,0,0
EN047,4,0,0,0,0,1,0,0
EN088,15,0,0,0,0,0,1,0
EN094,3,0,1,0,0,0,0,0
EN137,1,0,0,0,1,0,1,0
EN138,4,0,0,0,0,1,1,0
EN153,5,0,1,0,0,0,0,0
EN176,88,0,0,0,0,0,0,0
EN223,32,1,0,0,0,0,0,0
EN267,17,0,0,0,0,0,0,0
EN272,27,0,1,0,1,1,0,0
EN303,154,1,0,0,0,0,0,0
EN305,14,1,1,0,0,0,0,0
EN317,14,0,0,0,1,0,0,0
EN334,81,0,1,1,0,1,1,0
EN337,250,0,0,0,0,0,0,0
EN343,139,0,0,0,0,0,0,0
EN351,136,0,1,0,0,0,0,1
EN387,6,0,0,0,0,0,1,0
EN446,74,0,0,0,0,0,0,0
EN468,71,0,1,0,1,0,0,0
EN478,13,1,1,0,0,0,0,1
EN484,99,0,0,1,0,1,0,0
EN493,105,0,0,1,0,0,0,1
EN534,94,0,0,0,0,0,0,1
EN614,89,0,0,1,0,0,0,0
EN616,14,0,0,0,0,1,0,0
EN641,56,0,0,0,0,0,0,0
EN646,20,0,0,0,1,0,0,0
EN651,10,0,0,0,0,0,1,0
EN667,12,0,0,0,0,0,0,0
EN690,7,1,0,0,0,0,0,0
EN719,20,0,0,0,0,0,1,0
EN722,35,0,0,0,0,0,0,0
EN765,21,0,0,0,0,1,0,0
EN772,40,0,1,0,1,0,0,0
EN773,53,0,0,0,0,0,0,0
EN779,10,0,0,0,0,0,0,0
EN794,10,0,0,0,0,0,0,0
EN807,5,1,0,0,0,1,0,0
EN813,11,1,0,0,0,1,1,0
EN841,6,0,0,1,0,0,0,1
EN897,10,0,1,0,1,0,0,0
EN925,7,0,0,0,0,0,0,1
EN927,14,0,0,0,0,0,0,1
EN972,14,0,0,0,0,0,0,0
EN989,5,1,0,0,1,0,0,0
GO043,1,0,0,0,1,0,0,0
GO044,3,0,0,0,0,0,0,0
GO069,309,0,0,0,0,0,0,0
GO083,970,0,0,0,0,0,0,0
GO108,309,0,0,0,0,1,1,0
GO123,970,1,0,0,0,0,0,0
GO128,361,0,0,1,1,0,0,0
GO133,503,0,0,1,0,0,0,0
GO134,306,0,0,0,0,0,0,0
GO159,10,1,0,0,0,0,0,1
GO184,25,0,0,0,0,1,0,0
GO190,23,0,1,0,0,0,1,1
GO243,5,0,0,0,1,1,0,0
GO253,13,0,0,0,0,0,0,1
GO259,14,0,0,0,0,0,0,0
GO260,16,1,0,0,0,0,0,0
GO268,10,0,0,0,1,0,0,0
GO273,7,0,0,0,0,0,0,0
GO304,8,1,0,0,1,0,0,0
GO307,6,1,0,0,0,0,1,0
GO362,10,0,0,0,0,0,0,1
GO363,6,1,1,1,0,1,0,1
GO392,4,0,0,0,0,0,0,0
GO395,9,0,1,0,1,0,0,1
GO420,22,0,0,0,1,0,0,0
GO438,7,1,0,1,0,0,0,0
GO442,4,0,0,1,0,0,1,1
GO449,2,0,0,0,0,1,0,1
GO458,2,0,0,0,0,0,1,1
GO478,4,0,1,1,0,0,1,0
GO508,1,0,1,0,0,1,0,0
GO578,2,0,0,0,0,1,0,0
GO599,1,0,0,0,1,1,0,1
GO607,4,0,0,0,0,0,0,0
GO622,8,0,0,1,0,0,0,0
GO649,6,0,1,0,1,0,0,0
GO693,1,0,1,0,0,0,0,1
GO719,2,0,0,0,0,0,0,0
GO727,1,0,1,1,0,0,0,0
GO738,27,0,1,0,0,0,0,0
GO742,21,0,1,0,1,0,0,0
GO761,21,0,0,0,0,1,0,0
GO776,14,0,0,0,1,0,0,0
GO793,430,0,0,0,1,0,0,1
GO824,7,0,0,0,0,0,0,0
GO846,2,0,0,0,0,0,0,0
GO855,444,1,0,1,0,0,0,0
GO856,285,1,0,0,0,0,0,0
GO902,306,1,0,1,0,0,0,1
GO994,230,1,0,0,0,0,0,0
HI006,228,0,1,0,0,0,0,0
HI018,85,0,1,1,1,0,0,0
HI064,18,0,0,0,1,0,0,0
HI076,93,0,1,0,0,0,0,0
HI088,439,0,0,0,1,1,0,0
HI097,43,0,1,0,0,0,0,0
HI108,48,1,1,0,0,1,0,0
HI133,29,1,0,0,1,0,0,0
HI138,52,0,0,0,0,0,0,0
HI159,14,0,0,0,0,1,0,0
HI165,25,0,0,0,1,1,1,0
HI187,32,0,0,0,0,0,0,1
HI188,23,1,0,1,0,0,0,0
HI192,20,0,0,0,0,0,0,0
HI196,33,0,0,0,1,0,0,0
HI217,20,0,1,1,0,0,0,0
HI220,22,0,0,0,0,0,0,0
HI233,18,1,0,0,1,0,0,0
HI264,18,0,0,0,0,0,0,0
HI298,7,0,0,0,0,0,0,1
HI316,18,0,0,0,0,0,0,0
HI339,15,0,1,0,0,0,0,0
HI343,14,0,0,0,1,1,0,0
HI360,17,0,0,1,0,1,0,0
HI370,6,1,0,0,1,0,0,0
HI391,16,0,1,0,0,0,0,0
HI406,5,0,0,0,0,0,0,0
HI415,13,0,0,0,0,0,1,0
HI450,11,0,1,1,0,0,0,0
HI459,6,1,0,0,0,1,0,0
HI480,2,0,0,1,0,1,0,0
HI511,5,0,0,0,0,0,0,0
HI533,422,1,0,1,0,0,0,1
HI534,931,0,0,0,1,0,0,0
HI552,346,0,0,0,0,0,0,0
HI595,494,0,0,0,0,0,0,1
HI605,62,0,0,0,0,0,1,0
HI614,73,1,0,0,0,0,0,0
HI630,316,0,1,0,1,1,0,0
HI633,398,1,0,1,0,0,0,0
HI663,19,1,0,1,0,0,0,0
HI672,67,1,0,0,0,1,0,0
HI675,83,1,0,0,0,0,0,0
HI735,12,0,0,0,0,0,0,0
HI781,10,0,0,0,0,0,0,0
HI833,9,0,0,0,1,1,1,1
HI836,13,1,0,1,0,1,1,0
HI876,8,1,0,0,0,0,1,0
HI945,15,0,0,0,0,0,1,0
HI953,11,0,0,1,0,1,0,0
HI965,2,0,0,0,0,0,0,0
HI971,3,0,0,0,0,0,0,0
MA015,22,0,0,0,0,0,1,0
MA064,9,0,0,1,1,0,0,0
MA070,3,0,0,0,0,0,0,0
MA071,5,0,0,0,0,1,0,0
MA097,1,1,0,0,0,0,0,0
MA136,2,1,0,0,0,0,0,0
MA138,2,0,1,0,0,1,0,0
MA147,1,0,0,0,0,0,1,0
MA150,1,0,0,0,0,1,0,0
MA162,1280,0,0,1,0,0,0,1
MA170,91,0,0,0,0,0,0,0
MA182,182,0,0,0,1,0,0,0
MA191,185,1,0,0,0,1,0,0
MA197,91,0,0,0,1,1,0,0
MA234,196,0,0,1,0,0,0,0
MA257,74,0,0,0,0,1,0,0
MA305,62,1,0,1,0,0,0,1
MA316,87,0,0,1,0,0,0,0
MA342,40,0,0,0,0,0,0,0
MA350,68,0,0,0,0,0,0,0
MA375,105,0,0,0,1,0,0,1
MA378,111,0,0,1,0,0,1,0
MA384,50,0,1,0,0,0,1,0
MA430,44,0,0,0,0,0,0,0
MA469,1,0,0,0,0,0,0,0
MA471,77,0,0,0,0,0,0,0
MA472,26,1,1,0,1,0,0,1
MA488,31,1,0,0,0,0,0,1
MA526,27,0,0,0,0,0,1,0
MA542,15,0,0,0,0,1,0,0
MA592,13,0,0,0,0,0,0,0
MA624,13,1,0,0,1,0,0,0
MA671,15,0,0,0,0,0,0,1
MA676,43,0,0,0,0,0,0,1
MA694,42,0,0,0,0,0,0,0
MA726,77,0,0,0,0,0,0,1
MA746,20,0,0,1,0,0,0,0
MA752,37,0,0,0,0,0,0,0
MA769,11,0,0,0,0,0,1,1
MA785,2,1,0,0,0,0,0,0
MA789,8,0,0,0,0,0,0,0
MA790,4,0,1,0,0,0,0,1
MA806,4,0,0,0,0,0,0,0
MA828,2,0,0,0,0,0,0,0
MA838,3,0,0,0,0,0,0,1
MA876,6,0,0,0,0,1,1,0
MA889,37,0,1,0,0,0,1,0
MA899,98,1,1,0,1,0,1,0
MA906,25,0,0,0,0,0,0,0
MA914,4,0,0,0,0,0,0,0
MA953,6,0,0,0,0,0,0,0
MA987,54,0,0,0,0,0,0,1
MA997,8,0,0,0,0,0,0,0
PY001,16,0,0,1,1,0,0,0
PY007,46,0,0,0,0,0,0,1
PY025,47,0,0,0,0,0,0,0
PY040,14,0,0,0,0,0,0,0
PY049,16,0,0,0,0,0,0,0
PY063,15,0,0,0,0,0,0,0
PY071,54,1,0,0,0,1,0,0
PY103,84,1,0,1,1,1,0,0
PY133,5,0,0,0,0,0,0,0
PY139,8,1,1,0,0,0,0,0
PY141,2,1,0,0,0,0,0,1
PY146,16,0,0,0,0,0,1,0
PY184,15,0,0,0,0,0,0,0
PY213,21,0,0,0,0,0,0,0
PY215,9,0,0,0,0,0,1,0
PY258,5,1,0,0,0,0,0,0
PY259,5,0,0,0,0,0,0,0
PY280,5,0,0,0,0,1,1,1
