rollNum,coursesEnrolled
23BI00304,CA512 CA593
23BI00312,GO607
23BI00331,PY997 ST016 ST020
23BI00825,CA626 GO159
23BI00874,BI191 EN317 PY049 PY213
23BI01008,BI191 PY049 PY213
23BI01340,CA449 CA467
23BI01575,GO159
23BI01593,CA592
23BI01956,CA512 CA593
23BI01965,PY049 PY215
23BI01999,CA626
23BI02176,MA064
23BI02569,CA528 CA560 PY258
23BI02951,CA446
23BI02981,EN305 PY040
23BI03427,CA468 GO159
23BI03633,CA626
23BI03922,CA626
23BI03927,ST938 ST970
23BI04166,CA512 CA593
23BI04346,ST911
23BI04740,CA468
23BI04848,CA468
23BI04884,ST905 ST910
23BI04974,CA156
23BI05274,GO260 PY213 PY517
23BI05621,GO478
23BI05630,HI415
23BI05671,CA626
23BI05708,PY001 PY511 PY664
23BI05896,CH505 CH553
23BI06218,GO043
23BI06420,CA626
23BI06499,ST016 ST020
23BI06630,BI736
23BI06886,EN813
23BI07111,BI941 EN387 HI006
23BI07144,CA604 CA626
23BI07149,GO268 GO273 PY472
23BI07160,PY993 ST016
23BI07236,PY405
23BI07873,GO607
23BI07876,CH553
23BI08413,PY560
23BI08448,ST020
23BI08523,BI607
23BI08653,GO273 PY049 PY560
23BI08709,CA626
23BI08812,CA512 CA593
23BI08877,CA626
23BI09093,ST970
23BI09235,CA528 CA593
23BI09423,PY997
23BI09768,EN009
23BI09888,ST016 ST020
23BI10068,PY364 PY472
23BI10112,GO268
23BI10186,HI187 HI188
23BI10458,ST016 ST020
23BI10465,GO268
23BI10529,GO268 GO273 PY049 PY063
23BI10692,BI736 BI757 EN303 MA526 MA752
23BI10748,CA626
23BI11055,CH544 CH548
23BI11214,CH544 CH548
23BI11729,GO159
23BI12060,CA626
23BI12252,EN972
23BI12285,ST421 ST433
23BI12316,EN646 EN794 EN927 EN972
23BI12569,HI836 MA070
23BI13013,BI536 BI572
23BI13064,CA593 CA604
23BI13136,EN927 EN989
23BI13338,CA626
23BI13571,BI607
23BI14205,CA407 CA468
23BI14801,CA626
23BI14957,CA626
23BI15015,GO268 PY049 PY063
23BI15029,MA138
23BI15199,BI696 EN484 HI675 MA378
23BI15387,CA626
23BI15782,GO260 PY049 PY259
23BI15944,ST459 ST674 ST764 ST873 ST877
23BI16084,CA604
23BI16139,MA147 MA150
23BI16177,PY049 PY063 PY280
23BI16347,EN972
23BI16634,EN088
23BI16820,GO268 GO273 PY063
23BI16827,EN813 EN927
23BI17082,ST438
23BI17344,BI191 EN305 GO260
23BI17353,CA626
23BI17433,MA064 MA071 MA136
23BI17506,EN779 EN897 ST911
23BI17756,CA272 CA446
23BI17820,BI462 HI614 MA197 MA350
23BI17900,EN478
23BI18165,BI941 HI088 HI633
23BI18287,EN138 EN153
23BI18378,BI234
23BI18411,PY213 PY517
23BI18635,BI191 GO260
23BI18696,CA560
23BI19048,CH711 CH899 HI006 HI159 PY632
23BI19119,HI406 HI415
23BI19206,PY213 PY517
23BI19231,CA420
23BI19344,CA420
23BI19655,MA769
23BI19798,CA407
23BI19863,MA785 MA806
23BI19883,EN927 EN989
23BI19887,CH544 CH553
23BI19948,HI511
23BI20055,PY997 ST020
23BI20125,MA316 MA378 MA384 MA752
23BI20244,BI432 BI941 EN387 GO855 HI605
23BI20424,CH698 HI316 HI552 HI605 PY071
23BI20429,PY213 PY517
23BI20443,ST016 ST020
23BI20537,GO994 PY025 PY419
23BI20780,PY049 PY063 PY259
23BI20848,EN468 EN641 EN667 GO776
23BI20958,ST016 ST043
23BI20972,GO159
23BI21627,GO273 PY049
23BI21657,BI757 BI941 GO134 HI633
23BI21743,HI511
23BI21844,ST938
23BI22083,CA528 CA604
23BI22174,GO458
23BI22181,PY063 PY259 PY280
23BI22327,GO363 GO392 GO738 HI006 PY664
23BI22352,CA626
23BI22361,CA512 CA593
23BI22664,GO184 PY007 PY025 PY444
23BI22739,EN493 EN534 EN773 PY632
23BI22844,EN317 PY213
23BI23448,MA987 PY001 PY349 PY499 PY632
23BI23472,PY063 PY259 PY280
23BI23641,PY063 PY215 PY258
23BI23666,BI696 GO994 HI633 MA182 PY621
23BI23734,ST905
23BI24067,BI992 CA061 CA123 CA155
23BI24285,BI536 EN153
23BI24841,EN088
23BI24903,BI105
23BI25286,EN641 EN719 MA182 PY664 ST995
23BI25315,PY258 PY472
23BI25396,GO134 MA375 MA378 MA384
23BI25895,BI068 BI086 BI125 GO190 MA987
23BI26302,CA626
23BI26472,ST433 ST435 ST438
23BI26622,CA604
23BI26685,CA384 CA422
23BI26965,BI189 PY560
23BI27332,CA528
23BI27755,ST970
23BI27874,HI415
23BI27896,BI324 BI399 BI687
23BI27974,BI536 BI589 BI607
23BI27981,MA789
23BI28202,HI953 HI965 ST163
23BI28370,EN641 EN772 MA191 PY632
23BI28402,EN088
23BI28454,MA876
23BI28462,EN009 EN030
23BI28568,PY063 PY472
23BI28957,CA468
23BI29194,BI687 GO761 ST693 ST888
23BI29266,MA430
23BI29441,EN813 EN897 EN927
23BI29755,CA528 CA560
23BI30067,CH232 CH391 CH438 CH476 HI006 HI088
23BI30079,EN272 MA953 PY007 PY025 PY511
23BI30279,HI614 MA305 MA752 ST508
23BI30780,EN337 EN351 EN614
23BI30846,BI687 CA906 CH014
23BI30892,CA906 CA913 CA926 CH024 CH295 HI076 PY664
23BI30947,EN303 GO902 MA316 MA350
23BI30963,BI926
23BI30985,MA064
23BI31095,EN927 EN972
23BI31151,BI531 BI884 BI941 GO793 HI633
23BI31436,CA713 CA799 CA840 EN337
23BI31609,ST970
23BI31653,CA636 CA840 CH014 CH203 CH438 GO738
23BI31675,CH698 CH779 EN351 HI196 PY664
23BI31684,EN337 GO761 HI006 ST513
23BI31702,CH538 CH568
23BI32003,CH711 CH819 CH841 CH852 HI217
23BI32025,BI010 GO761 HI605 PY071
23BI32439,PY405
23BI32536,EN337 MA182
23BI32866,MA316 MA375 MA471
23BI32910,EN972 GO159
23BI33105,EN641 EN765 HI672
23BI33661,CH819 CH841 CH855 CH899 CH904 HI165
23BI33742,BI696 MA257 MA378
23BI34119,CA826 CA840 CA906 MA234
23BI34240,BI073 BI129 BI138 BI139 PY025
23BI34406,EN223 GO134 MA906 PY477
23BI34470,EN972
23BI34890,EN047 EN088
23BI34995,EN267 EN272 GO253 MA889 PY001
23BI35042,EN272 GO190 HI018 PY025
23BI35198,EN305 PY517
23BI35386,MA071
23BI35557,EN272 HI076 HI605 PY001 PY025
23BI35568,BI218 PY215
23BI35729,BI901 EN303 GO128 HI663
23BI35888,BI361 BI399 BI757 HI006
23BI35935,CH044
23BI36221,CA420
23BI36245,PY213 PY517
23BI36304,HI006 MA471 MA472 MA542 MA726
23BI36430,ST674
23BI36472,CA420
23BI36562,EN484 HI633 MA316 MA746
23BI36784,CA560 CA593 CA604
23BI37126,PY997 ST020
23BI37274,HI097 HI370
23BI37423,CA906 CA913 CA935 CH024 CH295
23BI37544,CH130 CH135
23BI37786,HI018 MA378 MA384 MA726 PY716
23BI37944,CH106 CH130 CH135
23BI38021,PY993 PY997 ST016
