courseId,numStudents,computers,projector,whiteboard,internet,audio,printer,backup-power
BI015,382,0,0,0,0,1,0,1
BI020,113,0,1,0,1,0,1,0
BI050,97,0,0,0,0,1,0,0
BI060,150,0,0,0,0,0,0,0
BI104,15,0,0,0,0,0,0,0
BI113,1,0,1,0,0,1,0,0
BI125,2,0,0,0,0,0,0,0
BI143,101,0,0,1,0,0,0,0
BI148,36,0,0,1,0,0,0,0
BI151,31,0,0,0,0,0,0,0
BI157,23,1,0,1,0,0,1,1
BI196,11,0,0,0,0,0,0,0
BI201,17,0,1,0,0,1,0,0
BI208,17,0,0,0,1,0,0,0
BI215,2,1,0,1,0,1,0,0
BI242,9,0,0,1,0,1,0,0
BI269,7,0,0,0,1,0,0,0
BI278,13,0,1,1,0,0,1,0
BI279,17,0,0,0,1,1,0,1
BI284,15,1,0,0,0,1,1,0
BI334,131,0,0,0,0,0,1,0
BI426,33,1,0,0,0,0,0,0
BI442,280,1,0,0,0,0,0,0
BI469,41,1,0,1,0,0,0,0
BI480,85,0,1,0,0,0,1,1
BI501,189,0,1,0,0,0,1,0
BI521,16,0,0,0,0,0,0,0
BI547,359,0,1,0,0,0,0,0
BI615,59,0,0,1,0,0,0,0
BI718,291,0,0,0,0,0,1,0
BI747,137,0,0,0,0,0,1,0
BI781,106,0,0,1,1,0,0,0
BI808,40,1,0,0,0,0,0,0
BI817,21,0,0,0,1,0,0,0
BI824,23,1,0,0,0,0,0,1
BI853,161,0,0,0,0,1,1,0
BI868,31,1,0,0,0,0,0,1
BI890,44,0,0,0,0,0,0,0
BI896,54,0,0,1,0,0,0,0
BI930,57,1,0,1,0,1,1,0
BI939,108,0,0,0,0,0,0,0
BI973,70,1,0,0,0,0,0,0
BI995,9,0,1,1,0,0,0,0
CA030,60,0,0,0,0,0,1,0
CA069,1,0,0,0,0,0,1,1
CA088,39,0,1,0,1,0,0,0
CA144,9,0,0,1,0,0,0,0
CA218,6,0,0,0,0,0,0,0
CA248,21,0,0,0,0,0,0,1
CA311,1,0,1,0,0,0,0,0
CA324,1,1,0,1,0,1,1,0
CA366,2,1,0,0,0,0,0,0
CA367,3,0,0,1,0,1,1,0
CA373,74,0,0,0,0,0,0,1
CA377,21,0,0,0,1,0,0,0
CA383,2,0,0,0,1,0,0,0
CA391,10,1,0,0,0,1,0,1
CA405,25,1,1,1,0,0,0,0
CA417,90,0,0,0,0,0,0,0
CA459,41,0,0,0,0,0,0,0
CA468,7,0,1,0,0,0,0,0
CA471,4,1,0,0,0,0,0,0
CA485,20,0,0,0,1,0,1,0
CA495,11,0,0,0,0,0,0,0
CA533,13,0,1,1,0,0,1,0
CA573,16,0,0,0,0,0,0,0
CA590,5,0,0,0,0,0,0,1
CA599,14,1,1,0,0,0,0,0
CA608,2,0,0,0,1,0,1,0
CA624,1,0,1,0,0,0,0,0
CA678,46,0,1,1,0,0,0,0
CA686,45,0,0,0,0,1,0,0
CA700,57,0,0,0,0,1,0,0
CA708,7,0,0,0,0,1,0,0
CA761,28,0,0,1,0,0,0,0
CA790,21,0,0,0,0,0,0,0
CA809,29,0,0,0,1,0,1,0
CA820,10,0,1,0,0,0,0,0
CA846,6,1,0,0,0,0,0,1
CA859,51,0,0,0,0,0,0,0
CA907,1,0,1,0,0,1,0,0
CA914,2,0,1,0,0,1,0,0
CA917,10,0,0,0,0,0,0,1
CA965,21,0,1,1,0,0,1,0
CA968,37,0,0,0,0,0,1,0
CH061,25,0,1,0,0,0,1,0
CH065,25,0,0,0,1,0,0,1
CH066,6,0,0,0,0,0,0,0
CH080,33,1,0,0,0,0,0,0
CH082,18,1,0,0,0,0,0,1
CH085,1,0,0,0,1,0,0,1
CH103,12,0,0,0,0,0,0,1
CH123,7,1,0,1,0,0,0,0
CH163,14,1,1,0,0,1,0,0
CH174,5,0,0,1,0,0,0,0
CH182,18,0,0,0,0,0,0,0
CH300,6,0,0,0,0,0,0,0
CH314,1,0,0,0,0,0,0,0
CH318,4,0,1,0,0,1,0,0
CH357,4,0,1,0,0,0,0,0
CH369,6,0,0,0,0,0,1,0
CH401,5,0,0,1,0,0,0,0
CH408,1,0,0,1,0,1,0,0
CH454,56,0,0,0,1,0,0,0
CH462,53,0,1,0,1,0,0,0
CH486,47,0,0,0,1,0,1,0
CH514,22,0,0,0,0,0,0,0
CH515,10,1,0,0,0,0,0,0
CH522,28,0,0,1,0,0,1,0
CH550,11,0,1,0,0,0,0,1
CH554,2,0,0,0,0,1,0,0
CH579,11,0,0,0,0,0,0,0
CH590,2,1,0,0,0,0,0,1
CH618,1,0,0,0,0,0,0,0
CH630,8,0,0,0,0,0,0,1
CH682,30,0,0,0,1,0,1,1
CH695,7,0,0,0,0,0,0,0
CH703,21,1,0,0,0,0,0,1
CH757,30,1,0,1,1,0,0,0
CH775,2,0,0,0,0,0,1,0
CH780,4,0,0,0,0,0,1,0
CH801,1,1,0,0,0,0,0,0
CH840,8,1,0,0,0,0,0,1
CH873,16,0,0,0,1,0,0,0
CH880,5,0,0,1,0,1,0,0
CH939,11,0,0,0,0,1,0,0
CH974,14,1,0,0,0,0,0,0
CH991,6,0,0,0,0,0,0,0
EN034,13,0,0,0,1,0,1,0
EN075,7,0,0,1,0,1,0,1
EN138,2,0,0,1,0,0,1,0
EN143,21,0,0,0,0,0,0,1
EN154,86,0,0,0,0,0,0,0
EN171,27,0,1,0,1,1,0,0
EN177,14,0,0,1,0,0,0,0
EN223,10,0,0,0,0,0,0,0
EN274,1,0,0,1,0,0,0,0
EN289,11,0,0,0,0,0,0,1
EN294,8,1,0,0,0,0,0,0
EN326,8,0,0,0,1,0,0,1
EN331,15,0,1,1,0,0,0,0
EN354,78,0,0,1,1,0,0,0
EN362,11,0,1,0,0,0,0,0
EN431,1,0,0,0,0,0,1,1
EN461,4,0,0,0,0,0,0,0
EN502,33,0,0,0,0,0,0,1
EN516,15,0,0,0,1,0,0,1
EN534,1,0,0,0,0,0,0,0
EN559,7,0,0,1,0,0,1,0
EN571,3,0,0,0,0,0,0,0
EN578,3,0,1,1,0,1,0,0
EN603,5,0,1,0,0,0,0,0
EN606,1,0,0,0,0,0,0,0
EN612,4,1,0,0,0,0,1,0
