RoomId,Capacity,computers,projector,whiteboard,internet,audio,printer,backup-power
Room1,40,1,1,1,1,1,1,1
Room2,40,1,1,1,0,0,1,1
Room3,40,1,1,1,0,1,1,1
Room4,40,1,0,1,1,0,1,1
Room5,40,1,1,0,1,1,1,0
Room6,40,1,1,1,1,0,1,0
Room7,40,1,1,1,1,1,1,0
Room8,40,0,1,0,1,1,1,1
Room9,40,1,1,1,1,0,1,1
Room10,80,1,1,1,1,1,1,1
Room11,80,1,0,0,1,1,1,1
Room12,110,1,1,1,1,1,1,1
Room13,140,1,1,1,1,1,1,1
Room14,180,1,1,1,1,1,1,1
Room15,210,1,1,1,1,1,1,1
Room16,250,1,1,1,1,1,1,1
Room17,280,1,1,1,1,1,1,1
Room18,320,1,1,1,1,1,1,1
Room19,390,1,1,1,1,1,1,1
