rollNum,coursesEnrolled
23BI00112,HI789
23BI00872,HI887
23BI01062,BI157
23BI01857,CA790 ST785
23BI01950,CA790 ST785
23BI02250,BI015 BI781
23BI02656,BI015 ST082 ST159
23BI03727,BI015 ST159
23BI04005,BI015
23BI05699,BI015 ST159
23BI05753,BI015
23BI06690,BI015
23BI06933,BI015
23BI07085,BI015
23BI07462,ST638
23BI07682,BI020
23BI07713,BI015
23BI07806,BI015
23BI08404,BI015
23BI08669,BI015
23BI08773,BI015
23BI08783,BI015
23BI08948,BI015
23BI09549,BI015
23BI09701,BI015
23BI09927,BI015
23BI10357,BI015
23BI10557,BI015
23BI10890,BI015
23BI11730,BI015
23BI11747,BI143
23BI11865,BI020
23BI12124,ST638
23BI12718,GO760 GO819
23BI12788,CH939
23BI13701,ST580
23BI13774,BI020
23BI14266,ST082
23BI14676,HI826
23BI14854,ST638
23BI14943,CH080
23BI15221,CH080
23BI15233,CH080
23BI15667,MA873
23BI16049,BI201
23BI16138,HI888
23BI16174,HI927 HI947
23BI16257,ST638
23BI16326,CA485
23BI16687,CH080
23BI16721,CH939
23BI16824,HI947
23BI17049,CA459
23BI17225,CA809 CH061
23BI17253,ST082
23BI17420,MA730
23BI17893,CA485
23BI18084,BI015
23BI18123,HI888
23BI18141,HI720
23BI18591,HI888
23BI18593,HI685
23BI18738,MA730
23BI18983,ST638
23BI19766,HI851
23BI19964,ST638
23BI20002,CA965
23BI20186,MA763
23BI20438,MA873
23BI21464,BI442 CH080
23BI21825,HI685
23BI21870,HI685
23BI21926,BI157
23BI22233,CH080
23BI22657,PY066
23BI23685,ST754
23BI24207,ST754
23BI24250,ST754
23BI26169,ST754
23BI26223,ST234
23BI26304,ST082
23BI27189,PY458
23BI27967,BI143
23BI28033,HI706
23BI28342,ST638
23BI28516,HI826
23BI28820,BI279
23BI29108,BI015
23BI29226,BI020
23BI29234,CA485
23BI29495,CH065
23BI29906,BI015
23BI30051,PY881
23BI30076,BI547 BI718 BI853 BI930 CA030 PY956 ST091
23BI30524,CA686 CA790 CA907 CH082 CH085 CH401
23BI30915,BI015 BI442 CA624 PY956
23BI31582,CA686 CA761 CA809 CA859 CA968 CH065 CH408
23BI31860,HI410 HI416 HI781 HI851
23BI32036,BI615 BI781 BI890 CA088 CA248
23BI32090,BI015 BI547 ST046 ST543
23BI32993,BI547 BI718 BI781 BI853 BI868 BI890 MA375
23BI34301,BI334 EN354 HI822 ST785
23BI34343,BI547 BI718 BI853 BI896 BI930 BI973 HI481
23BI34548,BI015 HI595 HI659 HI737
23BI35468,BI480 BI547 BI718 CA417
23BI36236,BI015 ST046 ST543
