courseId,numStudents,computers,projector,whiteboard,internet,audio,printer,backup-power
BI002,57,0,0,0,0,1,0,0
BI008,76,1,0,0,0,0,0,0
BI009,70,0,0,1,0,0,1,0
BI011,28,0,0,1,0,0,0,0
BI015,28,0,0,0,0,0,0,1
BI016,33,0,0,0,0,0,0,0
BI018,57,0,1,0,0,0,0,0
BI025,14,1,0,0,1,1,1,1
BI037,19,0,1,1,0,0,0,1
BI041,58,0,0,0,0,0,0,0
BI044,28,0,1,0,0,0,1,0
BI045,19,1,0,0,0,0,0,0
BI046,53,1,1,1,0,0,0,0
BI049,27,0,1,0,0,1,0,0
BI058,23,0,0,0,1,1,0,1
BI060,60,0,1,0,0,0,0,0
BI066,35,0,0,0,0,0,0,0
BI067,4,0,0,0,0,1,0,1
BI076,4,0,0,0,1,0,1,0
BI080,29,0,0,1,0,0,1,0
BI081,14,0,0,1,0,0,0,0
BI083,44,0,0,1,0,0,0,0
BI086,23,0,0,0,0,0,1,0
BI087,9,0,0,1,0,1,0,0
BI088,14,0,1,0,0,0,0,1
BI092,8,0,0,0,0,0,0,0
BI097,7,0,0,0,0,0,0,0
BI100,19,0,0,0,0,1,0,0
BI102,13,0,0,0,0,0,1,0
BI103,28,0,0,0,0,0,0,0
BI105,10,0,0,0,0,0,1,0
BI106,5,0,0,1,1,0,0,0
BI115,14,0,1,0,1,0,1,0
BI128,16,1,0,0,0,0,0,0
BI131,18,1,0,0,0,0,0,0
BI158,18,1,0,0,0,1,0,0
BI161,19,0,0,0,0,0,0,0
BI163,14,0,0,0,0,0,0,0
BI167,17,0,0,0,1,0,0,0
BI171,12,0,0,0,0,0,0,1
BI172,14,0,0,0,0,0,0,0
BI174,16,0,1,1,0,0,0,0
BI177,14,0,1,0,0,0,0,0
BI178,10,1,0,0,0,0,0,0
BI180,15,0,0,1,0,0,1,0
BI181,13,0,0,0,0,0,0,0
BI186,16,0,0,0,1,0,1,0
BI188,11,0,0,1,0,0,0,0
BI190,14,0,0,0,1,0,0,0
BI191,18,0,0,0,1,1,0,1
BI194,16,1,0,0,0,1,0,0
BI206,13,0,0,0,0,0,0,0
BI211,12,1,1,0,0,0,0,1
BI212,10,1,1,0,1,0,0,1
BI215,18,0,0,0,0,0,0,0
BI220,12,1,0,0,0,0,0,0
BI225,16,0,1,0,0,0,0,0
BI227,12,0,0,0,0,0,0,1
BI236,17,0,0,0,1,0,0,0
BI239,11,0,0,0,0,0,0,1
BI244,15,0,0,0,0,0,0,0
BI250,11,0,0,1,0,0,0,0
BI252,8,1,1,0,1,0,0,1
BI253,12,0,1,0,0,0,0,0
BI255,16,0,0,0,0,0,0,0
BI259,15,0,0,0,0,0,0,0
BI261,15,0,1,1,0,1,0,0
BI262,14,1,0,0,0,0,0,0
BI269,11,0,1,1,0,0,0,0
BI271,13,1,0,0,0,0,0,0
BI275,13,0,0,0,0,0,0,0
BI280,17,0,0,0,0,0,1,0
BI286,19,0,0,1,0,0,0,1
BI287,21,1,0,0,0,1,0,0
BI309,19,0,0,0,1,0,0,0
