courseId,2025-03-03 10:00:00,2025-03-03 14:00:00,2025-03-04 10:00:00,2025-03-04 14:00:00,2025-03-05 10:00:00,2025-03-05 14:00:00,2025-03-06 10:00:00,2025-03-06 14:00:00,2025-03-07 10:00:00,2025-03-07 14:00:00,2025-03-10 10:00:00,2025-03-10 14:00:00,2025-03-11 10:00:00,2025-03-11 14:00:00,2025-03-12 10:00:00,2025-03-12 14:00:00,2025-03-13 10:00:00,2025-03-13 14:00:00,2025-03-14 10:00:00,2025-03-14 14:00:00,2025-03-17 10:00:00,2025-03-17 14:00:00,2025-03-18 10:00:00,2025-03-18 14:00:00,2025-03-19 10:00:00,2025-03-19 14:00:00,2025-03-20 10:00:00,2025-03-20 14:00:00,2025-03-21 10:00:00,2025-03-21 14:00:00,2025-03-24 10:00:00,2025-03-24 14:00:00,2025-03-25 10:00:00,2025-03-25 14:00:00,2025-03-26 10:00:00,2025-03-26 14:00:00,2025-03-27 10:00:00,2025-03-27 14:00:00,2025-03-28 10:00:00,2025-03-28 14:00:00,2025-03-31 10:00:00,2025-03-31 14:00:00,2025-04-01 10:00:00,2025-04-01 14:00:00,2025-04-02 10:00:00,2025-04-02 14:00:00
BI002,4,2,3,4,2,2,4,4,3,1,3,4,4,3,3,4,5,4,2,5,3,2,3,4,4,3,2,2,3,1,3,4,3,4,3,2,2,3,3,3,2,2,1,2,4,1
BI008,3,3,5,3,3,1,4,3,3,3,4,2,4,2,2,3,5,5,1,3,2,3,1,3,5,3,2,4,3,1,3,4,2,3,2,4,2,2,5,5,3,5,4,2,3,4
BI009,4,3,3,4,3,4,2,5,4,3,3,3,4,4,4,3,3,2,3,3,3,3,4,2,5,2,4,3,4,3,3,4,2,3,4,4,3,3,2,1,5,3,3,3,3,3
BI011,3,4,4,1,1,3,1,3,4,3,3,3,5,5,3,1,2,2,3,4,1,2,3,4,3,3,3,5,4,4,2,5,3,3,3,3,3,2,3,4,4,3,3,1,2,2
BI015,3,5,3,4,3,5,2,3,2,2,2,2,3,4,1,2,3,5,3,2,3,4,5,4,2,4,1,3,3,5,1,2,2,3,5,3,2,4,3,1,5,1,3,3,3,4
BI016,2,3,3,3,3,3,4,2,1,5,3,4,3,1,2,2,4,2,5,3,3,3,5,3,4,3,3,5,3,3,4,3,3,4,2,2,3,2,3,4,3,4,3,1,1,3
BI018,3,3,3,5,3,4,4,4,3,2,4,3,4,2,3,3,3,2,5,4,2,4,3,2,3,3,4,1,4,3,2,4,5,5,2,2,5,2,3,3,2,3,4,3,4,4
BI025,4,2,2,2,2,4,1,3,4,2,5,5,3,3,2,5,4,3,3,3,2,3,1,3,3,3,1,3,3,3,3,1,1,2,3,2,2,3,3,3,5,3,2,4,4,4
BI037,4,4,4,2,3,3,2,5,4,5,2,1,1,4,3,3,4,3,3,4,3,2,5,4,2,3,4,5,4,1,3,4,3,3,1,2,4,2,5,3,2,2,2,3,3,4
BI041,5,3,3,3,3,3,2,3,2,4,2,4,1,3,4,2,4,3,3,4,2,4,4,3,3,4,4,3,3,3,3,4,3,3,4,5,3,2,5,5,3,3,1,1,1,4
BI044,3,3,3,2,4,2,2,3,4,4,3,3,4,2,3,3,4,3,3,1,5,4,5,5,4,2,3,2,1,2,4,4,4,3,1,3,3,3,3,3,2,5,3,4,3,4
BI045,4,3,3,3,2,4,1,3,3,3,3,2,1,3,5,2,2,4,2,3,2,1,3,2,3,3,1,3,2,4,2,3,3,2,3,4,2,3,2,2,3,3,3,3,4,3
BI046,2,2,1,1,2,3,1,3,4,2,4,2,2,2,3,3,3,4,1,2,4,4,5,2,2,3,1,4,3,4,2,3,3,3,3,3,4,2,3,2,3,3,3,5,5,1
BI049,3,3,3,4,2,4,5,3,3,1,2,4,2,3,4,3,3,2,3,3,5,1,5,2,3,2,4,3,2,3,5,2,4,4,3,1,2,3,3,2,2,3,4,4,3,2
BI058,3,5,2,2,3,3,4,2,4,4,2,1,3,3,2,5,1,4,3,2,3,3,2,2,2,3,4,5,2,1,5,2,4,4,1,4,2,4,3,4,4,1,3,3,4,3
BI060,3,2,2,5,4,3,3,5,3,3,1,4,2,2,2,2,2,3,4,4,3,1,5,1,4,5,4,4,3,5,3,4,2,3,1,4,3,2,2,5,4,4,3,3,3,3
BI066,4,5,5,4,3,4,4,2,4,5,4,3,2,3,3,3,2,3,5,4,3,2,3,4,3,4,3,3,2,4,3,3,4,4,3,3,3,5,3,1,4,2,5,4,3,4
BI067,2,4,3,2,2,4,4,4,2,5,3,5,3,2,1,3,1,4,3,3,3,3,1,2,4,3,3,3,5,2,4,1,4,5,4,2,2,3,3,4,3,3,5,1,3,3
BI076,3,1,4,3,2,3,2,3,4,4,2,3,3,3,3,3,4,3,5,2,3,5,1,3,5,1,3,1,3,4,2,2,3,3,4,2,5,4,1,2,5,4,3,3,1,4
BI080,1,3,2,3,3,3,3,2,2,2,3,1,3,5,4,3,2,5,3,3,2,2,4,2,2,3,5,3,4,4,5,3,2,2,4,2,4,4,3,3,2,5,3,4,2,3
BI081,4,3,3,3,5,3,3,4,3,3,3,3,1,3,4,3,4,2,2,3,4,3,3,4,3,4,5,3,3,3,5,4,1,3,4,1,3,5,3,4,3,3,5,3,5,3
BI083,3,4,3,3,2,1,4,3,3,3,3,3,1,3,3,1,3,2,2,5,1,4,3,3,1,2,2,5,1,1,2,4,4,4,3,4,3,5,3,2,1,3,5,4,4,3
BI086,2,2,2,3,4,2,1,3,4,5,3,2,4,2,4,4,3,2,2,3,5,3,2,4,4,1,2,3,2,4,2,4,4,1,2,3,2,4,2,2,3,1,5,3,3,2
BI087,5,3,2,3,2,5,3,3,3,2,2,5,3,1,3,2,4,3,5,3,3,4,4,3,4,2,3,1,3,3,4,3,4,3,3,5,3,3,3,2,4,4,3,5,3,1
BI088,2,3,4,4,3,4,2,4,1,3,4,3,4,2,2,3,4,5,1,5,3,3,2,2,3,3,1,5,3,4,3,4,1,3,5,5,5,5,1,1,5,1,4,4,3,4
BI092,3,2,4,3,2,5,3,2,4,4,2,2,2,4,4,5,4,3,1,4,3,2,5,3,4,4,2,2,4,3,2,3,2,4,2,3,1,3,1,2,3,1,5,2,1,4
BI097,1,4,4,2,2,4,4,3,4,2,3,3,3,3,3,2,3,3,4,3,3,3,2,2,3,3,3,3,2,4,4,3,3,4,3,3,3,5,2,4,5,4,3,2,3,2
BI100,3,3,3,3,4,3,2,3,4,3,3,3,2,3,4,2,4,4,5,2,2,4,3,2,3,4,2,5,4,3,4,2,2,4,3,2,2,3,1,2,2,4,4,2,3,3
BI102,1,2,1,5,3,2,4,3,2,3,3,3,5,1,2,4,2,2,3,2,3,4,4,3,3,5,1,3,3,3,2,2,5,1,3,2,2,3,3,3,3,3,2,2,3,1
BI103,4,1,2,3,5,2,3,2,3,3,3,1,4,1,3,4,2,3,2,2,1,3,4,4,3,4,4,3,3,4,3,2,3,1,2,4,3,3,3,3,2,5,3,3,4,3
BI105,2,3,3,3,4,3,3,4,3,4,5,3,2,3,1,3,3,2,2,3,2,3,3,3,2,4,2,1,2,4,4,4,3,4,4,4,4,4,3,5,3,2,2,3,4,2
BI106,2,1,2,2,3,3,1,2,3,2,4,1,2,4,3,5,2,1,1,5,3,3,3,4,3,3,3,3,3,4,2,3,1,1,5,3,5,4,5,5,4,4,4,5,5,5
