RoomId,Capacity,computers,projector,whiteboard,internet,audio,printer,backup-power
Room1,90,1,1,1,1,1,1,1
Room2,90,0,0,1,1,1,1,1
Room3,90,1,0,1,1,0,0,1
Room4,90,1,0,1,1,0,1,1
Room5,90,1,1,0,1,1,1,1
Room6,90,1,1,1,1,1,1,1
Room7,90,1,1,1,1,1,1,0
Room8,90,1,1,1,0,1,1,1
Room9,90,1,1,1,0,1,1,1
Room10,90,1,0,1,1,0,1,1
Room11,90,1,1,1,0,1,1,1
Room12,90,1,1,1,1,1,1,1
Room13,90,1,1,1,0,1,1,1
Room14,90,0,1,1,1,1,1,0
Room15,90,1,1,1,1,1,1,1
Room16,90,1,1,1,1,1,0,0
Room17,90,1,1,1,1,1,1,0
Room18,90,1,1,1,1,0,1,0
Room19,90,1,0,1,0,1,1,1
Room20,90,0,1,1,1,0,1,1
Room21,90,1,1,1,1,1,1,1
Room22,180,1,1,1,1,1,1,1
Room23,180,1,1,1,0,1,1,1
Room24,260,1,1,1,1,1,1,1
Room25,350,1,1,1,1,1,1,1
Room26,430,1,1,1,1,1,1,1
Room27,520,1,1,1,1,1,1,1
Room28,600,1,1,1,1,1,1,1
Room29,690,1,1,1,1,1,1,1
Room30,770,1,1,1,1,1,1,1
Room31,860,1,1,1,1,1,1,1
Room32,940,1,1,1,1,1,1,1
Room33,1030,1,1,1,1,1,1,1
Room34,1450,1,1,1,1,1,1,1
Room35,1800,1,1,1,1,1,1,1
Room36,1970,1,1,1,1,1,1,1
