courseId,Room1,Room2,Room3,Room4,Room5,Room6,Room7,Room8,Room9,Room10,Room11,Room12,Room13,Room14,Room15,Room16,Room17,Room18,Room19,Room20,Room21,Room22,Room23,Room24,Room25,Room26,Room27,Room28,Room29,Room30,Room31,Room32,Room33,Room34,Room35,Room36
BI002,3,3,0,0,3,4,4,2,3,0,1,3,5,3,4,5,4,0,3,0,4,4,3,3,1,4,4,5,4,4,4,3,3,5,3,3
BI008,1,0,3,2,2,3,2,4,3,3,2,3,3,0,4,2,3,2,5,0,3,3,4,4,3,5,3,3,4,3,4,2,3,2,3,3
BI009,5,3,0,3,0,3,3,2,3,3,3,5,4,5,3,0,4,2,3,2,1,2,1,4,3,3,4,4,5,3,3,3,2,2,3,5
BI011,1,2,2,4,0,3,2,3,2,3,1,4,3,4,3,3,1,3,3,3,4,4,4,2,3,1,3,3,2,4,3,3,1,3,5,3
BI015,5,2,3,4,3,1,0,3,4,4,4,3,2,0,4,0,0,0,3,2,3,3,1,4,4,5,2,3,3,3,3,4,1,5,4,4
BI016,4,3,4,3,4,2,2,3,3,3,3,4,3,3,2,3,3,4,2,2,3,3,3,4,3,3,3,2,4,3,3,4,2,4,3,3
BI018,4,0,0,0,3,3,1,1,4,0,2,4,1,2,3,3,4,3,0,4,3,3,4,3,3,1,3,1,3,4,3,2,4,2,4,3
BI025,2,0,0,0,1,2,0,0,0,0,0,2,0,0,3,0,0,0,0,0,3,2,0,3,2,2,4,3,3,2,5,2,4,5,4,5
BI037,3,0,0,0,0,3,0,4,3,0,5,2,4,0,2,0,0,0,0,3,4,2,4,4,4,4,3,5,3,3,2,5,4,4,1,4
BI041,4,3,2,3,2,3,2,3,2,2,1,5,3,3,3,3,5,2,2,5,3,1,2,1,5,2,5,5,3,1,1,3,3,3,3,5
BI044,3,0,0,0,2,2,2,3,3,0,5,2,3,1,3,0,5,3,0,3,2,2,3,1,3,3,3,1,5,3,4,3,3,3,3,1
BI045,3,0,3,2,3,4,4,2,4,3,3,3,4,0,5,1,5,1,2,0,3,3,3,5,2,2,5,1,3,3,3,3,2,4,2,3
BI046,1,0,0,0,0,3,5,3,3,0,3,4,2,0,4,5,4,3,0,0,3,5,5,4,2,4,5,3,3,4,3,5,3,4,4,3
BI049,4,0,0,0,3,4,5,2,3,0,3,5,3,3,3,1,4,0,0,0,4,4,5,5,3,2,3,4,1,1,1,4,3,3,2,4
BI058,3,2,0,0,3,3,0,0,0,0,0,4,0,0,4,0,0,0,0,0,1,3,0,3,3,3,1,3,4,3,4,3,3,3,5,2
BI060,1,0,0,0,3,3,3,3,3,0,4,3,3,3,3,3,1,2,0,4,2,3,3,2,5,4,1,4,3,5,3,2,3,4,2,4
BI066,1,5,1,5,3,3,5,5,3,2,3,3,3,3,1,4,4,2,3,3,3,1,3,2,3,4,4,2,3,5,2,4,4,4,2,2
BI067,5,3,0,0,2,4,0,4,4,0,3,4,3,0,4,0,0,0,2,0,4,3,2,3,3,3,2,3,5,3,2,4,4,5,2,2
BI076,3,3,0,3,2,3,3,0,0,3,0,3,0,1,3,0,3,1,0,2,2,3,0,2,3,3,2,3,4,3,2,2,3,4,3,3
BI080,2,3,0,4,0,4,4,4,2,2,5,4,4,1,3,0,1,3,3,1,2,2,2,3,2,2,4,3,3,4,5,1,3,3,3,4
BI081,5,5,2,2,0,3,2,4,2,2,4,2,1,2,3,2,3,3,4,2,4,2,3,3,2,4,2,2,3,3,2,2,1,3,3,2
BI083,1,3,4,4,0,1,5,3,5,2,3,3,3,4,4,5,3,3,1,5,3,4,3,3,5,2,2,2,4,1,1,2,3,3,1,5
BI086,5,2,0,3,2,2,3,3,2,4,3,3,2,3,3,0,4,4,3,3,5,3,2,3,2,4,3,3,1,3,5,1,3,5,3,3
BI087,3,3,0,0,0,5,2,2,3,0,2,4,1,5,3,3,3,0,2,0,3,4,4,3,3,2,4,4,3,3,5,4,3,3,3,3
BI088,3,0,0,0,3,2,0,3,1,0,4,4,3,0,1,0,0,0,0,3,3,4,4,3,3,2,1,3,1,4,3,2,3,2,3,4
BI092,3,2,4,2,4,3,3,4,4,1,2,4,1,3,4,3,4,4,3,4,3,3,3,4,4,2,3,5,3,2,3,5,4,4,2,4
BI097,3,4,3,1,3,2,4,5,3,4,3,4,4,4,3,3,4,2,4,5,3,4,4,3,3,4,3,1,4,3,4,2,1,5,2,4
BI100,4,4,0,0,4,3,3,3,1,0,4,5,3,4,2,3,3,0,4,0,4,4,1,4,3,3,1,3,3,3,3,5,4,3,3,2
BI102,3,2,0,3,2,3,3,3,1,5,2,1,1,3,2,0,3,3,2,3,3,2,3,1,1,3,2,1,3,5,4,4,4,5,4,3
BI103,3,2,3,5,3,4,3,3,3,3,3,4,4,4,2,4,3,3,4,3,1,3,4,3,3,3,4,4,3,2,3,3,4,1,3,4
BI105,3,4,0,4,3,3,5,3,2,2,3,5,2,1,4,0,2,3,3,3,4,2,1,2,2,2,1,4,2,5,3,3,2,2,3,3
BI106,4,4,3,3,0,3,5,0,0,3,0,4,0,4,2,2,1,3,0,3,3,1,0,4,3,3,4,4,2,3,4,4,4,2,2,3
BI115,4,0,0,0,2,2,2,0,0,0,0,1,0,3,1,0,2,2,0,1,3,3,0,1,2,3,4,3,3,3,1,5,3,4,3,3
BI128,1,0,2,3,3,4,3,3,2,3,1,4,5,0,1,3,4,3,1,0,4,2,5,3,3,3,4,3,1,5,2,4,3,2,2,4
BI131,3,0,3,4,3,2,3,4,3,2,5,4,1,0,3,2,2,3,4,0,2,3,3,2,2,3,4,3,3,3,3,5,4,2,3,3
BI158,3,0,0,0,3,4,4,4,5,0,2,4,4,0,1,3,2,0,2,0,1,3,3,2,3,2,5,3,3,4,3,4,3,5,2,5
BI161,4,3,3,3,1,2,5,3,3,4,3,1,4,4,2,5,2,3,2,3,3,3,4,1,4,3,5,3,1,1,4,4,3,3,3,5
BI163,5,5,4,5,2,4,4,5,3,1,3,3,2,3,3,3,3,2,5,4,1,4,4,1,3,3,3,4,3,2,5,2,4,2,3,3
BI167,2,3,2,3,3,1,4,0,0,3,0,3,0,4,3,2,3,4,0,2,3,2,0,4,3,3,5,3,3,2,3,3,3,5,4,4
BI171,3,3,2,3,4,3,0,2,3,3,3,4,5,0,2,0,0,0,4,3,3,4,3,3,1,3,3,3,5,5,4,3,4,3,2,3
BI172,1,3,3,5,3,5,2,2,3,3,1,2,3,3,4,3,2,4,2,4,4,5,3,3,3,3,3,3,4,1,4,4,3,3,3,5
BI174,2,0,0,0,0,3,2,3,2,0,4,4,3,3,2,3,2,4,0,4,3,3,2,3,3,4,2,4,4,2,4,3,4,2,2,2
BI177,3,0,0,0,1,1,3,2,3,0,2,3,3,3,4,2,5,3,0,2,3,3,4,3,3,5,3,2,3,3,3,3,5,4,2,2
BI178,5,0,5,3,4,4,2,3,3,3,4,4,4,0,3,3,4,3,2,0,2,3,3,2,5,4,4,3,4,4,3,5,2,5,3,3
BI180,2,3,0,5,0,5,3,5,3,4,2,3,5,5,3,0,2,4,3,1,2,2,4,2,3,3,3,4,3,3,3,3,4,3,2,4
BI181,3,4,3,4,1,3,3,4,5,3,4,3,5,4,1,4,3,1,2,5,5,4,5,4,1,2,1,1,2,3,4,4,3,5,3,4
BI186,3,2,0,3,3,3,3,0,0,4,0,3,0,4,1,0,2,2,0,2,2,2,0,3,1,2,3,3,4,4,3,3,4,4,3,4
BI188,4,3,3,4,0,4,4,4,3,2,1,4,4,3,2,5,5,3,3,4,4,5,2,3,3,4,4,5,3,4,3,3,2,4,5,2
BI190,1,4,3,5,2,1,3,0,0,2,0,2,0,2,3,4,3,3,0,4,4,3,0,3,2,4,3,5,1,3,5,2,5,5,4,3
BI191,3,4,0,0,5,3,0,0,0,0,0,4,0,0,3,0,0,0,0,0,4,2,0,4,1,3,1,3,3,1,4,5,2,5,2,1
BI194,1,0,0,0,4,4,3,4,5,0,3,3,3,0,3,3,3,0,2,0,3,3,5,3,1,3,4,4,3,2,3,3,5,3,3,3
BI206,3,4,3,5,3,1,3,1,2,3,4,3,1,3,3,5,3,4,2,4,4,5,1,3,3,1,3,5,3,5,1,4,3,3,5,2
BI211,4,0,0,0,3,4,0,4,3,0,3,2,3,0,1,0,0,0,0,0,3,4,3,4,3,4,2,1,4,4,2,3,3,3,4,2
BI212,3,0,0,0,4,3,0,0,0,0,0,4,0,0,1,0,0,0,0,0,2,2,0,4,3,1,1,2,1,2,3,2,2,4,3,5
BI215,3,3,2,3,2,1,5,3,5,3,3,3,4,3,5,1,4,3,2,3,3,2,2,3,3,3,2,1,5,5,3,5,3,1,2,5
BI220,3,0,4,3,1,2,1,2,3,2,2,3,3,0,3,3,5,2,1,0,3,4,2,4,5,3,2,4,4,4,1,4,2,2,3,2
BI225,3,0,0,0,5,2,3,3,3,0,3,1,5,3,3,3,3,3,0,3,2,2,3,4,2,1,2,5,4,3,5,3,5,2,2,3
BI227,3,3,3,3,2,1,0,4,5,4,3,3,2,0,2,0,0,0,3,4,2,2,5,2,2,2,2,2,3,3,3,2,4,4,1,3
BI236,1,4,4,5,2,3,2,0,0,1,0,3,0,2,5,5,5,4,0,3,2,3,0,5,3,2,3,5,2,3,3,2,1,3,4,1
BI239,3,4,5,5,3,5,0,4,3,2,3,2,4,0,3,0,0,0,4,5,2,2,3,3,2,4,3,2,3,3,4,3,3,2,5,5
BI244,3,1,3,3,5,5,4,1,5,3,4,3,3,3,2,3,4,1,2,2,3,5,2,2,5,4,1,4,3,4,3,5,1,2,3,3
BI250,5,3,1,3,0,5,3,3,4,4,3,2,4,4,4,5,4,4,5,2,3,3,3,4,4,4,5,2,4,3,3,2,4,3,4,3
BI252,2,0,0,0,1,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,5,0,5,3,3,3,3,4,3,4,4,2,3,2,3
BI253,3,0,0,0,1,3,4,4,4,0,3,1,1,4,4,3,3,3,0,1,4,3,1,4,3,4,4,3,4,3,2,4,3,1,5,3
BI255,4,4,3,3,3,3,4,4,2,3,5,3,4,4,3,3,4,3,3,4,4,2,2,2,3,3,3,1,3,3,3,3,2,5,2,3
BI259,5,3,4,2,3,3,1,3,3,3,5,1,3,3,3,4,3,1,4,4,3,3,2,2,2,3,5,3,2,2,3,3,3,3,3,2
BI261,1,0,0,0,0,4,4,3,4,0,4,3,3,3,1,5,2,0,0,0,2,1,2,4,3,2,3,5,2,2,5,2,3,2,5,5
BI262,4,0,3,2,4,5,3,3,2,3,3,3,3,0,4,4,5,4,3,0,5,3,3,3,4,1,2,3,4,3,3,3,4,4,3,2
BI269,5,0,0,0,0,4,1,3,3,0,2,2,5,3,2,2,5,2,0,3,4,4,3,1,4,3,5,3,3,1,4,3,3,2,2,2
BI271,3,0,3,4,1,3,3,5,4,3,4,2,3,0,3,2,4,3,4,0,1,4,4,5,3,4,4,2,2,1,3,3,5,3,4,3
BI275,2,1,3,4,5,3,4,3,3,3,1,1,1,3,4,2,3,2,4,4,4,3,2,4,2,2,2,3,3,3,3,2,5,3,3,3
BI280,2,2,0,2,2,4,3,3,3,5,2,4,3,2,2,0,3,2,3,3,3,4,4,3,5,1,1,3,3,3,3,2,2,4,4,3
BI286,3,3,2,3,0,3,0,5,4,2,3,5,1,0,3,0,0,0,1,1,1,3,4,2,3,3,2,3,3,3,3,3,5,3,3,3
BI287,1,0,0,0,3,1,3,2,1,0,5,2,3,0,3,3,2,0,2,0,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3
BI309,4,3,4,4,5,3,5,0,0,3,0,3,0,3,3,3,4,5,0,2,3,3,0,2,4,3,4,5,1,5,4,3,3,3,3,3
BI315,1,3,2,1,3,3,3,0,0,3,0,3,0,1,3,4,4,2,0,3,5,1,0,3,2,4,3,1,3,3,2,5,4,2,3,3
BI316,4,5,0,4,3,3,5,3,3,3,2,3,5,3,4,0,3,5,3,2,3,3,2,4,5,3,4,4,4,1,2,1,1,3,3,2
BI317,1,3,2,4,0,4,0,4,4,5,2,5,4,0,3,0,0,0,4,1,3,3,2,2,2,3,3,1,5,4,4,2,3,3,5,4
BI319,3,0,0,0,3,1,0,4,2,0,5,3,2,0,2,0,0,0,0,4,4,4,3,2,4,3,1,4,3,2,4,5,3,3,3,4
BI321,1,0,0,0,5,5,2,4,2,0,4,2,4,4,3,2,1,3,0,4,3,3,2,2,3,3,3,5,3,3,2,5,4,4,3,3
BI322,3,0,3,5,2,1,4,2,3,3,3,4,3,0,4,4,1,2,1,0,4,3,4,3,3,4,3,4,2,5,3,4,1,3,5,4
BI327,1,0,0,0,4,2,0,3,3,0,5,2,4,0,3,0,0,0,0,0,4,5,3,2,3,3,3,3,3,3,2,1,2,2,4,2
BI335,4,3,1,4,0,2,0,1,2,4,4,2,1,0,3,0,0,0,1,4,3,3,4,5,2,2,5,3,3,3,4,4,5,3,2,3
BI336,3,3,3,2,3,3,0,0,0,3,0,3,0,0,2,0,0,0,0,1,3,3,0,4,4,3,3,3,3,3,5,2,5,1,3,2
BI337,3,0,0,0,3,3,5,4,3,0,3,3,3,3,1,3,3,0,0,0,3,2,3,1,2,3,3,1,4,3,1,1,2,2,4,3
