rollNum,coursesEnrolled
23BI00008,CA741 CA825
23BI00096,CA549 EN388 ST233
23BI00159,EN235 GO308 MA708 PY562 ST103 ST134
23BI00182,CH186 HI675 MA279
23BI00186,CA653 CA697 MA331 PY287 PY402
23BI00187,GO123 HI197 MA261
23BI00220,CA547 PY131 PY132 PY384 ST649
23BI00257,BI636 BI659 EN287
23BI00292,CH935 CH936 CH940 CH969 PY838
23BI00344,CA553 GO801 PY814
23BI00386,BI406 EN227 PY986 ST112 ST117 ST525
23BI00405,CA565 CH205 CH207 CH386 PY398
23BI00417,CA929 CH186 HI061 MA279
23BI00431,BI618
23BI00458,HI503 PY226 ST249 ST268
23BI00556,MA456
23BI00565,BI985 CH386 PY721 ST249 ST387
23BI00606,ST654
23BI00621,BI985 HI461 MA276 PY565 PY603
23BI00640,GO154 MA261 PY564 PY727
23BI00688,BI994 CA021 CA028 CA216
23BI00689,HI471 PY749 PY827 ST298
23BI00692,EN240 EN265 MA649 MA664 PY625 ST238
23BI00702,CA910 EN940 HI408 PY131 ST384
23BI00712,BI167 BI225 CH549 PY808 ST384
23BI00737,CH386 GO795 ST035 ST051 ST232 ST631
23BI00743,BI406 CH469 PY200 PY423 PY786
23BI00759,BI371 PY630 ST304 ST939
23BI00764,ST907 ST919
23BI00777,CA662 CA693 CA698 MA331
23BI00809,CA565 CH205 CH207 PY398
23BI00829,CA545 CH181 MA323 PY801
23BI00832,MA546 PY116
23BI00873,CA547 CH176 HI492 PY801
23BI00893,CH468 MA905 ST901 ST921
23BI00901,CA035 CA076 CA128 CA148 GO646 MA954
23BI00941,MA744
23BI00986,BI172
23BI01103,CH186 EN767 MA282 PY375
23BI01111,CH556 HI701 MA145 MA146
23BI01115,GO795 PY288 ST030 ST034 ST035 ST631
23BI01174,CA569 CH176 HI196 ST649
23BI01197,MA094 MA111 MA117 MA843
23BI01277,CA942 GO485 HI687 ST395 ST684
23BI01294,CA529 CA640
23BI01325,CA547 CA910 CH386 MA264 ST390
23BI01338,BI970
23BI01347,MA659 MA661 MA682 MA722 ST432
23BI01377,HI384 ST215 ST217 ST220
23BI01393,BI409 CH386 GO129 HI461 PY549
23BI01430,BI931 CA738 CA741 CA754 CA756
23BI01440,HI430 PY197 ST670
23BI01461,EN238 EN846 HI039 MA330 PY375
23BI01541,HI687 MA422 MA682 PY846 ST658 ST684
23BI01577,EN395
23BI01591,CA540 CH186 HI193 MA279
23BI01607,MA157 MA195 MA428
23BI01675,GO308 PY169 PY190 PY846 ST375
23BI01685,CA658 CA701 CA704 CA741 CA745
23BI01747,EN134
23BI01753,BI760 CA537 CA910 EN235 PY592 PY603
23BI01758,CA756 CA832 CA847
23BI01807,CH824 GO043 MA276 ST513
23BI01837,BI931 BI936 CH386 PY322 ST159
23BI01861,BI315 CH053 CH067
23BI01887,HI111 HI112 ST387
23BI01947,GO341 PY121 PY150 PY158 PY173
23BI02000,CA850 CA881 CA882 EN133
23BI02072,PY209 ST678 ST954
23BI02123,HI232 MA282 ST384
23BI02128,CA553 CH469 GO483 MA264 ST390
23BI02137,CA535
23BI02160,CA537 CA569 MA323 ST390
23BI02252,MA008
23BI02272,BI105 EN126 EN153
23BI02311,GO349 GO454 PY771 PY809 ST395
23BI02334,CH186 MA411 PY433 PY829
23BI02372,CA658 CA753 CA754 CA756 HI556 MA086
23BI02476,CA531 CH246 HI416
23BI02491,CA203 CA207 MA664 PY094 PY808 ST582
23BI02536,MA185 MA191 MA431
23BI02538,MA801 PY110
23BI02551,BI186 BI271 GO011 HI023 ST785
23BI02580,CA653 CA693 CA697 MA330 PY402
23BI02593,CA203 CA207 GO577 MA688 MA708 ST650
23BI02599,CA540 CH186 EN870 MA323 ST947
23BI02661,CH181 EN746 MA282 PY375
23BI02861,CH352 HI930 MA630
23BI02866,CA936 HI471 MA387 MA407
23BI02885,HI572 HI592
23BI03018,CH186 CH386 MA282 PY375
23BI03032,BI350 BI416 CH903 PY721 ST239 ST939
23BI03037,GO552 HI492 ST117 ST134 ST249
23BI03041,BI994 CA035 CH386 PY389
23BI03093,CH386 CH437 HI061 HI460 PY276
23BI03119,BI177 BI985 GO068 MA276 PY713
23BI03289,CH723 ST815 ST829 ST830
23BI03292,CA821 CA877
23BI03334,BI970 EN662
23BI03345,GO415 HI061 PY294 ST631
23BI03382,CA504
23BI03422,CH181 CH386 MA282
23BI03428,BI618
23BI03454,BI815 CA216 CA569 PY603 ST673
23BI03505,MA303
23BI03511,PY364 PY365
23BI03533,PY877 PY955
23BI03556,BI985 CH386 GO082 MA276 MA646
23BI03620,CA942 PY474 PY512
23BI03626,MA189 MA445
23BI03659,BI402 EN239 EN240 MA646 MA664
23BI03675,MA189 MA442
23BI03760,BI985 CH400 GO136 MA276 PY714
23BI03784,EN025 EN239 HI725 HI760
23BI03881,CH386 EN025 MA296 PY375
23BI03934,BI833 BI845 BI853
23BI03993,EN312 EN336 EN338
23BI04031,CA588 CA602 CA620
23BI04053,EN827
23BI04054,CA216 CA224 MA372
23BI04056,CA397 CH545 EN712 PY389 ST743
23BI04057,CH186 CH386 MA282 MA808 PY375
23BI04065,HI420 ST274 ST307 ST315 ST316
23BI04091,EN239 HI671 HI690 MA282 MA646
23BI04120,CH400 CH549 MA664 ST426
23BI04149,EN238 MA649 ST639
23BI04198,GO498 MA874 MA893 MA894
23BI04219,EN522 EN620
23BI04251,BI985 GO028 HI471 MA276
23BI04256,CH386 MA583 MA590 MA591 ST743
23BI04259,HI953 HI964
23BI04269,GO694 GO747
23BI04300,BI991 BI999 GO000
23BI04338,CA540 CH181 CH386 MA279
23BI04362,CH186 CH386 MA282 PY375
23BI04399,CA378 HI188 HI978 MA259
23BI04472,MA662 MA713 PY099 ST395
23BI04474,BI930 CA378 PY783 PY809
23BI04543,BI618
23BI04569,BI955 HI061 PY310 PY633 ST249
23BI04585,BI994 CA021 CA028 PY389
23BI04588,BI985 EN238 MA316 MA646 PY714
23BI04617,BI970 HI755 HI757
23BI04621,GO497 GO920 HI519 HI525 HI552
23BI04679,CH186 CH386 MA282 PY375
23BI04763,HI567 HI575
23BI04784,CA915 EN238 GO041 ST387
23BI04870,MA741
23BI04872,CH395
23BI04873,CA569 CA629 GO883 GO892 ST649
23BI04908,BI372 CH982 ST921 ST939
23BI04962,EN147 MA442
23BI05009,CH181 EN882 HI496 MA279
23BI05134,CH181 CH386 MA279
23BI05139,CH549 EN238 HI492 MA323 PY808 PY827
23BI05170,CH396 MA244
23BI05188,EN370 EN530 MA477 PY410 PY786
23BI05196,GO679 GO683 GO689
23BI05245,CA675 CA721 CA722 CA730 CA742 CA752 ST384
23BI05316,BI994 CA021 CA028
23BI05369,MA664 ST077 ST084 ST118
23BI05427,CH913 CH926 CH936 CH969 HI401
23BI05487,CA525 CA598 PY313 PY398 ST673
23BI05490,BI402 GO366 PY742 PY771 PY825
23BI05522,BI412 CH435 CH572 CH728 HI146 HI978 HI981 PY295 PY423
23BI05706,CA906 CA908
23BI05723,EN153
23BI05756,BI930 CH844 MA310 MA573 MA587
23BI05774,MA661 MA683 MA717 PY099 PY294
23BI05795,CH124 CH128 CH138 EN242 MA854 ST676
23BI05883,CH571 CH728 PY283 PY567 PY573 PY592
23BI05914,HI731 MA276 ST030 ST549 ST589
23BI05944,GO801 PY007 PY021 PY829 ST957
23BI05950,CA330 CA334 CA356
23BI05961,EN445
23BI05984,CH181 HI517 PY190 PY308 PY724
23BI05999,CA717 CH186 MA086 MA331 PY402
23BI06002,CA532 CA535 MA562
23BI06012,CH386 EN238 HI201 MA316 MA649
23BI06035,CA920 CH186 MA282 PY375
23BI06054,BI220 BI371
23BI06095,CH248 HI687
23BI06097,CH936 CH940 GO591
23BI06105,CH050 CH176 MA276 MA646
23BI06177,MA461 MA470
23BI06241,CA545 CH181 HI061 MA316 ST947
23BI06251,MA189
23BI06266,HI460 HI503 PY318 PY557 PY565
23BI06291,GO057 MA264 PY124 PY549 ST030
