courseId,numStudents,computers,projector,whiteboard,internet,audio,printer,backup-power
BI002,935,1,0,0,0,0,1,0
BI025,144,0,1,1,0,1,0,0
BI057,78,0,0,0,0,1,0,0
BI077,488,0,0,0,0,0,0,0
BI080,118,1,0,0,0,0,1,1
BI096,50,0,0,0,1,0,0,0
BI103,147,0,0,0,0,0,0,0
BI145,104,0,0,0,0,0,1,0
BI148,78,1,0,0,0,0,0,0
BI150,157,0,0,1,0,0,0,0
BI152,96,0,0,0,0,0,0,0
BI172,39,0,1,0,0,0,0,0
BI184,77,0,0,0,1,0,0,0
BI190,42,0,0,0,0,1,0,1
BI253,66,0,0,0,0,0,0,0
BI266,60,0,0,0,0,0,0,0
BI320,58,1,1,0,0,1,0,0
BI321,34,0,0,0,0,0,1,0
BI326,32,0,0,0,1,0,0,0
BI334,33,0,0,0,0,0,0,0
BI451,33,0,1,0,0,0,0,0
BI480,36,1,1,0,0,0,0,0
BI483,225,0,0,0,1,0,0,0
BI484,258,0,0,1,0,0,1,0
BI498,150,0,0,0,1,1,0,0
BI506,28,0,0,0,0,0,1,0
BI534,76,0,0,0,0,0,0,1
BI536,38,1,0,0,0,0,0,0
BI541,38,0,0,0,0,0,0,0
BI543,39,0,0,0,0,0,1,0
BI555,82,0,0,0,0,0,1,0
BI558,118,0,0,0,0,0,0,1
BI586,77,1,0,1,0,1,1,1
BI614,79,0,0,0,0,1,0,1
BI617,32,1,0,0,0,0,1,0
BI653,40,0,0,0,1,0,0,0
BI672,35,1,0,0,0,0,0,1
BI676,19,0,0,0,1,0,1,0
BI716,133,0,0,0,0,0,0,0
BI718,130,1,0,1,1,0,0,0
BI721,131,1,0,0,1,0,1,0
BI730,119,0,0,1,0,0,0,1
BI731,125,0,0,0,0,0,0,0
BI745,123,1,0,1,0,0,0,0
BI778,121,1,0,1,0,0,0,0
BI787,120,0,0,0,0,1,1,1
BI793,119,0,0,0,0,0,0,0
BI802,76,0,1,0,0,0,0,0
BI832,71,0,0,0,1,0,0,0
BI887,29,0,1,0,0,0,0,0
BI931,75,1,0,0,0,0,0,1
BI976,143,1,1,1,0,0,0,0
BI990,46,0,1,0,0,1,1,1
BI999,30,0,0,0,0,0,0,1
CA009,27,0,0,0,0,0,0,0
CA021,154,0,0,1,1,0,0,0
CA046,137,1,1,0,0,0,0,0
CA056,57,1,0,0,0,1,0,1
CA102,43,0,1,0,0,0,0,0
CA119,92,0,0,0,0,0,0,0
CA124,71,0,0,0,0,0,0,0
CA142,25,0,1,1,0,1,1,0
CA166,22,1,1,0,1,0,1,0
CA186,12,1,0,1,0,0,1,1
CA198,699,0,1,1,0,0,0,0
CA203,114,1,0,0,0,1,0,1
CA215,58,1,0,1,0,0,0,0
CA233,182,0,0,0,0,0,0,0
CA286,65,0,0,0,0,0,0,0
CA302,64,1,0,0,0,0,0,0
CA360,40,0,0,0,0,0,0,0
CA370,25,0,0,1,0,0,1,0
CA400,33,0,0,0,0,0,0,0
CA418,29,0,0,0,0,1,0,0
CA444,20,0,0,0,0,0,0,1
CA490,21,0,0,0,1,0,1,0
CA505,19,0,1,0,1,0,0,1
CA530,20,1,0,0,1,0,1,0
CA537,20,0,0,0,0,1,0,0
CA548,15,0,1,0,0,1,0,0
CA550,9,0,0,0,0,1,0,0
CA561,32,0,0,0,0,0,0,1
CA595,28,0,0,1,1,0,0,0
CA600,144,0,1,0,0,0,0,1
CA618,240,0,0,0,0,0,0,1
CA666,70,0,0,0,0,0,1,0
CA689,42,0,0,0,0,0,1,1
CA694,12,0,0,0,0,0,0,0
CA722,7,1,0,0,0,0,1,0
CA736,51,1,0,0,1,0,0,0
CA741,37,0,0,0,0,0,0,1
CA743,135,0,0,0,1,0,0,0
CA771,119,0,0,0,0,0,1,0
CA820,78,0,1,0,0,0,0,0
CA842,36,1,1,0,0,0,0,0
CA843,57,1,1,0,1,1,0,0
CA845,71,1,0,1,0,0,0,1
CA846,42,0,0,0,1,0,0,0
CA867,27,0,1,0,0,0,1,0
CA868,44,0,1,1,0,0,0,0
CA893,26,0,0,0,1,0,0,1
CA897,28,0,0,1,0,0,0,0
CA901,25,1,1,0,0,0,0,0
CA905,30,0,0,1,0,0,0,1
CA923,29,0,0,0,0,0,0,0
CA942,31,0,0,0,1,1,0,0
CA980,3,0,0,0,0,0,0,0
CA986,27,1,0,0,1,0,0,0
CA988,43,0,0,0,0,0,1,1
CH000,23,0,0,1,0,0,0,0
CH070,22,0,1,0,0,0,0,0
CH101,119,0,0,0,0,0,0,0
CH123,135,0,0,0,0,0,0,0
CH162,131,0,0,0,0,0,1,0
CH169,107,0,0,0,1,0,0,0
CH179,39,0,0,0,0,0,0,0
CH197,99,0,0,0,0,0,0,0
CH204,100,1,1,1,0,1,1,0
CH222,119,1,0,0,0,0,0,0
CH234,101,0,0,0,0,0,1,0
CH240,61,0,0,0,0,0,0,1
CH260,29,0,0,0,0,0,0,0
CH274,26,0,0,0,0,0,0,1
