RoomId,Capacity,computers,projector,whiteboard,internet,audio,printer,backup-power
Room1,80,1,1,1,1,1,1,1
Room2,80,1,1,1,1,1,0,0
Room3,80,1,1,0,1,1,1,0
Room4,80,1,1,1,1,1,1,0
Room5,80,1,1,1,1,1,0,1
Room6,80,0,0,0,1,1,1,1
Room7,80,1,1,1,1,1,1,1
Room8,80,1,1,0,1,1,1,1
Room9,80,0,1,0,1,0,1,0
Room10,140,1,1,1,1,1,1,1
Room11,140,1,1,1,1,1,1,1
Room12,140,1,1,1,1,1,1,1
Room13,140,1,1,0,1,1,1,1
Room14,210,1,1,1,1,1,1,1
Room15,210,1,0,1,1,1,1,1
Room16,280,1,1,1,1,1,1,1
Room17,340,1,1,1,1,1,1,1
Room18,410,1,1,1,1,1,1,1
Room19,480,1,1,1,1,1,1,1
Room20,550,1,1,1,1,1,1,1
Room21,610,1,1,1,1,1,1,1
Room22,680,1,1,1,1,1,1,1
Room23,750,1,1,1,1,1,1,1
Room24,810,1,1,1,1,1,1,1
Room25,950,1,1,1,1,1,1,1
