courseId,Room1,Room2,Room3,Room4,Room5,Room6,Room7,Room8,Room9,Room10,Room11,Room12,Room13,Room14,Room15,Room16,Room17,Room18,Room19,Room20,Room21,Room22,Room23,Room24,Room25
BI002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BI025,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,3,3,1,3,4,4,5,2
BI057,5,3,1,1,3,5,5,1,0,3,3,3,5,3,2,4,3,3,4,1,3,5,2,3,4
BI077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,4,3,1
BI080,0,0,0,0,0,0,0,0,0,4,2,4,2,3,3,3,5,3,1,3,3,2,5,1,2
BI096,3,3,4,3,3,3,5,5,3,3,2,3,3,3,3,2,2,3,3,2,1,3,1,3,2
BI103,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,3,2,2,1,2,5,3,2,3
BI145,0,0,0,0,0,0,0,0,0,3,2,3,2,4,4,4,2,2,5,3,1,5,3,1,4
BI148,2,3,4,3,2,0,4,3,0,4,1,3,4,3,5,3,3,2,3,5,3,3,3,2,1
BI150,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,3,4,3,3,4,2,3,1,3
BI152,0,0,0,0,0,0,0,0,0,3,1,2,3,4,3,3,2,3,2,2,4,2,3,3,3
BI172,4,5,2,4,1,0,4,3,5,4,3,3,2,1,0,2,5,5,4,1,5,2,4,5,3
BI184,2,4,3,2,2,2,4,4,3,2,3,2,2,5,2,4,4,4,3,3,3,4,3,4,2
BI190,1,0,0,0,3,5,3,4,0,3,4,3,3,1,5,3,3,3,3,3,2,3,5,3,1
BI253,3,2,3,3,5,3,3,4,4,2,3,2,1,2,3,4,3,3,2,1,5,1,1,1,4
BI266,5,2,4,2,2,4,3,5,3,2,4,5,4,2,2,1,3,1,5,3,4,4,1,3,3
BI320,2,2,3,4,2,0,2,1,0,5,5,3,1,5,0,5,2,3,1,1,2,2,4,3,2
BI321,2,0,2,3,0,3,5,2,4,5,3,4,3,3,3,2,3,3,3,5,1,1,2,2,2
