rollNum,coursesEnrolled
23BI00053,GO416 GO453
23BI00064,PY342
23BI00082,PY006
23BI00177,GO070 PY139 PY307
23BI00225,BI558
23BI00392,PY557
23BI00404,GO605 PY831
23BI00468,EN860
23BI00538,ST489
23BI00681,CA618 CH950 EN154 HI437 MA008 MA030 MA674
23BI00809,PY802
23BI00878,MA613
23BI00944,PY342
23BI01072,CH580 CH588 MA308 MA651 MA674
23BI01191,GO126
23BI01203,MA544
23BI01416,ST489 ST502
23BI01429,MA613
23BI01563,BI184
23BI01615,BI730 BI731 BI745 BI778 BI787 BI793 CH222 HI382
23BI01711,PY167
23BI01720,EN807
23BI01741,MA576 MA613
23BI01814,MA630
23BI01862,ST489 ST502
23BI01916,CA203 HI085 HI213
23BI01922,GO070 PY139 PY307
23BI01969,CA689
23BI01990,ST458
23BI02030,PY363
23BI02048,BI077 CH950 EN996 PY995
23BI02129,BI498 BI541
23BI02193,MA630
23BI02197,PY791
23BI02387,EN852 MA456 MA613 PY824
23BI02772,CA360
23BI02775,BI541 BI614 MA525 PY926
23BI02786,CA198 CH943 EN791 PY849 PY950
23BI02792,BI745
23BI02816,GO020 MA525 MA630
23BI02817,CH968
23BI02890,HI633 PY791
23BI02909,CA360 EN083 HI944 ST107
23BI02951,MA544 MA576
23BI02966,EN484 EN504 EN507 EN515 EN548 EN852
23BI02969,MA544
23BI03214,EN049 ST708
23BI03403,CH469 GO413
23BI03475,BI484
23BI03521,CH816 CH817
23BI03566,BI057 CA203 HI859 MA581 PY730 PY986
23BI03684,BI483 BI484 BI543
23BI03736,PY363
23BI03737,CA215 CA286 CA302 HI889 PY498 ST033
23BI03758,BI484
23BI03784,HI889 PY727 PY730
23BI03789,CA186 PY557
23BI03859,BI558
23BI03908,CH667 CH673 CH803 HI381
23BI03992,MA576 MA613
23BI04134,PY006 PY342 PY791 PY934
23BI04174,PY199
23BI04270,HI631 HI633 MA250 MA377 PY873
23BI04333,EN859
23BI04433,MA544 MA576 MA613
23BI04483,CA203
