courseId,numStudents,computers,projector,whiteboard,internet,audio,printer,backup-power
BI050,13,0,0,1,0,0,1,0
BI128,24,0,0,0,0,0,0,0
BI309,209,0,0,0,0,0,0,0
BI340,85,0,0,1,0,0,1,0
BI368,3,0,0,0,1,1,0,0
BI423,122,0,0,1,0,1,1,0
BI476,28,1,1,0,1,0,0,0
BI501,9,0,1,0,0,0,0,0
BI605,31,0,0,1,0,0,0,0
BI632,27,0,0,0,0,0,0,0
BI642,30,1,1,0,0,0,0,0
BI822,10,0,1,0,0,0,0,1
BI875,29,0,0,0,0,0,0,1
BI948,25,1,0,1,1,0,0,0
BI955,29,0,1,0,1,0,0,0
BI985,29,0,1,0,0,0,0,0
CA185,1,0,0,1,1,0,1,0
CA196,30,0,0,0,0,0,0,0
CA249,33,1,1,0,0,0,0,0
CA395,21,0,0,0,0,0,0,0
CA396,11,0,0,0,0,1,0,1
CA545,20,0,0,0,0,0,0,0
CA635,20,0,0,0,0,1,1,0
CA739,33,0,0,0,0,0,0,0
CA756,35,1,0,0,0,1,0,0
CA768,35,0,0,0,0,0,1,0
CA843,40,0,0,0,0,0,0,0
CA846,1,0,0,0,0,0,0,0
CA906,91,0,0,0,1,0,1,0
CA942,31,0,0,1,0,1,0,0
CH011,27,0,0,0,0,1,0,0
CH113,30,0,0,0,0,1,0,1
CH190,10,0,0,1,0,0,1,1
CH197,29,0,1,0,0,0,0,0
CH221,25,1,1,0,0,0,0,0
CH234,29,1,0,0,0,0,0,0
CH314,29,0,1,0,0,0,1,0
CH585,1,0,0,0,0,0,1,0
CH617,30,0,0,0,0,1,0,0
CH639,33,0,1,1,0,0,0,0
CH656,21,0,0,0,0,0,0,0
CH772,11,0,1,0,0,1,1,0
CH816,20,0,0,1,0,0,0,0
CH901,20,0,1,1,1,0,0,0
CH932,33,0,1,0,1,1,0,0
CH996,35,0,0,0,0,0,0,0
EN159,35,0,0,0,1,0,0,1
EN251,2,1,0,0,0,1,0,0
EN293,68,0,0,0,0,0,0,0
EN324,31,0,1,0,0,0,1,0
EN397,27,0,0,0,0,0,0,0
EN421,30,1,0,0,0,1,0,0
EN426,10,0,0,1,0,0,0,1
EN657,29,0,0,0,0,1,0,1
EN693,25,0,1,0,0,0,1,1
EN715,29,0,1,0,0,0,0,0
EN724,29,0,0,0,1,0,0,0
EN758,1,0,1,0,0,0,1,0
EN796,30,0,0,0,0,0,0,0
EN910,33,0,0,1,0,0,1,1
EN924,21,0,0,0,0,0,0,0
EN969,11,0,0,0,0,0,1,1
GO043,20,0,0,0,1,0,0,1
GO092,20,0,0,0,0,1,0,0
GO203,33,0,0,0,0,1,0,0
GO245,35,0,0,0,0,0,0,0
GO298,35,0,0,0,0,0,1,0
GO336,13,0,1,0,0,0,0,0
