courseId,2025-03-03 10:00:00,2025-03-03 14:00:00,2025-03-04 10:00:00,2025-03-04 14:00:00,2025-03-05 10:00:00,2025-03-05 14:00:00,2025-03-06 10:00:00,2025-03-06 14:00:00,2025-03-07 10:00:00,2025-03-07 14:00:00,2025-03-10 10:00:00,2025-03-10 14:00:00,2025-03-11 10:00:00,2025-03-11 14:00:00
BI050,2,3,3,3,4,5,3,2,2,4,4,3,4,2
BI128,3,3,3,2,4,2,4,2,2,3,5,3,5,4
BI309,4,4,3,3,2,3,3,3,1,3,5,3,5,1
BI340,4,3,5,2,3,4,2,3,3,3,4,2,4,3
BI368,2,3,1,2,2,3,3,2,2,2,3,2,4,2
BI423,4,2,2,3,2,2,1,2,2,1,4,3,3,2
BI476,2,2,3,3,3,5,4,3,2,3,4,1,3,3
BI501,3,5,3,3,3,2,1,1,2,2,4,1,3,3
BI605,3,3,3,4,2,2,3,3,4,2,5,4,3,2
BI632,1,3,2,2,3,3,2,2,4,5,3,2,4,5
BI642,5,3,3,1,2,4,3,5,5,3,1,4,3,3
BI822,3,5,3,5,3,3,3,3,3,1,3,5,4,3
BI875,1,3,2,4,3,3,3,2,3,3,3,4,3,4
BI948,5,3,5,3,3,4,3,2,3,5,3,2,3,3
BI955,1,5,2,2,4,3,4,2,2,2,3,3,3,3
BI985,2,2,2,2,5,2,5,4,4,2,3,1,2,3
CA185,3,2,4,3,3,3,1,3,4,4,1,1,3,3
CA196,4,4,1,5,2,1,3,3,3,2,4,1,4,3
CA249,2,3,1,2,1,3,2,3,5,3,4,3,2,1
CA395,1,3,3,1,3,3,3,4,3,2,3,3,3,4
CA396,3,4,2,3,4,3,3,5,5,2,3,3,1,3
CA545,4,3,2,5,4,2,2,4,2,2,3,4,2,3
CA635,4,2,3,4,3,1,3,3,2,3,5,3,3,2
CA739,2,4,5,2,3,1,2,3,2,3,3,3,3,3
CA756,5,3,3,3,4,4,2,3,3,2,4,4,3,3
CA768,3,2,2,1,5,4,1,2,3,5,1,4,3,4
CA843,2,2,3,4,2,2,2,4,4,3,2,3,2,3
CA846,2,5,3,2,2,1,3,3,3,3,3,3,3,3
CA906,4,3,3,4,3,3,2,4,3,4,4,4,2,3
CA942,5,5,4,5,5,4,1,5,3,3,5,3,4,2
CH011,1,4,3,5,3,1,3,2,3,3,2,2,5,3
CH113,3,2,4,3,4,3,4,2,1,3,5,4,5,5
CH190,1,3,1,4,2,4,5,3,3,1,5,3,2,3
CH197,1,3,3,3,3,3,5,4,2,3,2,2,2,4
CH221,4,3,2,2,4,3,4,3,5,3,4,2,4,5
CH234,4,3,2,3,2,3,2,3,3,3,4,5,4,3
CH314,2,1,2,3,3,4,4,4,2,2,2,3,2,3
CH585,5,3,3,4,3,4,3,2,1,1,5,3,3,5
CH617,2,5,3,2,2,3,5,2,3,4,4,2,4,4
CH639,3,4,2,3,5,2,5,4,4,4,3,4,3,3
CH656,5,5,2,4,4,4,3,3,3,3,3,4,3,4
CH772,3,1,4,2,4,1,3,3,4,2,2,3,2,2
CH816,4,4,4,3,3,5,2,3,4,3,1,5,4,2
CH901,2,2,3,3,3,4,4,4,2,3,1,3,3,4
CH932,1,2,2,3,3,4,4,2,3,3,3,5,3,5
CH996,4,3,3,3,2,1,3,3,1,3,4,4,3,1
EN159,3,3,4,3,3,3,4,1,2,4,4,4,4,5
EN251,3,3,3,3,3,4,3,5,1,3,3,4,3,5
EN293,1,3,5,3,4,5,2,5,3,3,2,4,3,2
EN324,3,4,2,2,3,2,3,4,3,3,3,3,3,2
EN397,2,2,4,4,3,1,1,4,3,5,3,2,2,5
EN421,4,2,1,3,4,2,2,5,3,5,4,3,3,2
EN426,3,4,3,3,2,4,5,3,5,4,2,5,3,3
EN657,2,3,1,4,3,3,3,3,2,3,1,3,5,2
EN693,5,4,3,3,2,2,3,1,2,2,3,4,4,4
EN715,3,3,3,3,4,5,3,1,3,3,3,5,2,1
EN724,3,4,1,1,1,1,3,1,3,3,3,5,5,2
EN758,3,2,3,3,5,3,4,2,1,1,2,3,4,2
EN796,4,3,4,2,5,1,2,3,3,1,2,3,2,3
EN910,2,1,3,1,3,1,3,1,2,5,3,3,3,2
EN924,4,2,3,2,4,3,1,4,4,5,5,4,2,3
EN969,2,2,3,4,4,3,3,3,3,3,3,3,1,4
GO043,4,2,2,4,3,4,5,2,4,3,2,5,5,5
GO092,3,2,4,1,1,3,4,3,5,3,3,5,3,3
GO203,5,2,1,2,4,2,4,4,5,3,3,2,3,4
GO245,3,3,2,4,2,3,1,1,1,1,5,1,4,2
GO298,5,3,3,3,3,3,1,2,4,3,5,2,3,4
GO336,3,1,4,3,2,2,3,5,5,4,4,3,3,3
GO572,4,3,4,5,3,4,1,5,2,3,1,2,4,4
GO622,4,3,5,4,1,3,4,4,2,1,4,2,4,3
GO651,1,3,4,3,2,3,2,2,3,2,3,2,2,2
GO656,1,3,3,5,3,3,2,3,1,4,3,3,3,3
GO659,2,4,3,3,3,5,1,3,3,4,3,3,3,1
GO715,5,4,3,2,3,3,3,2,3,1,4,3,3,3
GO873,3,2,3,3,2,3,4,5,4,5,4,2,2,3
GO952,3,2,3,4,5,3,3,4,5,4,2,3,2,3
