courseId,numStudents,computers,projector,whiteboard,internet,audio,printer,backup-power
BI152,109,0,0,0,0,0,0,0
BI173,56,1,0,0,0,1,0,0
BI225,56,0,0,0,0,1,0,0
BI252,43,0,0,0,0,0,0,0
BI291,30,0,0,0,0,0,0,0
BI318,57,0,0,0,0,0,0,0
BI331,28,1,1,0,0,1,0,0
BI368,43,0,0,0,1,0,0,0
BI406,15,0,0,0,1,0,1,0
BI416,18,0,0,0,0,0,0,0
BI417,407,0,1,0,0,0,1,1
BI436,98,0,0,0,0,0,0,0
BI594,80,0,1,0,0,0,0,1
BI599,78,0,0,0,0,0,1,0
BI626,70,0,1,1,0,0,0,0
BI629,14,0,0,1,0,0,0,0
BI646,7,0,1,0,0,0,0,0
BI693,19,0,0,0,0,0,0,0
BI715,68,0,0,0,1,1,1,0
BI806,4,0,0,0,0,0,1,0
BI824,12,0,0,0,0,1,0,0
BI858,30,0,0,0,0,0,0,1
BI864,16,0,0,0,0,1,0,0
BI895,4,0,0,0,0,0,1,1
BI897,42,0,0,0,0,1,0,0
BI965,4,0,0,0,1,1,0,0
BI966,58,0,0,0,0,0,0,0
BI969,189,0,0,1,1,0,0,0
BI974,58,1,0,0,0,0,1,0
CA000,98,0,0,0,0,0,0,0
CA032,57,0,0,0,1,1,0,0
CA090,16,0,0,0,0,0,0,0
CA101,31,1,1,0,0,0,0,0
CA140,11,0,0,0,1,0,0,0
CA154,17,0,0,0,0,1,1,0
CA184,14,0,0,0,0,0,0,1
CA226,16,0,0,1,1,0,0,1
CA362,146,0,1,0,0,1,0,1
CA367,25,0,0,0,0,0,0,0
CA453,22,0,1,1,1,0,0,0
CA471,30,0,0,0,1,0,0,0
CA549,32,1,0,0,0,0,0,0
CA602,20,0,0,0,0,0,0,1
CA632,124,1,0,0,0,0,0,0
CA633,19,0,0,0,0,0,0,0
CA660,69,0,0,0,0,0,0,1
CA695,39,0,1,0,0,0,0,0
CA712,2,0,1,0,0,0,0,0
CA766,21,0,1,0,0,0,0,0
CA829,212,1,0,1,0,0,0,0
CA834,74,1,1,0,1,0,0,0
CA844,47,0,0,0,0,0,0,0
CA865,159,0,0,0,1,0,0,0
CA891,24,0,1,1,1,1,0,0
CA893,33,0,0,0,1,0,0,0
CA962,16,0,0,0,0,0,0,0
CA975,18,1,1,0,1,0,1,0
CA982,11,0,0,0,0,0,0,0
CH055,13,0,1,0,1,1,1,0
CH065,2,0,0,0,1,0,0,0
CH125,3,0,0,0,1,0,0,1
CH126,2,0,0,0,0,0,0,1
CH137,39,0,0,0,0,0,0,0
CH178,17,0,1,0,0,0,0,0
