rollNum,coursesEnrolled
23BI00054,MA352
23BI00133,PY520
23BI00541,MA920
23BI00579,CA766
23BI00650,BI626
23BI00710,CA660
23BI00852,BI417 BI436 BI599 CH634 CH706
23BI00870,ST534
23BI00985,GO175 GO279 PY519 PY520 ST770
23BI01015,HI775 ST667
23BI01063,EN385 HI817
23BI01173,HI817
23BI01248,HI620 HI759 PY909
23BI01338,GO370
23BI01435,BI974 CA893 CH137 MA358
23BI01631,HI817
23BI02020,BI626 BI693
23BI02044,PY445
23BI02228,CA865 PY673 PY955
23BI02411,BI417 BI594 PY375 PY519
23BI02428,GO004
23BI03734,ST457
23BI03990,PY375 ST534
23BI04006,EN677 EN701 EN834
23BI04356,CH292
23BI04696,CH292
23BI04743,EN535
23BI04827,MA474
23BI05282,PY445
23BI05859,BI417 ST623
23BI05943,HI589 PY206
23BI06304,MA509
23BI06461,HI676
23BI06628,EN535 PY509 PY519
23BI06650,CH515 PY351
23BI06684,BI368
23BI06783,CH627
23BI07466,PY903 PY909 ST770
23BI07738,HI434
23BI08001,CA367 GO146
23BI08414,CH745 HI984
23BI08523,CH292
23BI08666,HI984
23BI08763,GO149
23BI08863,HI817 PY347
23BI09418,BI152 BI291 BI331 CH920
23BI09480,CH544
23BI09498,BI173 BI252 BI291 BI318 BI331 CH920
23BI09544,CA660 PY206 PY293
23BI10122,CH627
23BI10125,CA549 CA660 CH402 HI637 HI700
23BI10151,BI966
23BI10203,BI417
23BI10556,CA549
23BI10679,BI291 BI331
23BI10732,PY351 PY519
23BI10965,EN949
23BI11085,PY528
23BI11384,CH402 ST803
23BI11839,BI626 PY519
23BI12150,BI599
23BI12230,CH883
23BI12396,EN701 EN709
23BI12432,EN580
23BI12558,BI417
23BI12942,BI897
23BI12964,CH292
23BI13289,CA549
23BI13301,CH544
23BI13406,BI331
23BI13457,CH292
23BI13751,BI318
23BI13946,CA367 PY988 ST217
23BI13953,CH634
23BI13973,PY909
23BI13984,BI626 CH292
23BI14050,ST457
23BI14090,EN412 ST956
23BI14152,CA362
23BI14231,CH726
23BI14266,MA487
23BI14335,BI626
23BI14519,ST534 ST623
23BI14566,BI318 PY375 PY909
23BI14801,CA766
23BI14893,MA111 MA309
23BI15005,MA403
23BI15359,CA766
23BI15535,PY528 PY673
23BI15693,MA403
23BI15968,EN580 EN639 MA309 MA315
23BI16360,EN580
23BI16563,HI984
23BI16919,MA789
23BI17222,HI434
23BI17888,BI966 CA844 CA865 HI984 PY988
23BI17900,EN701 EN834 PY351
23BI18209,CA766 ST651 ST741
23BI18372,BI417 CH924
23BI18858,PY445
23BI18892,HI648
23BI18904,GO602 GO638 GO673 GO679
23BI19221,CH812
23BI19288,CH292 ST741
23BI19436,HI434
23BI19691,ST981
23BI19907,EN448
23BI19939,MA123 MA315 MA352 PY351
23BI19975,PY519
23BI20388,EN677 EN949 GO695 GO772 GO892
23BI20598,EN677
23BI20601,EN335
23BI20831,BI626 CA000 CA101 CA362 MA358
23BI21381,MA111
23BI21596,CH125
23BI21745,BI864
23BI21845,ST388
23BI21874,MA583 PY375 PY509 PY519
23BI21925,ST015
23BI21983,CA549
23BI22127,BI417
23BI22422,CH812
23BI22622,CH292
23BI23308,MA776 MA883
23BI23319,MA600
23BI23482,PY206
23BI23596,BI417
23BI23613,GO997
23BI23667,EN849
23BI24609,EN849
23BI24793,PY519
23BI24854,BI969 CA865 MA358
23BI24909,HI080
23BI25036,CA471 EN701 EN834
23BI25067,HI434
23BI25797,CA000
23BI25843,CH185 EN639 HI637
23BI26042,PY445
23BI26063,ST135 ST199
23BI26554,HI676
23BI26558,EN949 GO772 HI361
23BI26725,CH638 GO146 HI373
23BI26743,BI594 BI599
23BI26840,CH515 MA600 MA920
23BI26885,CA140
23BI26928,MA583 ST865
23BI27163,EN287 EN412
23BI27181,GO695
23BI27199,CA695 HI817 ST770
23BI27202,ST803
23BI27398,EN448
23BI27978,EN580
23BI28269,EN448
23BI28277,MA509
23BI28517,PY528
23BI28561,GO997
23BI28670,BI252 CH924
23BI28713,HI648
23BI28769,ST651
23BI29062,MA487 ST803
23BI29090,BI152 MA513 MA583
23BI29136,CA549
23BI29254,PY753 PY903 ST770
23BI29316,BI897 HI609 ST623
23BI29363,CH402 HI620 HI637 MA999
23BI29868,CH515 MA789
23BI29877,HI552
23BI29910,BI318
23BI30018,BI974 CA184
23BI30132,CA844 CA893 CH055 MA059 MA906
23BI30232,ST222 ST245 ST388
23BI30517,EN054 EN162 GO471
23BI30549,PY753
23BI30733,BI318
23BI30890,PY109 PY168
23BI31170,PY699
23BI31205,MA352
23BI31283,CH544 MA059 PY988
23BI31293,EN172
23BI31370,MA776
23BI31379,GO997 ST135 ST199
23BI31521,CH812
23BI31881,GO040
23BI32286,CH634 CH638 MA313
23BI32512,CH217 HI648
23BI32516,MA513
23BI32624,EN054 HI609
23BI32673,HI589
23BI32879,MA920
23BI32894,CA660
23BI33044,MA583 PY445 PY528 PY673
23BI33287,PY347
23BI33439,CH515
23BI33611,EN054
23BI33815,ST614
23BI33850,BI897
23BI34638,MA315
23BI34713,ST981
23BI34984,ST651
23BI35014,HI648
23BI35093,CH402 MA980 PY204 PY206 PY293
23BI35966,HI648
23BI36049,MA509
23BI36179,BI895
23BI36275,PY528 PY673
23BI36533,CA632
23BI36538,EN489 EN535 EN639
23BI36545,GO949 PY347
23BI36852,PY032 PY204 PY206 PY293
23BI36872,BI368 CH920 CH983 EN172
23BI37297,PY883
23BI37776,EN054
23BI38171,EN949 MA059 PY988
23BI38728,EN448
23BI39160,EN507
23BI39374,HI547 HI676 PY206 PY293
23BI39991,HI648 HI775
23BI40302,HI169 HI361 HI648 ST015
23BI40586,GO198
23BI41129,ST534
23BI41204,EN023 EN054 EN131 MA358
23BI41394,BI965 CA982 CH634
23BI41545,PY109
23BI41729,EN639 MA437 ST865
23BI41901,CA962 CH125
23BI42061,CA632 EN701
23BI42155,HI620
23BI42234,PY375 PY805
23BI42315,EN172
23BI42422,BI965
23BI42527,GO408 GO412
23BI42555,PY168
23BI43167,CA549 HI620 HI817
23BI43386,BI594
23BI43426,HI676
23BI43815,PY519 PY909
23BI43858,HI620
23BI44655,EN701 EN849
23BI44891,GO949
23BI45343,HI620
23BI45613,CA032 EN701 GO040
23BI45890,PY883
23BI45939,CA090 ST015
23BI46145,EN263
23BI46400,HI817 ST651
23BI46626,CA090 CA367 CA471 EN677
23BI46730,CH797 HI434
23BI46811,HI167 HI361 HI775
23BI46913,MA487 PY032 PY077 PY133
23BI46935,CH726 CH745
23BI47657,HI817
23BI48070,PY109
23BI48080,EN385 MA487
23BI48101,CA000 CH627
23BI48397,HI875
23BI49254,EN507
23BI50495,CA695 GO412 ST741
23BI51204,PY133
23BI51404,PY168
23BI51562,BI599
23BI51975,BI368
23BI52190,EN172 ST651
23BI52255,ST651
23BI52258,CA829 PY204 ST489
23BI52333,HI637 HI648
23BI52545,PY445
23BI53074,CA695 EN448 EN535 ST534
23BI53104,CH178
23BI54207,HI434
23BI54401,PY909
23BI54737,HI609 PY077
23BI55068,HI637 HI648 HI817
23BI55367,HI648
23BI55370,CH402
23BI55713,PY109
23BI55917,BI152 CH812 ST489 ST651
23BI56004,PY883 ST770
23BI56137,CH920 HI434
23BI56162,CA471
23BI56236,PY673 PY883
23BI56266,GO212 GO216 GO324
23BI56333,PY109 PY317
23BI56592,CH544
23BI56703,CH947 CH983 EN054
23BI56849,PY699 PY805
23BI56858,EN131 EN157 EN162 GO412
23BI56864,BI252 BI368 BI406 EN834
23BI57007,PY909
23BI57247,BI599 BI715
23BI57269,CA660 HI875
23BI57333,EN213
23BI57507,CA660
23BI58465,ST770
23BI58573,CA032 CA140
23BI58781,CA632
23BI58950,BI824
23BI59103,EN213
23BI59203,BI897
23BI59398,BI715
23BI59514,BI331
23BI59821,EN639
23BI60180,EN385 GO175
23BI60212,BI331 CH947
23BI60285,PY347 ST623
23BI60730,CH292
23BI61160,GO149
23BI61230,EN448 EN489 ST803
23BI61288,CH544
23BI61549,CH812
23BI61726,HI875
23BI62298,HI589
23BI62803,PY509 ST534 ST667
23BI62887,BI368 BI406 EN162 PY109
23BI62949,HI775
23BI63314,EN709 EN834 EN849
23BI63508,CA962
23BI63764,CA632 EN580
23BI63943,BI291 BI368 CH983
23BI64282,GO412
23BI64411,EN987 GO004 MA111 ST132 ST135
23BI64534,BI331 BI368 BI406 BI416 PY077
23BI64758,BI436 CH544 HI589
23BI64776,BI291 BI318 BI331 BI368 BI406
23BI64796,GO602 HI620
23BI64847,HI620
23BI64944,CH947 EN023 EN054 EN162
23BI64989,CA362 PY519
23BI65430,EN385 EN563
23BI65680,BI646
23BI65807,BI368 BI406 BI416 EN834
23BI65900,BI318 PY753 PY909
23BI66026,BI318 EN172
23BI66063,ST981
23BI66188,CA975 EN701 GO040 PY351
23BI66406,PY077 PY109
23BI66589,CA090 CA140
23BI66893,CA453
23BI66912,EN412 MA883
23BI67018,CA362 PY509
23BI67518,PY699 PY805
23BI67692,BI291 BI331 BI368 BI416 PY204
23BI67989,PY865
23BI68012,BI417 EN023 EN162 HI434
23BI68392,HI700 PY109
23BI68730,CA032 CA453 EN701
23BI68742,BI806
23BI68805,CH544 EN709 MA789 MA940
23BI69619,CH627 CH638
23BI69748,EN639 MA600 MA789
23BI69901,BI417
23BI70549,BI715 PY909 ST962
23BI70632,EN489 PY883
23BI70692,CA829 CH812 EN949 EN987 MA059
23BI71042,CA632 HI169 MA509
23BI71342,EN701 EN949 GO149 GO949
23BI71791,EN849 GO146
23BI71852,PY909 ST623
23BI72190,HI544
23BI72207,BI331 EN172 ST962
23BI72276,ST534 ST651
23BI72418,CA632 EN701 EN834 EN949
23BI72731,CA766 HI589 HI676 HI916
23BI73271,EN054 EN131 EN162 MA789
23BI73349,CA226 GO949
23BI73567,BI368 BI406 BI416 MA999
23BI73612,BI693
23BI73763,CH983
23BI73820,BI318 BI331 BI368 BI416 ST614
23BI73974,BI252 BI331 CH947 CH983
23BI74036,MA315 MA352 PY520 PY903
23BI74050,EN448 EN834 GO772 HI361
23BI74426,EN023 HI547 HI775
23BI74794,CH924 CH947 EN054 EN162
23BI74983,EN335
