courseId,numStudents,computers,projector,whiteboard,internet,audio,printer,backup-power
BI066,123,0,0,0,0,0,0,0
BI078,113,0,0,0,1,1,0,0
BI130,616,0,1,0,0,1,0,1
BI131,150,0,0,0,0,0,0,0
BI165,64,0,0,0,0,0,0,0
BI184,19,0,0,1,1,1,1,0
BI190,186,0,0,0,0,0,0,0
BI191,8,0,0,0,0,0,0,0
BI210,141,0,1,0,0,0,1,0
BI241,323,0,0,0,1,0,0,0
BI254,186,0,0,0,0,1,1,1
BI258,178,1,0,1,0,0,0,0
BI263,13,0,1,0,0,1,0,0
BI269,15,0,0,0,1,0,1,1
BI272,425,1,1,0,0,0,1,0
BI288,36,0,0,1,0,0,0,0
BI297,39,0,0,0,0,0,0,0
BI311,47,1,0,1,0,0,0,0
BI312,29,0,1,0,0,0,0,0
BI328,29,0,0,0,1,0,0,0
BI336,103,0,0,0,0,0,0,0
BI341,1314,0,1,1,0,0,0,0
BI352,642,0,0,0,0,1,0,0
BI358,157,1,0,0,0,1,0,0
BI360,78,0,0,0,0,1,0,0
BI378,28,0,1,0,0,0,0,0
BI379,20,0,0,0,0,0,0,0
BI449,7,0,0,0,0,0,0,0
BI453,1117,1,0,0,0,0,0,0
BI465,114,0,0,0,0,0,1,1
BI488,91,0,0,0,0,1,0,0
BI492,41,0,0,0,0,0,1,1
BI511,47,0,0,0,0,0,0,0
BI534,728,0,0,0,0,0,1,0
BI542,16,0,0,0,1,1,0,0
BI564,17,0,0,1,0,0,0,0
BI573,49,0,0,1,0,0,0,0
BI588,45,0,0,0,0,1,0,0
BI589,33,0,0,0,0,0,0,0
BI609,3,0,0,1,1,0,0,0
BI627,12,1,0,1,0,0,1,0
BI639,8,0,0,0,1,0,1,0
BI657,11,0,0,0,0,1,1,1
BI668,9,0,0,0,0,0,0,0
BI711,13,0,1,0,0,0,0,0
BI718,2,0,0,0,0,0,0,0
BI734,30,0,0,0,0,0,0,1
BI738,89,0,0,0,1,0,0,1
BI749,167,1,0,1,0,0,1,1
BI757,161,1,1,1,0,1,0,0
BI761,166,0,0,0,1,0,0,0
BI765,14,0,0,1,0,0,0,0
BI772,55,0,0,0,0,1,0,0
BI782,98,0,0,0,0,0,0,0
BI785,40,1,1,0,0,0,0,1
BI800,29,0,0,0,0,0,0,0
BI809,23,0,0,0,0,0,0,0
BI820,23,0,0,0,0,0,1,0
BI857,27,0,0,1,0,0,0,0
BI864,144,0,0,0,0,0,0,0
BI867,497,0,0,0,0,0,0,0
BI888,301,0,0,0,0,0,1,1
BI935,224,0,0,0,0,1,0,0
BI980,90,0,0,0,0,1,1,0
BI983,109,0,0,1,0,1,0,0
BI984,167,0,1,0,0,0,0,0
BI989,120,0,1,0,0,0,0,1
BI991,70,0,0,0,0,0,0,0
BI996,108,0,1,1,0,0,1,0
CA024,59,0,0,1,0,0,0,0
CA034,106,0,0,0,0,1,0,0
CA071,70,1,1,0,0,0,0,0
CA096,61,0,0,1,0,0,0,1
CA111,79,0,0,0,0,0,0,0
CA183,54,0,1,1,0,0,1,0
CA184,71,0,0,0,0,0,0,1
CA203,24,0,1,0,0,0,0,0
CA229,84,1,0,0,0,0,0,0
CA235,26,1,1,0,0,0,0,0
CA238,39,1,0,1,0,0,1,0
CA247,41,0,0,0,0,0,1,1
CA255,99,0,0,0,0,0,0,1
CA256,24,1,1,0,1,0,1,0
CA309,14,1,1,0,0,1,0,0
CA320,46,1,0,0,1,0,0,0
CA333,21,1,0,0,0,0,0,0
CA338,76,0,1,0,1,0,0,1
CA364,47,0,0,1,0,0,0,0
CA374,16,1,0,0,0,0,0,0
CA383,86,0,0,0,1,1,0,1
