RoomId,Capacity,computers,projector,whiteboard,internet,audio,printer,backup-power
Room1,80,1,1,1,1,1,1,1
Room2,80,1,0,0,1,1,1,1
Room3,80,1,1,1,1,1,1,1
Room4,80,1,0,0,1,1,1,0
Room5,80,0,1,1,0,1,1,1
Room6,80,1,1,1,1,1,1,1
Room7,80,1,0,1,0,1,1,0
Room8,80,1,1,1,1,1,0,1
Room9,80,1,1,1,1,0,1,1
Room10,80,1,1,1,0,1,1,1
Room11,80,1,0,1,1,1,1,1
Room12,80,0,0,0,1,1,1,1
Room13,150,1,1,1,1,1,1,1
Room14,150,1,1,1,1,0,1,1
Room15,150,1,1,1,0,1,1,1
Room16,150,1,1,0,1,1,1,1
Room17,220,1,1,1,1,1,1,1
Room18,220,1,1,1,1,1,0,0
Room19,300,1,1,1,1,1,1,1
Room20,370,1,1,1,1,1,1,1
Room21,440,1,1,1,1,1,1,1
Room22,520,1,1,1,1,1,1,1
Room23,590,1,1,1,1,1,1,1
Room24,660,1,1,1,1,1,1,1
Room25,740,1,1,1,1,1,1,1
Room26,880,1,1,1,1,1,1,1
Room27,1170,1,1,1,1,1,1,1
Room28,1250,1,1,1,1,1,1,1
Room29,1320,1,1,1,1,1,1,1
