rollNum,coursesEnrolled
23BI00055,MA090
23BI00074,MA949
23BI00097,EN698
23BI00116,CH199
23BI00140,HI035
23BI00167,PY586
23BI00177,PY938
23BI00219,MA791
23BI00311,GO513
23BI00421,EN706
23BI00432,ST239
23BI00457,CH461
23BI00599,CH515
23BI00613,BI258
23BI00754,ST239
23BI00824,CA573 PY111
23BI00936,CH515
23BI00976,ST632
23BI01014,CA255 EN486 EN706
23BI01135,PY799
23BI01170,HI044
23BI01183,HI035
23BI01202,GO643 GO648 GO720
23BI01208,GO684
23BI01249,MA137
23BI01292,CA900
23BI01310,MA645
23BI01352,CH461
23BI01393,CH785
23BI01410,BI131
23BI01469,GO370
23BI01595,BI867 BI935
23BI01695,PY799
23BI01704,HI127
23BI01871,CH133
23BI01929,EN943
23BI01934,CH721
23BI02087,CH515
23BI02118,PY473
23BI02171,ST137 ST172
23BI02173,CH668 CH677
23BI02303,CH116
23BI02349,CA973
23BI02482,CH093
23BI02486,HI035
23BI02663,PY057
23BI02729,CA894 CH475
23BI02751,HI269
23BI02754,CH515
23BI02782,CH142
23BI02838,BI782
23BI02868,CH151
23BI02967,GO039
23BI02985,HI293
23BI03085,ST468
23BI03190,PY245
23BI03239,BI935
23BI03247,CA471
23BI03292,CH699
23BI03352,CH461
23BI03470,ST794
23BI03581,ST468
23BI03606,PY451
23BI03623,CH997
23BI03668,CH475
23BI03688,GO207
23BI03693,EN514
23BI03710,EN959
23BI03897,EN959
23BI03905,BI888
23BI03919,CH639
23BI03980,MA660
23BI03981,CH908
23BI04039,ST331
23BI04044,CH658
23BI04064,PY799
23BI04129,MA137
23BI04162,EN834
23BI04170,BI453
23BI04187,ST230
23BI04202,BI165
23BI04210,CH721 GO719
23BI04212,CA533 CA573 CH997 EN170
23BI04242,PY498 PY546
23BI04283,ST794
23BI04341,ST323
23BI04425,CA895 EN834 HI925
23BI04429,CH091
23BI04496,CH668 HI113
23BI04586,MA137
23BI04643,CH132 CH151 ST137
23BI04686,CH461
23BI04711,CH132 CH189
23BI04726,EN834
23BI04753,CH639
23BI04766,HI044
23BI04775,CA573
23BI04800,CH677
23BI04813,CH515
23BI04960,MA990
23BI04978,ST323
23BI05045,MA512
23BI05074,EN698
23BI05078,ST759 ST794
23BI05125,CH462
23BI05139,BI130
23BI05162,CH943 EN114 GO684
23BI05189,CH189
23BI05223,PY451
23BI05310,EN655
23BI05311,ST186
23BI05386,MA525
23BI05399,MA447
23BI05410,BI761
23BI05425,EN959
23BI05426,CH462
23BI05455,PY225
23BI05504,EN996
23BI05571,CA900
23BI05597,MA660
23BI05620,CH572 EN931
23BI05631,MA545
23BI05643,CH199
23BI05649,EN514
23BI05700,BI130 CA896 HI035
23BI05704,PY035
23BI05744,CH638 HI958 MA233
23BI05932,CH235
23BI05962,ST239
23BI06001,CH009 EN803
23BI06034,HI952 MA420 ST843
23BI06135,PY597
23BI06214,PY469
23BI06225,MA990
23BI06227,CA895
23BI06239,CH221 CH668 EN288 GO363
23BI06293,ST819
23BI06312,CH461 HI358
23BI06352,EN996
23BI06433,BI258
23BI06451,CH668 CH677
23BI06550,ST794
23BI06595,PY496
23BI06617,HI523
23BI06620,ST784
23BI06717,ST468
23BI06735,PY799
23BI06841,ST331
23BI06870,CH009
23BI06941,CA895
23BI07007,CH462
23BI07040,PY799
23BI07122,GO422
23BI07184,CA471
23BI07191,EN669
23BI07207,CH189
23BI07243,CA338
23BI07259,GO179
23BI07263,BI857 PY185
23BI07308,GO790
23BI07313,ST632
23BI07358,MA620
23BI07399,CA573
23BI07486,GO131 GO171
23BI07498,GO040
23BI07679,MA512 MA577
23BI07683,EN514 ST222
23BI07690,MA990
23BI07756,GO643 GO720 GO790
23BI07799,ST043
23BI07830,ST759
23BI07837,HI091
23BI07942,ST794
23BI07944,PY496
23BI08069,CA462
23BI08082,ST280
23BI08101,BI131
23BI08152,EN514
23BI08229,CH515
23BI08287,CH515
23BI08315,CA256 CH462 CH572
23BI08384,PY586
23BI08393,GO207
23BI08418,BI336 PY451 ST222
23BI08459,CA895
23BI08484,ST147
23BI08535,HI523
23BI08620,EN578
23BI08637,ST819
23BI08643,PY299
23BI08657,BI341
23BI08729,BI130
23BI08755,CH997
23BI08830,CH967 MA137 ST230
23BI08856,MA587
23BI08861,EN618
23BI08880,BI341
23BI08887,PY496
23BI08955,CH133
23BI08975,BI983 CA071 CA507
23BI09020,CA896
23BI09023,CA203
23BI09025,HI810
23BI09098,ST794
23BI09137,GO595
23BI09247,HI323
23BI09253,EN702 EN955 MA587
23BI09257,EN698
23BI09267,PY589
23BI09343,CH668 CH677 ST325
23BI09379,CH189 CH190 PY453
23BI09441,CH133 MA126
23BI09458,PY546
23BI09506,CH515
23BI09508,ST735
23BI09511,EN170
23BI09680,MA090
23BI09756,CH462 CH475 ST166
23BI09812,BI935
23BI09869,BI772 BI800
23BI09878,GO467
23BI09930,CH189 EN943 GO143
23BI09959,MA887 ST609
23BI09963,EN834 MA549 ST794
23BI10155,MA431 MA549 MA723 MA810 PY057
23BI10193,PY185
23BI10255,CH870
23BI10272,EN669
23BI10294,ST222
23BI10339,BI131 CH475
23BI10369,CH461 CH668 CH677
23BI10461,PY139
23BI10585,ST759 ST784
23BI10594,EN834
23BI10656,EN336 EN350
23BI10692,CH668 CH677
23BI10708,MA620 ST794
23BI10741,GO790
23BI10814,GO513 ST717
23BI10885,ST243
23BI10923,BI888 HI523 PY451
23BI10939,GO790
23BI10977,CH943 CH996
23BI10992,EN618
23BI11035,CA471 CA573 HI530
23BI11088,EN702
23BI11104,MA726
23BI11185,EN738 EN770 EN806
23BI11203,EN803
23BI11213,CH764
23BI11252,EN669
23BI11269,ST222
23BI11331,CH889 CH908
23BI11341,CH132
23BI11382,ST222
23BI11468,CA573 ST222
23BI11573,MA293
23BI11583,CH889 CH973 CH984
23BI11645,CH889
23BI11745,CA471
23BI11764,EN722 EN738
23BI11766,CH462
23BI11779,EN783
23BI11835,CA462 EN485 HI091
23BI11940,BI867 ST064 ST095 ST640
23BI12068,CA895 CA913 EN702 EN778
23BI12189,ST222
23BI12202,ST325
23BI12237,CA894 GO353
23BI12274,CH065
23BI12280,CH065
23BI12301,GO353 PY799
23BI12309,EN955 MA137
23BI12329,EN114 EN116
23BI12364,EN906 EN948 EN959
23BI12376,EN948 EN993 GO208
23BI12407,ST468
23BI12408,BI534 GO880 PY211 ST897
23BI12472,PY451
23BI12487,MA727
23BI12542,ST325
23BI12660,GO790 PY473 PY498
23BI12668,CH868 EN057
23BI12684,CH704 MA429 MA587
23BI12751,EN834
23BI12762,CH515 MA587 MA810
23BI12776,CH639 GO912 ST166
23BI12787,CH515
23BI12824,GO040
23BI12842,BI341
23BI12887,GO363 GO370
23BI12889,EN514
23BI12921,PY085
23BI12939,EN906
23BI12998,CA630 HI925 ST609
23BI13057,CA900
23BI13173,BI130
23BI13246,PY050
23BI13385,PY609
23BI13397,MA587
23BI13507,CH189
23BI13537,EN803
23BI13556,EN834
23BI13574,CH151 CH189 CH190
23BI13651,CA415
23BI13661,ST784
23BI13673,CA462
23BI13677,HI530
23BI13680,EN834
23BI13733,GO183
23BI13738,EN803 ST186
23BI13803,EN618 EN698 EN706 ST653
23BI13827,PY057
23BI13890,BI130 BI738 EN485 GO332
23BI13901,CH009 CH984
23BI13971,PY451
23BI14041,MA429
23BI14058,CH930
23BI14076,GO790
23BI14077,GO790 MA572
23BI14085,HI732
23BI14185,EN819 GO060
23BI14244,BI210 BI254 BI258 HI099 MA838
23BI14254,MA465
23BI14260,CH515
23BI14263,MA577 MA587
23BI14272,GO595
23BI14394,CH461
23BI14428,CH461
23BI14439,ST794
23BI14489,BI130 BI761 EN283
23BI14492,BI980 BI984 GO838 HI127 MA577
23BI14587,BI453 ST872
23BI14602,CH869 CH997
23BI14607,CA895
23BI14611,MA429 MA545 MA723 ST608
23BI14637,CA931 CH475 EN806 EN823 EN852 EN996 MA549
23BI14669,MA137 ST303
23BI14681,BI379
23BI14695,MA727
23BI14698,CA941
23BI14863,CA573
23BI14909,GO414
23BI14960,ST222
23BI15016,BI241 BI254 GO790
23BI15050,GO749
23BI15272,BI867
23BI15279,ST222
23BI15392,CH133
23BI15456,BI165
23BI15524,EN336 EN350 EN385 EN392
23BI15563,BI989 CH189 HI113 PY451
23BI15565,CA941
23BI15715,CH009 PY057
23BI15807,CH461
23BI15866,ST759
23BI15880,MA488
23BI16001,CA913
23BI16015,CA573 ST222 ST794
23BI16016,MA645
23BI16070,EN770 GO039
23BI16077,CH101
23BI16108,MA137
23BI16167,ST491
23BI16186,PY451
23BI16276,CH175 CH189 EN655
23BI16280,PY185
23BI16563,CA941 CH093
23BI16599,PY586
23BI16616,HI757
23BI16641,ST222
23BI16677,PY057
23BI16683,PY091 PY799
23BI16704,EN514
23BI16713,ST280
23BI16739,CA896
23BI16771,CH908
23BI16809,MA620
23BI16937,BI867
23BI16997,BI336 PY473 PY546
23BI17224,CA471
23BI17403,HI640
23BI17446,EN655 EN702
23BI17456,GO720
23BI17612,CH677
23BI17620,ST759
23BI17655,PY473
23BI17707,CA569
23BI17726,GO790
23BI17787,CH721
23BI17814,CH416 PY252 PY345
23BI17815,HI925
23BI17821,EN834
23BI17843,CA573
23BI17850,CH462
23BI17853,MA726
23BI17995,ST759
23BI18209,BI867 MA620 ST230
23BI18259,ST230
23BI18289,ST230
23BI18325,GO183 PY935 ST325
23BI18367,GO353
23BI18375,PY609
23BI18462,HI523
23BI18490,BI336 BI534 BI888
23BI18593,CH152 GO997
23BI18610,PY546
23BI18677,BI534
23BI18685,CA900
23BI18709,HI323
23BI18751,EN514 ST303
23BI18835,GO789
23BI18883,EN514
23BI18910,HI035
23BI19002,PY451
23BI19064,ST451
23BI19110,CH270
23BI19229,CA569 CA574 CA604 ST323
23BI19294,EN993 GO414
23BI19359,EN170 MA587
23BI19555,PY584
23BI19559,GO208
23BI19561,CA913 CH151 MA343
23BI19574,BI336 CA894 MA818 ST222
23BI19575,CH235 ST653
23BI19595,ST303
23BI19626,EN943 GO265
23BI19635,CA941
23BI19773,ST451
23BI19813,BI130 CA894 EN485 ST222
23BI19881,PY211
23BI19886,PY057
23BI19908,CA941
23BI19936,CH590 PY837
23BI19958,CA471 PY212
23BI20168,ST451 ST468
23BI20170,CH973 PY949 ST632 ST653
