rollNum,coursesEnrolled
23BI00070,GO298
23BI00160,CH325
23BI00493,CH907 CH981 CH984
23BI00538,BI134 BI179 BI244 EN192
23BI00909,BI553 CH304 CH325 CH373 CH460
23BI00981,CH304
23BI02608,CH741
23BI02653,CH984
23BI02999,BI617 EN407
23BI03045,ST840
23BI03273,EN084
23BI03310,HI011
23BI04579,CA987
23BI04660,CH633 EN084
23BI04675,MA677
23BI04736,CH984
23BI04940,PY487
23BI06153,PY471
23BI06665,CH984
23BI07674,CH741
23BI07751,EN407
23BI07868,EN476
23BI07884,BI421
23BI07965,CH198 EN206 MA295 MA645 MA734
23BI08126,GO353
23BI08148,HI897 HI904 MA005
23BI08437,CH304 CH325 CH373 CH460
23BI09574,CA598 PY312 ST466 ST530 ST598
23BI09961,EN476
23BI10090,CH553 CH633 CH741 CH809 CH886
23BI11330,CA088 CA137 CA244 CA385 CA485
23BI11498,EN407
23BI11744,MA295
23BI11762,EN677 MA370 MA826 MA867 PY002
23BI12244,EN468 EN476 EN480 EN515 EN652
23BI12823,CH304
23BI12897,BI681
23BI13457,BI510 EN206 MA295
23BI13503,BI673 MA295
23BI13753,HI603 HI678 HI696 HI841
23BI13835,MA295
23BI13943,CH304 CH325 CH373 CH460 MA930
23BI14233,CH373 HI214
23BI14263,CH907 CH963 CH984 EN084
23BI14348,CH907 CH963 CH984 EN084
23BI14352,BI421 BI681
23BI14941,MA645
23BI15237,EN407
23BI15475,EN407
23BI16296,MA295
23BI16408,MA295
23BI16782,EN178
23BI17055,EN407
23BI17536,EN407 HI214
23BI18641,MA645
23BI19350,BI617
23BI19495,BI681
23BI19824,BI421
23BI20584,ST283
23BI20946,MA645
23BI22189,CH325
23BI22304,CA662 CA894
23BI22468,CH198 EN206 HI022 MA295
23BI22480,CH910 CH984
23BI22493,EN677 PY002
23BI22659,BI888 BI929 BI961 BI985
23BI23546,CH741 CH886
23BI24637,BI961 MA456
23BI24643,EN476 GO204 GO353 GO374 GO718
23BI24654,CH741 CH886 CH981 CH984
23BI24895,CH553 CH633 CH741 CH809 CH886
23BI25133,PY487 PY579 PY706
23BI25237,HI846 HI897 HI904 MA005 MA021
23BI25345,MA252 PY487 PY685
23BI25450,ST466 ST736
23BI25688,CH907 CH963 CH981
23BI25802,CH910
23BI25812,CA088 CA137 CA244
23BI25837,CH553 CH633 CH741 CH809 CH886
23BI26321,CA088 CA137 CA244 CA385 CA485
23BI26331,CA662
23BI26684,BI888 BI929 BI961 BI985 GO755
23BI27134,BI888 BI929 BI961 BI985
23BI27619,CH198 EN206 EN652 MA295 MA645
23BI28336,PY312 ST466 ST530 ST598 ST760
23BI28349,BI421 HI214 MA456 MA643
23BI28799,CH907 CH963 CH981
23BI28977,CH304 CH325 CH373 CH460
23BI29092,PY031 PY046 PY217 PY362 PY686
23BI29315,CA088 CA137 CA244 CA385 CA485
23BI29467,BI421 BI813 EN407 HI312 MA456
23BI29511,CH910 CH981 EN084
23BI29786,HI706 MA252 PY487 PY685
23BI29797,CH373 MA248
23BI30183,BI735 BI888 BI929 BI961 BI985
23BI31089,EN407
23BI31171,CH553 CH633 CH741 CH809 CH886
23BI31250,ST435
23BI31502,CH553 CH633 CH809 CH886
23BI31773,CH907 CH984 EN084
23BI32446,PY031 PY046 PY217 PY362
23BI32504,CH304 CH325 CH373 CH460
23BI33901,CH553 CH633 CH741 CH809 CH886
23BI33949,HI846 HI897 MA005 MA021
23BI34258,EN689 EN719 EN759 EN868
23BI34333,HI512 HI563 MA727 ST392
23BI34350,GO184 PY579 PY706
23BI34377,BI307 BI415 GO374
23BI34840,CH967 CH984 EN084 HI846
23BI35830,CA868 CA885 ST068 ST885
23BI36033,MA252 PY487 PY685 PY706
23BI36154,GO204 GO374 GO542
23BI36323,CA662 CH006 CH984
23BI36473,CA662 CA894
23BI36567,EN689 EN719 EN759 EN880
23BI37169,GO353 GO402 GO422 GO558
23BI37218,GO204 GO298 GO542
23BI37544,EN677 MA370 MA826 MA867 PY002
23BI37694,CH907 CH967 CH984
23BI37975,CA907 CA946 CA966
23BI38538,CA601 CA662 CA966
23BI38688,CA601 CA662 MA252
23BI38883,GO184 HI846 HI904
23BI39670,PY487 PY579 PY685 PY706
23BI39953,CA137 CA176 CA601 CA662
23BI40081,PY031 PY046 PY217 PY362 PY471
23BI40355,EN689 EN719 EN759 EN868 EN880
23BI40754,CH910 CH967 CH981 CH984
23BI40756,BI134 BI179 BI244 EN192
23BI41977,CH907 CH984 EN084
23BI42116,PY471 PY487 PY579 PY706
23BI42210,GO204
23BI42924,PY217 PY579 PY685 PY706
23BI42932,CA894 GO353 GO417 GO493
23BI43669,GO417 GO493 GO558
23BI43760,EN453 HI304 MA516 MA677 ST226
23BI43869,CA601 CA662 CA946
23BI43884,MA252
23BI44133,MA252 PY685 PY706
23BI45161,CA868 CA885 PY745
23BI45513,CA244 CA385
23BI45522,HI706 MA252 PY487 PY685 PY706
23BI45698,CH553 CH633 CH741 CH809 CH886
23BI46997,GO243 GO298 GO417 GO422
23BI47003,CA894 HI846 HI897 HI904 MA005
23BI47846,GO402 GO417 GO422 GO542
23BI48160,CA598 PY312 ST466 ST530 ST598
23BI48519,MA252 PY643 PY685 PY706
23BI48652,CH907 CH981 CH984 EN084
23BI48950,GO353 GO417 GO422
23BI49270,CA601 CA662 CA966
23BI49472,CH907 CH963 CH967
23BI50634,CH907 CH981 CH984 EN084
23BI51740,EN178 MA370 ST273 ST283 ST903
23BI52013,MA252 PY685 PY706
23BI52141,GO353 GO374 ST849
23BI52526,CA662 CA894
23BI52832,CA088 CA137 CA176 CA385
23BI52846,CH910 CH967 CH984 EN084
23BI52914,CA894 EN689 GO417 GO493 GO542
23BI52968,BI421 EN407 HI214 MA645
23BI52975,CH907 CH963 CH967 EN084
23BI53148,CH304 CH325 CH373 CH460
23BI53203,CA601 CA662 CH128
23BI53864,GO184 PY579 PY643 PY706
23BI54515,GO417 GO493 GO558
23BI54630,HI846 HI897 HI904 MA005
23BI55125,HI846 HI897 HI904 MA005
23BI55606,PY312 ST598
23BI55686,MA252 PY487 PY685 PY706
23BI56187,MA252 PY579 PY706 PY898
23BI56883,GO184 MA252 PY487
23BI57021,MA252 PY487 PY579
