courseId,numStudents,computers,projector,whiteboard,internet,audio,printer,backup-power
BI120,23,0,0,0,0,0,0,0
BI137,19,0,0,0,1,0,0,0
BI216,67,0,0,1,0,1,0,0
BI253,41,0,1,0,0,0,0,1
BI333,19,0,0,0,0,0,0,0
BI351,34,0,0,0,0,1,0,0
BI372,36,0,0,0,0,0,0,0
BI472,28,0,0,0,0,1,0,0
BI495,33,0,0,0,1,0,0,0
BI538,50,1,0,0,0,0,0,0
BI545,57,1,1,0,1,0,0,0
BI562,30,0,0,0,0,0,0,0
BI675,36,0,0,1,1,0,0,0
BI811,35,0,0,0,0,0,0,0
BI846,13,0,0,1,1,1,0,0
BI896,18,1,0,0,1,0,0,0
BI909,15,0,0,0,0,0,0,0
BI910,31,0,1,1,0,1,0,0
BI948,34,0,0,0,0,0,1,0
BI990,19,0,0,0,0,0,0,0
CA015,5,0,1,0,0,0,0,0
CA023,14,0,1,0,0,1,0,1
CA127,6,0,0,0,0,0,0,0
CA175,26,0,0,0,0,0,0,0
CA181,14,0,0,0,0,0,0,0
CA182,1,0,1,0,1,0,0,0
CA442,18,0,0,0,1,0,0,0
CA480,7,1,0,1,0,0,0,1
CA500,14,1,0,0,0,0,0,0
CA558,52,0,1,0,0,0,1,0
CA567,99,0,0,0,0,0,0,0
CA597,19,0,0,0,0,1,1,0
CA603,90,0,0,1,0,0,0,0
CA674,68,0,0,0,0,1,0,0
CA677,23,0,0,0,0,0,0,1
CA767,6,0,0,0,0,0,0,1
CA779,114,1,0,0,0,1,1,0
CA791,13,0,1,1,1,0,0,1
CA845,38,0,0,1,1,0,0,1
CA886,175,0,0,0,0,0,1,0
CH008,15,0,0,0,0,0,0,0
CH162,20,0,0,1,1,0,1,0
CH213,133,0,1,0,0,1,0,0
CH238,14,0,1,0,0,0,0,0
CH287,29,0,0,1,0,0,0,0
CH404,3,0,0,0,0,0,0,0
CH423,18,0,0,0,0,0,0,0
CH444,28,1,0,0,1,0,0,0
CH457,12,0,0,0,0,1,0,0
CH501,16,0,0,0,1,1,0,0
CH516,16,0,1,0,0,1,0,0
CH518,24,0,0,0,0,1,1,0
CH573,38,0,1,0,1,0,0,0
CH591,20,0,0,0,0,0,0,0
CH627,10,0,0,0,0,0,0,0
CH643,12,1,0,0,0,1,0,0
CH653,10,0,0,0,0,0,0,1
CH826,25,0,0,0,1,1,0,0
CH840,34,0,0,0,0,0,0,0
CH927,31,1,0,0,1,0,0,0
EN091,20,0,0,0,1,0,0,0
EN116,22,0,0,0,1,1,0,0
EN134,18,0,0,0,1,0,0,0
EN154,27,0,0,0,0,0,1,1
EN184,21,0,0,0,0,1,0,1
EN243,22,0,0,0,0,0,1,1
EN252,17,0,0,1,0,0,1,0
EN304,42,0,0,0,0,0,0,0
EN627,31,0,1,0,0,0,0,0
EN670,12,0,0,0,0,0,1,1
EN727,47,0,0,0,0,0,1,1
EN743,33,0,0,0,0,0,1,0
EN751,26,0,0,1,0,1,0,0
EN766,53,1,0,0,0,0,0,0
EN777,55,0,0,0,0,0,0,0
EN883,23,1,0,0,0,0,0,0
EN885,19,1,0,0,0,1,0,0
EN946,16,0,0,0,0,0,0,0
EN967,66,1,1,0,0,0,1,0
EN979,31,0,1,0,1,0,0,1
GO012,26,1,0,0,0,0,0,1
GO067,36,0,0,0,0,0,0,0
GO088,35,0,1,0,0,0,0,1
GO137,29,0,0,0,0,1,0,0
GO187,29,0,1,1,0,1,0,0
GO188,41,0,0,0,0,0,0,0
GO331,25,1,0,1,1,0,0,0
GO367,31,0,1,0,0,0,0,0
GO380,24,1,0,0,0,0,0,0
GO428,37,0,0,0,0,0,0,0
GO484,18,0,0,0,0,0,0,0
GO519,13,0,0,1,0,0,0,1
GO575,6,1,1,0,0,1,0,0
GO597,20,0,0,1,0,0,0,0
GO618,20,0,0,0,0,0,1,0
