courseId,2025-03-03 10:00:00,2025-03-03 14:00:00,2025-03-04 10:00:00,2025-03-04 14:00:00,2025-03-05 10:00:00,2025-03-05 14:00:00,2025-03-06 10:00:00,2025-03-06 14:00:00,2025-03-07 10:00:00,2025-03-07 14:00:00,2025-03-10 10:00:00,2025-03-10 14:00:00,2025-03-11 10:00:00,2025-03-11 14:00:00,2025-03-12 10:00:00,2025-03-12 14:00:00,2025-03-13 10:00:00,2025-03-13 14:00:00,2025-03-14 10:00:00,2025-03-14 14:00:00,2025-03-17 10:00:00,2025-03-17 14:00:00
BI120,3,3,3,3,3,3,2,4,1,3,5,3,3,3,2,2,3,3,2,5,4,3
BI137,2,4,3,1,3,3,2,3,3,3,3,4,3,3,2,2,2,3,3,5,5,3
BI216,5,4,4,1,4,3,2,3,3,2,1,2,3,4,5,2,3,3,3,5,3,4
BI253,1,3,4,4,3,3,4,3,4,4,3,3,2,2,3,5,4,2,3,4,1,2
BI333,4,3,1,3,3,5,3,5,4,3,3,4,2,3,5,3,4,3,1,4,3,4
BI351,2,2,3,3,2,3,3,4,2,4,3,3,5,1,1,1,3,3,4,3,1,3
BI372,3,5,4,4,3,1,3,2,4,4,2,4,3,3,3,5,3,2,3,2,3,2
BI472,5,3,3,5,2,3,5,1,4,1,4,4,1,3,5,3,3,1,3,1,3,4
BI495,4,4,3,1,3,3,2,3,2,1,3,5,3,3,3,1,4,4,2,4,4,5
BI538,1,1,3,2,3,5,3,3,1,2,3,3,2,3,3,4,4,5,2,4,1,5
BI545,3,3,4,2,3,3,2,3,4,3,3,2,5,5,3,5,3,3,4,1,3,2
BI562,3,4,3,2,4,2,2,3,1,1,3,4,2,2,1,4,1,3,3,4,5,2
BI675,3,5,3,3,3,4,1,5,1,3,3,3,2,3,3,1,4,2,4,2,4,5
BI811,4,2,4,4,3,4,3,3,1,2,4,1,3,3,3,3,2,2,3,2,3,3
BI846,3,3,5,2,3,4,3,4,1,4,3,4,3,1,3,4,1,5,3,3,2,1
BI896,2,3,5,4,4,3,5,2,3,3,3,1,2,2,3,3,3,1,2,4,1,3
BI909,3,5,3,1,3,2,3,2,2,2,5,3,4,3,4,4,5,5,2,3,3,3
BI910,3,3,3,2,3,2,4,4,4,5,3,1,3,3,3,4,3,4,4,1,3,1
BI948,3,2,4,2,1,4,3,3,4,3,3,5,3,3,3,3,1,3,3,5,3,5
BI990,3,2,2,3,3,5,2,2,3,4,3,5,3,3,3,3,3,5,1,4,3,5
CA015,3,5,3,3,5,4,2,2,2,5,3,3,2,3,3,3,4,3,5,5,4,3
CA023,2,4,4,3,1,2,3,5,3,2,1,3,2,5,3,4,3,3,3,4,2,3
CA127,1,3,5,4,2,3,4,4,3,5,4,5,2,3,3,4,4,3,4,3,1,2
CA175,3,4,1,4,2,4,2,2,3,3,3,5,3,3,4,4,3,4,3,2,2,3
CA181,3,3,4,3,2,4,3,2,3,4,4,5,2,3,4,5,4,2,3,3,3,3
CA182,5,5,5,3,1,3,4,3,5,1,4,3,3,4,3,4,4,3,3,3,2,3
CA442,4,5,3,3,5,1,3,4,4,3,2,4,3,1,3,4,2,3,1,3,5,4
CA480,3,5,3,4,3,3,3,3,2,2,2,4,2,4,4,5,3,3,3,2,3,2
CA500,2,4,3,3,1,2,5,3,3,3,3,4,4,3,2,1,3,1,3,2,3,5
CA558,1,4,3,2,1,4,4,1,3,4,3,2,3,2,4,2,3,5,5,3,3,3
CA567,3,4,4,4,4,2,3,4,4,3,3,2,2,3,4,3,4,2,3,3,4,3
CA597,4,1,4,4,3,3,3,4,5,3,3,3,2,2,4,2,1,4,5,3,4,5
CA603,3,4,4,3,3,1,3,2,3,4,3,4,3,4,2,4,3,3,2,4,3,3
CA674,3,3,5,2,3,1,4,3,4,4,3,2,4,1,3,3,3,4,5,3,4,4
CA677,3,3,3,4,5,3,4,4,2,3,4,1,1,2,5,4,2,3,3,3,2,4
CA767,3,3,3,3,2,3,3,3,5,3,4,2,3,5,3,1,1,2,4,4,3,3
CA779,3,4,1,4,2,2,3,3,2,3,2,3,2,4,3,5,3,5,3,3,4,4
CA791,3,2,4,1,3,4,3,1,2,2,1,1,3,3,2,2,2,3,5,1,5,5
CA845,2,3,3,4,3,3,3,3,3,1,2,3,5,1,3,4,3,1,3,5,2,5
CA886,5,2,2,3,2,3,2,4,3,3,4,3,4,5,3,3,2,3,4,3,3,5
CH008,3,3,3,3,4,3,3,3,3,3,3,5,2,2,3,2,5,4,4,3,5,3
CH162,5,3,2,3,3,1,1,3,3,2,3,4,3,2,2,2,3,3,3,4,4,3
CH213,5,3,3,3,2,5,4,3,3,2,3,3,2,5,3,4,3,1,3,3,1,3
CH238,2,3,3,3,4,1,1,2,3,3,5,2,3,2,5,4,3,3,4,3,2,3
CH287,2,5,4,2,2,2,2,3,3,3,1,5,3,1,3,3,5,2,2,2,1,3
CH404,3,3,3,3,2,2,3,4,5,2,2,3,4,2,3,2,3,3,1,2,3,3
CH423,1,2,2,2,5,2,3,3,3,5,3,1,2,4,2,3,3,3,2,2,1,5
CH444,2,2,2,3,4,4,3,2,3,2,3,3,1,3,3,3,3,2,4,3,1,4
CH457,3,2,5,5,3,3,5,3,5,1,2,3,1,3,5,3,2,4,3,3,4,3
CH501,3,4,3,5,2,3,1,4,5,2,4,4,4,1,2,3,3,3,4,2,4,5
CH516,2,3,3,4,2,5,3,2,3,3,4,3,3,5,3,3,5,4,4,5,2,3
CH518,3,2,3,3,2,2,1,4,3,1,4,3,3,3,2,3,3,4,4,5,3,1
CH573,4,5,4,3,3,3,5,4,3,4,3,1,4,4,1,3,2,2,3,3,5,4
CH591,3,3,3,3,2,3,1,5,1,3,4,4,3,3,3,4,5,3,2,4,4,2
CH627,2,1,5,3,3,2,1,3,4,3,2,3,2,3,1,4,4,3,3,4,3,5
CH643,3,3,3,1,1,4,1,2,2,3,2,2,2,5,2,3,4,3,3,3,3,3
CH653,3,4,3,4,3,3,3,3,2,4,3,2,3,5,3,3,3,4,2,4,3,2
CH826,3,3,2,2,2,2,4,2,3,1,3,3,3,3,2,3,2,3,3,4,5,5
CH840,2,5,2,2,1,2,1,3,3,4,3,1,3,3,3,3,5,1,3,3,3,5
CH927,2,2,2,3,1,2,3,3,3,4,3,5,4,1,5,1,3,2,2,2,5,2
EN091,4,4,2,3,5,3,3,1,1,3,2,1,5,2,1,2,4,2,3,3,3,4
EN116,4,3,3,1,4,4,4,1,3,5,3,4,3,1,4,3,2,2,2,2,1,4
EN134,3,2,3,2,5,4,4,2,4,3,3,2,4,1,3,2,2,4,2,3,2,2
EN154,3,4,2,3,3,4,3,2,3,3,3,3,3,4,2,5,2,3,1,5,5,1
EN184,3,2,3,4,1,3,4,3,3,3,4,3,3,3,3,1,2,3,3,4,3,3
EN243,4,3,1,4,5,3,3,5,3,3,4,2,4,3,2,3,4,3,3,5,3,4
EN252,2,3,1,2,2,1,4,2,1,2,3,3,3,4,3,3,1,3,2,1,3,4
EN304,2,4,3,4,4,2,3,3,3,2,3,4,2,1,5,3,2,3,4,1,3,4
EN627,4,3,2,3,1,2,2,3,1,3,5,4,2,3,3,4,1,4,3,4,1,3
