RoomId,Capacity,computers,projector,whiteboard,internet,audio,printer,backup-power
Room1,20,1,1,1,1,1,1,1
Room2,20,0,0,0,1,1,0,1
Room3,20,1,0,0,1,1,1,1
Room4,40,1,1,1,1,1,1,1
Room5,40,1,1,1,1,1,1,1
Room6,40,0,1,1,1,1,1,0
Room7,40,1,1,1,1,1,1,1
Room8,40,1,1,1,0,1,0,0
Room9,50,1,1,1,1,1,1,1
Room10,50,1,1,1,1,0,1,1
Room11,70,1,1,1,1,1,1,1
Room12,70,0,1,1,1,1,1,1
Room13,90,1,1,1,1,1,1,1
Room14,100,1,1,1,1,1,1,1
Room15,120,1,1,1,1,1,1,1
Room16,130,1,1,1,1,1,1,1
Room17,150,1,1,1,1,1,1,1
Room18,180,1,1,1,1,1,1,1
