courseId,Room1,Room2,Room3,Room4,Room5,Room6,Room7,Room8,Room9,Room10,Room11,Room12,Room13,Room14,Room15,Room16,Room17,Room18
BI120,0,0,0,2,3,5,5,3,3,5,3,1,3,3,3,4,3,3
BI137,5,4,4,4,1,4,2,0,3,3,2,4,3,2,3,4,2,3
BI216,0,0,0,0,0,0,0,0,0,0,5,2,3,2,3,3,3,4
BI253,0,0,0,0,0,0,0,0,3,2,2,3,2,4,4,3,3,3
BI333,1,5,3,2,3,3,4,4,5,2,3,4,4,1,1,3,3,3
BI351,0,0,0,3,3,3,3,4,3,0,3,3,3,3,1,1,1,2
BI372,0,0,0,3,2,3,4,4,4,5,3,2,3,2,4,4,4,2
BI472,0,0,0,5,3,2,4,3,4,0,5,5,4,3,3,4,2,3
BI495,0,0,0,3,4,1,4,0,3,2,4,2,1,4,2,4,2,1
BI538,0,0,0,0,0,0,0,0,4,3,3,0,5,4,1,1,3,2
BI545,0,0,0,0,0,0,0,0,0,0,3,0,1,5,1,4,3,4
BI562,0,0,0,4,4,1,2,5,4,3,5,3,2,3,5,3,3,2
BI675,0,0,0,5,4,3,3,0,4,1,3,3,4,2,2,5,2,5
BI811,0,0,0,3,4,5,4,3,3,5,5,1,3,1,4,1,3,4
BI846,3,0,0,1,4,4,1,0,4,0,3,3,4,1,3,2,3,3
BI896,4,0,3,1,4,0,4,0,3,5,1,0,4,2,5,1,3,3
BI909,3,4,3,2,2,2,3,4,2,2,3,5,3,3,1,3,4,3
BI910,0,0,0,3,3,5,3,3,1,0,1,3,5,4,3,3,4,1
BI948,0,0,0,4,4,5,4,0,5,3,3,3,4,2,2,3,3,5
BI990,3,2,4,5,4,3,1,4,2,3,1,1,2,2,2,3,4,1
CA015,5,0,0,5,2,3,4,3,1,2,2,4,3,1,2,1,2,2
CA023,2,0,0,2,3,0,4,0,3,0,3,4,2,4,3,4,4,5
CA127,5,5,5,3,3,3,4,1,3,2,5,3,2,4,4,1,3,3
CA175,0,0,0,5,4,4,5,2,4,5,4,2,5,2,3,1,4,3
CA181,4,3,3,3,3,3,2,3,4,2,2,4,4,1,2,3,4,3
CA182,1,0,0,3,1,3,1,0,3,3,3,5,4,3,2,5,5,3
CA442,3,4,5,4,3,4,3,0,1,3,5,2,3,2,2,5,4,4
CA480,1,0,0,5,1,0,3,0,1,3,3,0,3,2,2,3,3,2
CA500,2,0,3,2,4,0,4,3,2,1,3,0,5,1,1,5,3,2
CA558,0,0,0,0,0,0,0,0,0,0,2,4,3,3,5,2,5,2
CA567,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,5,4
CA597,3,0,3,2,4,3,3,0,2,0,4,4,5,4,1,4,3,3
CA603,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,2,3,4
CA674,0,0,0,0,0,0,0,0,0,0,4,4,4,2,4,4,4,4
CA677,0,0,0,3,3,0,4,0,5,3,3,3,4,2,1,4,2,3
CA767,1,2,2,3,4,0,3,0,5,2,5,2,3,3,2,1,4,3
CA779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2
CA791,3,0,0,2,3,0,2,0,2,4,1,4,3,3,2,3,1,1
CA845,0,0,0,2,3,0,3,0,3,2,1,3,4,3,2,3,3,3
CA886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
CH008,4,3,4,2,5,2,1,4,3,3,3,1,4,3,4,2,3,2
CH162,3,0,0,3,4,2,5,0,2,4,3,3,2,3,3,5,2,3
CH213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
CH238,5,0,0,3,3,3,2,2,4,3,3,3,1,1,3,4,2,3
CH287,0,0,0,3,3,5,2,4,4,2,3,4,4,3,2,3,4,2
CH404,2,3,3,3,4,3,3,1,2,3,1,3,3,2,3,3,4,3
CH423,2,3,2,2,3,5,4,3,3,5,2,4,3,2,4,3,2,3
CH444,0,0,0,2,3,0,3,0,3,2,4,0,3,3,4,4,1,2
CH457,3,2,4,3,4,4,3,2,3,0,1,3,3,3,2,4,5,3
CH501,2,3,3,2,3,3,3,0,3,0,2,3,3,5,5,3,3,4
CH516,1,0,0,5,3,2,3,3,1,0,2,4,3,3,2,3,2,2
CH518,0,0,0,3,3,5,4,0,3,0,1,3,4,1,2,2,4,4
CH573,0,0,0,3,3,5,3,0,4,3,2,3,5,5,3,1,3,4
CH591,3,2,3,4,3,4,4,4,4,2,5,1,2,4,2,5,1,3
CH627,3,5,3,3,3,3,2,2,4,4,3,1,3,3,1,1,3,2
CH643,3,0,3,3,4,0,5,3,4,0,5,0,2,3,4,4,3,4
CH653,2,4,4,2,4,0,5,0,4,1,4,3,4,2,3,4,2,2
CH826,0,0,0,2,3,2,3,0,4,0,4,3,3,2,4,3,3,2
CH840,0,0,0,3,5,2,5,3,1,4,1,3,1,2,2,5,4,3
CH927,0,0,0,4,5,0,4,0,3,3,3,0,3,3,2,5,5,3
EN091,3,3,3,5,2,4,3,0,1,2,2,4,2,3,2,5,3,1
EN116,0,0,0,1,3,3,5,0,3,0,3,2,5,3,2,2,2,3
EN134,1,5,4,2,4,3,3,0,2,5,2,4,3,4,2,3,4,1
EN154,0,0,0,3,3,0,2,0,2,3,1,1,4,1,1,3,2,2
EN184,0,0,0,3,4,0,5,0,3,0,2,1,2,5,3,3,4,4
EN243,0,0,0,3,2,0,2,0,2,4,1,4,2,5,3,3,3,4
EN252,3,0,0,5,3,2,3,0,1,5,1,1,2,3,3,5,3,3
EN304,0,0,0,0,0,0,0,0,1,3,3,3,3,3,4,4,2,3
EN627,0,0,0,1,3,2,2,1,3,2,3,4,4,2,3,2,3,4
EN670,3,0,3,1,3,0,1,0,4,3,2,2,1,1,3,1,3,3
EN727,0,0,0,0,0,0,0,0,3,1,2,4,5,3,4,3,5,5
EN743,0,0,0,4,3,1,3,0,2,1,1,2,4,3,3,3,3,3
EN751,0,0,0,2,3,4,3,4,2,0,3,3,3,3,4,4,5,2
EN766,0,0,0,0,0,0,0,0,0,0,3,0,3,2,5,3,4,3
EN777,0,0,0,0,0,0,0,0,0,0,1,3,5,2,5,1,3,3
EN883,0,0,0,1,3,0,2,2,2,2,2,0,2,3,1,2,3,3
EN885,3,0,3,3,3,0,3,1,2,0,3,0,4,3,3,3,4,2
EN946,3,4,4,2,5,2,3,3,3,2,3,4,1,4,2,3,1,3
EN967,0,0,0,0,0,0,0,0,0,0,4,0,2,5,3,1,2,4
EN979,0,0,0,3,5,0,3,0,2,3,3,3,2,3,3,4,2,1
GO012,0,0,0,4,3,0,3,0,4,2,2,0,1,1,2,1,2,3
GO067,0,0,0,3,3,2,5,1,5,2,2,1,4,1,3,2,2,2
GO088,0,0,0,4,2,0,3,0,4,5,1,3,3,3,4,3,1,3
GO137,0,0,0,3,3,4,1,4,3,0,3,4,2,3,4,4,2,3
GO187,0,0,0,4,2,3,2,1,3,0,4,3,2,5,3,2,2,5
GO188,0,0,0,0,0,0,0,0,4,3,3,3,4,5,3,5,3,3
GO331,0,0,0,2,2,0,3,0,1,2,2,0,4,3,3,5,4,4
GO367,0,0,0,4,1,3,3,2,3,2,1,3,4,3,3,3,1,3
GO380,0,0,0,4,2,0,3,3,4,3,2,0,5,4,5,4,3,3
GO428,0,0,0,1,3,4,4,2,3,2,3,2,3,3,1,3,4,3
GO484,3,3,2,1,2,4,3,1,3,5,2,5,5,3,2,3,4,3
GO519,4,0,0,3,3,0,4,0,2,2,5,3,3,5,3,3,1,2
GO575,3,0,0,1,3,0,3,1,4,0,2,0,2,3,1,1,4,3
GO597,4,0,0,3,3,3,4,3,3,3,3,3,2,4,1,3,3,2
GO618,3,0,2,2,1,5,5,0,3,5,3,3,2,5,4,3,2,2
