rollNum,coursesEnrolled
23BI00072,CA567 CH840 GO484 HI509 MA542 PY676 ST239 ST807
23BI00197,BI372 CA175 CA567 CH927 EN967 HI509 MA283 PY637
23BI01289,BI351 CA567 EN743 HI501 MA380 PY676 PY936 ST807
23BI02465,CA175 CA567 CH927 GO012 GO597 HI501 MA283 PY676
23BI02980,CA567 EN743 EN967 HI501 MA043 MA283 PY680 ST485
23BI05202,CA567 CH840 EN967 HI509 MA043 MA542 PY676 PY907
23BI06374,CA567 EN727 GO012 GO597 HI543 MA283 PY680 ST485
23BI06671,CA181 CA567 CH826 EN967 HI335 MA283 PY637 PY936
23BI09473,BI351 CA181 CA567 CH840 HI509 MA283 PY676 PY936
23BI09730,BI351 CA567 CH927 GO012 HI543 MA380 PY680 ST239
23BI10460,BI351 CA558 CH927 HI509 MA380 PY680 PY936 ST239
23BI10633,CA558 EN743 EN979 HI501 MA283 PY680 PY936 ST485
23BI11686,BI372 CA567 CH840 EN979 HI501 MA542 PY676 ST485
23BI11818,CA567 EN727 GO012 GO597 HI543 MA283 PY676 ST807
23BI12015,CA567 CH840 EN979 HI509 MA542 PY676 ST239 ST485
23BI13379,CA567 CH840 EN967 HI509 MA043 MA542 PY676 ST239
23BI13480,CA442 CA567 EN743 EN967 HI543 MA043 MA380 PY676
23BI14276,BI351 CA567 EN743 EN967 HI501 MA283 PY680 PY936
23BI14296,BI372 CA175 CA567 EN727 EN979 HI509 MA283 PY676
23BI14893,CA567 EN727 GO012 HI543 MA043 MA283 PY680 PY907
23BI16616,CA567 EN727 EN967 HI509 MA043 MA542 PY676 ST239
23BI17668,CA567 EN727 EN967 HI509 MA043 PY676 ST254 ST485
23BI17685,CA567 EN727 EN967 HI509 MA043 MA407 PY676 PY907
23BI18990,CA567 CH840 HI509 MA043 MA283 PY676 PY936 ST485
23BI21117,BI351 CA567 EN727 HI463 PY676 PY936 ST239 ST807
23BI22192,BI372 CA558 CH840 EN979 HI509 MA542 PY676 ST239
23BI23043,CA567 EN727 EN967 HI509 MA043 MA283 PY676 PY936
23BI23951,BI351 CA567 EN727 EN979 HI509 MA407 PY676 PY907
23BI24084,CA567 CH840 EN967 HI509 MA043 MA542 PY676 ST239
23BI24267,BI372 CA567 EN727 EN967 HI509 MA043 MA380 PY676
23BI25325,BI351 CA567 EN743 EN979 HI501 MA407 PY676 PY907
23BI25658,BI372 CA558 CH927 HI509 MA542 PY676 ST239 ST485
23BI27718,BI372 CA567 EN727 EN967 HI509 MA380 PY680 ST239
23BI28036,CA175 CA567 EN670 HI463 MA043 MA283 PY676 ST485
23BI28049,BI372 CA558 CH826 HI543 MA380 PY680 PY936 ST239
23BI30109,BI372 CA567 CH840 EN967 HI509 MA380 PY676 ST807
23BI31582,BI372 CA558 EN727 EN967 HI509 MA283 PY680 PY936
23BI31714,CA567 EN743 EN967 HI501 MA043 MA283 PY680 ST485
23BI37250,BI372 CA558 EN743 EN967 HI501 MA043 MA542 PY676
23BI37444,CA567 EN727 GO012 HI543 MA380 PY680 PY936 ST485
23BI37601,CA558 CH457 CH927 EN967 HI509 MA407 PY676 ST485
23BI39998,CA567 CH927 GO012 HI543 MA380 PY676 PY936 ST239
23BI40143,BI351 CA567 EN727 EN967 HI509 MA043 MA407 PY676
23BI40397,CA500 CH457 CH927 EN967 HI335 MA283 PY637 PY936
23BI41284,BI372 CA567 EN727 GO012 GO484 HI501 MA283 PY680
23BI41461,BI372 CA558 CH840 EN979 HI463 MA002 MA380 PY676
23BI41895,BI372 CA558 CH927 EN967 HI509 MA542 PY676 ST485
23BI44790,CA567 EN743 EN967 HI501 MA043 MA380 PY680 ST239
23BI45875,CA567 EN727 EN979 HI501 MA002 MA407 PY676 PY907
23BI46157,BI351 CA567 EN743 HI501 MA380 PY676 PY936 ST807
23BI46917,CA175 CA567 CH927 HI501 MA002 MA542 PY676 ST485
23BI48124,CA558 CH457 CH927 EN967 HI335 MA283 PY680 PY936
23BI49138,CA567 CH840 GO484 HI509 MA380 PY680 PY936 ST485
23BI49413,BI351 CA567 EN727 EN967 HI509 MA043 MA407 PY676
23BI51336,CA442 CA558 CH927 EN967 GO597 HI509 MA283 PY676
23BI53557,BI351 CA567 EN727 EN979 HI509 MA542 PY676 PY907
23BI54158,CA558 CH927 GO012 GO484 HI543 MA283 PY680 PY936
23BI54281,CA558 CH840 EN979 HI509 MA542 PY676 PY907 ST254
23BI55439,CA181 CA500 CH826 HI335 MA283 PY637 ST485
23BI55660,CA567 EN727 GO012 GO484 HI501 MA043 MA283 PY680
23BI56550,CA558 EN743 EN979 HI501 MA380 PY680 PY936 ST485
23BI60360,BI372 BI846 CA175 CA558 CH826 EN979
