File Name,Trial Number,Initial Soft Constraints,Initial Hard Constraints,Final Soft Constraints,Final Hard Constraints,Timestamp,feasible size,Elapsed Time (seconds),Improvement
hec-s-92,0,0.450990915,0,0.418583508,0,14-07-2024 10:29,49,11.81954908,0.032407407
hec-s-92,0,0.456068336,0,0.440600006,0,14-07-2024 10:29,79,12.29820895,0.01546833
car-s-91,0,0.408118771,0,0.406011,0,14-07-2024 10:54,22,1463.717075,0.002107771
car-f-92,1,0.407216298,0,0.407216298,0,14-07-2024 10:56,73,115.8496027,0
ear-f-83,2,0.441844054,0,0.435658018,0,14-07-2024 10:57,60,30.19299579,0.006186036
kfu-s-93,3,0.496568436,0,0.495170264,0,14-07-2024 10:58,36,74.46727681,0.001398172
sta-f-83,4,0.511313614,0,0.511313614,0,14-07-2024 10:58,53,12.06962585,0
tre-s-92,5,0.434170124,0,0.434170124,0,14-07-2024 10:59,69,24.87262344,0
uta-s-92,6,0.40519701,0,0.40519701,0,14-07-2024 11:10,49,665.2936432,0
yor-f-83,7,0.456026881,0,0.454911283,0,14-07-2024 11:11,48,40.45550418,0.001115597
hec-s-92,8,0.460174316,0,0.424588779,0,14-07-2024 11:11,14,2.947135687,0.035585537
lse-f-91,9,0.454927226,0,0.454927226,0,14-07-2024 11:13,7,132.0553131,0
rye-s-93,10,0.42887125,0,0.42887125,0,14-07-2024 11:14,81,99.52002311,0
ute-s-92,11,0.493244527,0,0.493244527,0,14-07-2024 11:15,25,10.35962105,0
car-s-91,12,0.409376496,0,0.409376496,0,14-07-2024 11:24,82,576.2079418,0
car-f-92,13,0.411250909,0,0.411250909,0,14-07-2024 11:25,51,42.0296917,0
ear-f-83,14,0.46637613,0,0.46637613,0,14-07-2024 11:25,3,4.017972946,0
kfu-s-93,15,0.488425756,0,0.488425756,0,14-07-2024 11:28,23,181.2328289,0
sta-f-83,16,0.502955058,0,0.501373991,0,14-07-2024 11:28,94,5.338320971,0.001581067
tre-s-92,17,0.442268259,0,0.435802742,0,14-07-2024 11:28,37,8.950786352,0.006465517
uta-s-92,18,0.407921046,0,0.407117188,0,14-07-2024 11:33,42,271.5030534,0.000803859
yor-f-83,19,0.47888334,0,0.47888334,0,14-07-2024 11:33,11,43.05209851,0
hec-s-92,20,0.446623959,0,0.44199433,0,14-07-2024 11:34,48,2.850860834,0.00462963
lse-f-91,21,0.448209795,0,0.448209795,0,14-07-2024 11:35,58,82.56877279,0
rye-s-93,22,0.431592856,0,0.431592856,0,14-07-2024 11:36,40,65.79781961,0
ute-s-92,23,0.481586824,0,0.481586824,0,14-07-2024 11:36,65,7.492267847,0
car-s-91,24,0.406796724,0,0.406796724,0,14-07-2024 11:39,96,156.7232134,0
car-f-92,25,0.414533441,0,0.414533441,0,14-07-2024 11:41,98,134.737915,0
ear-f-83,26,0.441932863,0,0.441932863,0,14-07-2024 11:41,57,21.37001562,0
kfu-s-93,27,0.481089737,0,0.481089737,0,14-07-2024 11:42,81,32.55990076,0
