Instance,Trial,Generation,Time,Best,Worst
car-f-92,0,0,12.759638786315918,76322.0,619000101028.0
car-f-92,0,1,16.453261137008667,76322.0,598000097606.0
car-f-92,0,2,20.34242844581604,76322.0,519000099118.0
car-f-92,0,3,23.77088952064514,76322.0,486000093064.0
car-f-92,0,4,26.573631286621094,76322.0,300000087340.0
car-f-92,0,5,29.578336000442505,76322.0,260000085494.0
car-f-92,0,6,32.99025344848633,76322.0,221000083510.0
car-f-92,0,7,36.489563941955566,76322.0,176000081476.0
car-f-92,0,8,39.506625175476074,76322.0,122000079232.0
car-f-92,0,9,42.40038800239563,76322.0,65000077684.0
car-f-92,0,10,45.219510555267334,76322.0,8000076312.0
car-f-92,0,11,47.98101735115051,76322.0,4000076304.0
car-f-92,0,12,51.08334922790527,76322.0,2000076318.0
car-f-92,0,13,54.05378079414368,76322.0,76772.0
car-f-92,0,14,57.09933280944824,76322.0,76322.0
car-f-92,0,15,63.913143157958984,76322.0,617000098584.0
car-f-92,0,16,67.14676547050476,76322.0,597000101094.0
car-f-92,0,17,70.0662362575531,76322.0,502000093474.0
car-f-92,0,18,73.11490654945374,76322.0,469000093214.0
car-f-92,0,19,75.94429111480713,76322.0,218000081508.0
car-f-92,0,20,78.96614480018616,76322.0,76322.0
car-f-92,0,21,85.9508547782898,76322.0,620000098364.0
car-f-92,0,22,89.06674838066101,76322.0,598000099468.0
car-f-92,0,23,92.20405316352844,76322.0,507000093874.0
car-f-92,0,24,95.5003228187561,76322.0,475000091248.0
car-f-92,0,25,98.35416674613953,76322.0,239000081866.0
car-f-92,0,26,101.45228886604309,76322.0,76322.0
car-f-92,0,27,108.10792875289917,76322.0,615000099356.0
car-f-92,0,28,111.02209639549255,76322.0,589000099158.0
car-f-92,0,29,114.11996459960938,76322.0,496000091096.0
car-f-92,0,30,116.9941053390503,76322.0,450000089246.0
car-f-92,0,31,120.17405796051025,76322.0,130000079784.0
car-f-92,0,32,123.1844835281372,76322.0,76322.0
car-f-92,0,33,130.07879066467285,76322.0,616000101568.0
car-f-92,0,34,132.9570381641388,76322.0,593000096818.0
car-f-92,0,35,136.1487729549408,76322.0,497000095790.0
