Instance,Trial,Generation,Time,Best,Worst
ear-f-83,1,0,0.23963260650634766,22580.0,232000029516.0
ear-f-83,1,1,0.4400765895843506,22580.0,225000032072.0
ear-f-83,1,2,0.6635446548461914,22580.0,218000032382.0
ear-f-83,1,3,0.9469618797302246,22580.0,214000031278.0
ear-f-83,1,4,1.1493127346038818,22580.0,210000029878.0
ear-f-83,1,5,1.3671901226043701,22580.0,206000029728.0
ear-f-83,1,6,1.578519582748413,22580.0,201000031820.0
ear-f-83,1,7,1.7888922691345215,22580.0,199000030338.0
ear-f-83,1,8,2.012836456298828,22580.0,137000027910.0
ear-f-83,1,9,2.23290753364563,22580.0,120000026294.0
ear-f-83,1,10,2.440215826034546,22580.0,118000025652.0
ear-f-83,1,11,2.667165994644165,22580.0,112000026084.0
ear-f-83,1,12,2.914078712463379,22580.0,102000026888.0
ear-f-83,1,13,3.101799488067627,22580.0,90000024218.0
ear-f-83,1,14,3.3246917724609375,22580.0,81000025666.0
ear-f-83,1,15,3.53385329246521,22580.0,68000025300.0
ear-f-83,1,16,3.774707794189453,22580.0,65000026204.0
ear-f-83,1,17,4.198616981506348,22580.0,54000024694.0
ear-f-83,1,18,4.412730693817139,22580.0,43000026306.0
ear-f-83,1,19,4.6192028522491455,22580.0,28000024758.0
ear-f-83,1,20,4.819737911224365,22580.0,26000023906.0
ear-f-83,1,21,5.025605201721191,22580.0,25000023888.0
ear-f-83,1,22,5.233601093292236,22580.0,25000023888.0
ear-f-83,1,23,5.4393768310546875,22580.0,25000023888.0
ear-f-83,1,24,5.650046348571777,22574.0,25000023888.0
ear-f-83,1,25,5.857080936431885,22574.0,25000023888.0
ear-f-83,1,26,6.051404237747192,22574.0,25000023888.0
ear-f-83,1,27,6.271549463272095,22574.0,25000023878.0
ear-f-83,1,28,6.483355522155762,22574.0,21000024660.0
ear-f-83,1,29,6.6869354248046875,22524.0,3000022518.0
ear-f-83,1,30,6.957229375839233,22524.0,2000022502.0
ear-f-83,1,31,7.190589427947998,22524.0,2000022502.0
ear-f-83,1,32,7.4203057289123535,22524.0,2000022490.0
ear-f-83,1,33,7.667916297912598,22524.0,2000022490.0
ear-f-83,1,34,7.900434494018555,22524.0,2000022490.0
ear-f-83,1,35,8.10617971420288,22524.0,2000022490.0
ear-f-83,1,36,8.322052717208862,22524.0,2000022490.0
ear-f-83,1,37,8.566580772399902,22524.0,2000022490.0
ear-f-83,1,38,8.785395860671997,22524.0,2000022490.0
ear-f-83,1,39,9.017712116241455,22524.0,2000022490.0
ear-f-83,1,40,9.255414009094238,22524.0,2000022490.0
ear-f-83,1,41,9.45420241355896,22524.0,2000022490.0
ear-f-83,1,42,9.683714866638184,22524.0,2000022490.0
ear-f-83,1,43,9.88284420967102,22524.0,2000022470.0
ear-f-83,1,44,10.115186929702759,22518.0,2000022470.0
ear-f-83,1,45,10.314947605133057,22518.0,2000022470.0
ear-f-83,1,46,10.529440641403198,22518.0,2000022470.0
ear-f-83,1,47,10.750983238220215,22518.0,2000022470.0
ear-f-83,1,48,10.984266519546509,22518.0,2000022470.0
ear-f-83,1,49,11.20694613456726,22518.0,2000022470.0
ear-f-83,1,50,11.416709899902344,22518.0,2000022470.0
ear-f-83,1,51,11.617481231689453,22518.0,2000022470.0
