Instance,Trial,Generation,Time,Best,Worst
rye-s-93,0,0,7.2203569412231445,35708.0,430000054102.0
rye-s-93,0,1,10.25046682357788,35708.0,406000054616.0
rye-s-93,0,2,12.985272407531738,35708.0,349000050482.0
rye-s-93,0,3,15.774584531784058,35708.0,311000049138.0
rye-s-93,0,4,18.540550708770752,35708.0,183000041768.0
rye-s-93,0,5,21.838825464248657,35708.0,133000043612.0
rye-s-93,0,6,25.39403986930847,35708.0,51000042508.0
rye-s-93,0,7,32.38715481758118,35708.0,27000036796.0
rye-s-93,0,8,39.289228439331055,35708.0,16000035764.0
rye-s-93,0,9,46.44751000404358,35708.0,9000035674.0
rye-s-93,0,10,53.71051383018494,35708.0,9000035674.0
rye-s-93,0,11,60.81719350814819,35708.0,9000035670.0
rye-s-93,0,12,67.43382978439331,35708.0,3000035692.0
rye-s-93,0,13,73.98630785942078,35708.0,3000035672.0
rye-s-93,0,14,80.61712145805359,35704.0,2000035696.0
rye-s-93,0,15,86.83773994445801,35704.0,1000035704.0
rye-s-93,0,16,94.20705676078796,35704.0,41046.0
rye-s-93,0,17,100.7874481678009,35704.0,35708.0
rye-s-93,0,18,107.55038857460022,35704.0,35708.0
rye-s-93,0,19,113.55548596382141,35704.0,35708.0
rye-s-93,0,20,120.49246120452881,35704.0,35708.0
rye-s-93,0,21,127.29690766334534,35704.0,35708.0
rye-s-93,0,22,133.71914935112,35704.0,35708.0
rye-s-93,0,23,139.6610951423645,35704.0,35704.0
rye-s-93,0,24,153.98267698287964,35704.0,434000053072.0
rye-s-93,0,25,160.34680676460266,35704.0,416000052768.0
rye-s-93,0,26,166.75861382484436,35704.0,355000049026.0
rye-s-93,0,27,172.87355017662048,35704.0,313000046666.0
rye-s-93,0,28,178.90680241584778,35704.0,143000039794.0
rye-s-93,0,29,185.33717846870422,35704.0,35704.0
rye-s-93,0,30,198.54316687583923,35704.0,436000056428.0
rye-s-93,0,31,204.86421847343445,35704.0,417000053668.0
rye-s-93,0,32,210.87700366973877,35704.0,343000049090.0
rye-s-93,0,33,216.89700841903687,35704.0,296000043938.0
rye-s-93,0,34,222.64731907844543,35704.0,35704.0
rye-s-93,0,35,236.96587419509888,35704.0,433000053244.0
rye-s-93,0,36,246.12897157669067,35704.0,421000054236.0
rye-s-93,0,37,252.25929069519043,35704.0,361000050622.0
rye-s-93,0,38,258.2569625377655,35704.0,316000049326.0
rye-s-93,0,39,264.7070472240448,35704.0,225000042912.0
rye-s-93,0,40,270.89743280410767,35704.0,35704.0
rye-s-93,0,41,285.31736874580383,35704.0,434000052890.0
rye-s-93,0,42,291.57223868370056,35704.0,413000053272.0
rye-s-93,0,43,297.89580368995667,35704.0,332000047384.0
rye-s-93,0,44,304.2170398235321,35704.0,305000046710.0
rye-s-93,0,45,310.124361038208,35704.0,86000037660.0
rye-s-93,0,46,316.613126039505,35704.0,35704.0
rye-s-93,0,47,331.0343885421753,35704.0,430000052610.0
rye-s-93,0,48,337.2072401046753,35704.0,406000051924.0
rye-s-93,0,49,343.25026631355286,35704.0,331000049284.0
