Instance,Trial,Generation,Time,Best,Worst
hec-s-92,1,0,0.18891620635986328,7082.0,97000010638.0
hec-s-92,1,1,0.37436699867248535,7082.0,94000010130.0
hec-s-92,1,2,0.5433518886566162,7082.0,91000009780.0
hec-s-92,1,3,0.675795316696167,7060.0,88000009474.0
hec-s-92,1,4,1.0182702541351318,7060.0,86000010044.0
hec-s-92,1,5,1.1615996360778809,7060.0,83000010182.0
hec-s-92,1,6,1.315328598022461,7060.0,79000010278.0
hec-s-92,1,7,1.4646685123443604,7060.0,69000008912.0
hec-s-92,1,8,1.6238491535186768,7060.0,50000008028.0
hec-s-92,1,9,1.757915735244751,7060.0,44000007942.0
hec-s-92,1,10,1.9150524139404297,7060.0,41000007680.0
hec-s-92,1,11,2.066155433654785,7060.0,38000008056.0
hec-s-92,1,12,2.2124598026275635,7060.0,36000007598.0
hec-s-92,1,13,2.3492519855499268,7060.0,35000007558.0
hec-s-92,1,14,2.4991164207458496,7060.0,34000007548.0
hec-s-92,1,15,2.6334054470062256,7060.0,31000007756.0
hec-s-92,1,16,2.7665886878967285,7060.0,23000007384.0
hec-s-92,1,17,2.916374921798706,7060.0,16000007274.0
hec-s-92,1,18,3.050069570541382,7060.0,3000007820.0
hec-s-92,1,19,3.4653499126434326,7060.0,98000009578.0
hec-s-92,1,20,3.640015125274658,7060.0,92000010216.0
hec-s-92,1,21,3.8082869052886963,7060.0,88000010590.0
hec-s-92,1,22,3.9509994983673096,7060.0,86000009464.0
hec-s-92,1,23,4.098176002502441,7060.0,83000010120.0
hec-s-92,1,24,4.264870643615723,7060.0,81000010072.0
hec-s-92,1,25,4.414855718612671,7060.0,79000010286.0
hec-s-92,1,26,4.561020851135254,7060.0,37000009046.0
hec-s-92,1,27,4.714306116104126,7060.0,32000007342.0
hec-s-92,1,28,5.19586181640625,7056.0,19000007544.0
hec-s-92,1,29,5.666111946105957,7056.0,1000007050.0
hec-s-92,1,30,6.133959054946899,7056.0,1000007050.0
hec-s-92,1,31,6.599255323410034,7056.0,1000007050.0
hec-s-92,1,32,7.066500663757324,7056.0,1000007050.0
hec-s-92,1,33,7.536949872970581,7056.0,1000007050.0
hec-s-92,1,34,7.942395925521851,7042.0,1000007044.0
hec-s-92,1,35,8.366108179092407,7042.0,1000007044.0
hec-s-92,1,36,8.795023441314697,7042.0,1000007044.0
hec-s-92,1,37,9.281528234481812,7042.0,1000007044.0
hec-s-92,1,38,9.801712274551392,7042.0,8058.0
hec-s-92,1,39,10.222754001617432,7042.0,7060.0
hec-s-92,1,40,10.663617849349976,7042.0,7060.0
hec-s-92,1,41,11.10288381576538,7042.0,7060.0
hec-s-92,1,42,11.558508157730103,7042.0,7060.0
hec-s-92,1,43,11.998460292816162,7042.0,7060.0
hec-s-92,1,44,12.436047077178955,7042.0,7060.0
hec-s-92,1,45,12.86801528930664,7042.0,7060.0
hec-s-92,1,46,13.314226865768433,7042.0,7060.0
hec-s-92,1,47,13.745936870574951,7042.0,7060.0
hec-s-92,1,48,14.823801279067993,7042.0,97000011718.0
hec-s-92,1,49,15.473853588104248,7042.0,92000010422.0
hec-s-92,1,50,16.110745429992676,7042.0,88000009600.0
hec-s-92,1,51,16.540770769119263,7042.0,85000009256.0
hec-s-92,1,52,16.961301803588867,7042.0,82000010586.0
hec-s-92,1,53,17.39149761199951,7042.0,75000009500.0
hec-s-92,1,54,17.870211124420166,7042.0,66000009430.0
hec-s-92,1,55,18.50520372390747,7042.0,38000008050.0
hec-s-92,1,56,19.090136528015137,7042.0,4000007074.0
hec-s-92,1,57,20.294880151748657,7042.0,97000010124.0
hec-s-92,1,58,20.76105260848999,7042.0,93000010034.0
hec-s-92,1,59,21.21326231956482,7042.0,90000010796.0
hec-s-92,1,60,21.72688364982605,7042.0,87000009978.0
hec-s-92,1,61,22.371081829071045,7042.0,84000009854.0
hec-s-92,1,62,22.89791488647461,7042.0,82000009708.0
hec-s-92,1,63,23.377214193344116,7042.0,79000010040.0
hec-s-92,1,64,23.80766224861145,7042.0,72000009862.0
hec-s-92,1,65,24.24142551422119,7042.0,18000007492.0
hec-s-92,1,66,25.472487211227417,7042.0,97000010122.0
hec-s-92,1,67,25.962937831878662,7042.0,91000010546.0
hec-s-92,1,68,26.480008840560913,7034.0,87000010200.0
hec-s-92,1,69,26.960909366607666,7034.0,85000009424.0
hec-s-92,1,70,27.410332918167114,7034.0,83000009106.0
hec-s-92,1,71,27.888351440429688,7034.0,80000009298.0
hec-s-92,1,72,28.512603044509888,7034.0,75000010408.0
hec-s-92,1,73,29.1003897190094,7034.0,52000008520.0
hec-s-92,1,74,29.670998573303223,7034.0,30000009146.0
hec-s-92,1,75,30.100369453430176,7034.0,3000007104.0
hec-s-92,1,76,30.54248595237732,7034.0,7426.0
hec-s-92,1,77,31.017444372177124,7034.0,7042.0
hec-s-92,1,78,31.47898769378662,7034.0,7042.0
hec-s-92,1,79,31.928484439849854,7034.0,7042.0
hec-s-92,1,80,32.382394313812256,7034.0,7042.0
hec-s-92,1,81,32.80405378341675,7034.0,7042.0
