courses,room,datetime
BI023,Room19,2025-03-04T14:00:00
BI025,Room18,2025-03-07T14:00:00
BI033,Room15,2025-03-06T10:00:00
BI037,Room22,2025-03-05T10:00:00
BI039,Room16,2025-03-19T10:00:00
BI041,Room10,2025-03-14T10:00:00
BI059,Room17,2025-03-17T14:00:00
BI070,Room4,2025-03-11T10:00:00
BI101,Room4,2025-03-03T10:00:00
BI105,Room6,2025-03-10T14:00:00
BI128,Room20,2025-03-14T14:00:00
BI138,Room22,2025-03-13T10:00:00
BI154,Room15,2025-03-10T10:00:00
BI155,Room3,2025-03-14T14:00:00
BI228,Room2,2025-03-07T10:00:00
BI232,Room9,2025-03-20T14:00:00
BI257,Room12,2025-03-19T10:00:00
BI285,Room22,2025-03-14T14:00:00
BI289,Room1,2025-03-24T10:00:00
BI291,Room15,2025-03-03T10:00:00
BI296,Room6,2025-03-06T10:00:00
BI324,Room10,2025-03-07T14:00:00
BI336,Room21,2025-03-03T10:00:00
BI374,Room1,2025-03-19T10:00:00
BI390,Room17,2025-03-24T10:00:00
BI409,Room17,2025-03-13T10:00:00
BI417,Room5,2025-03-07T14:00:00
BI433,Room18,2025-03-20T14:00:00
BI463,Room6,2025-03-21T10:00:00
BI507,Room20,2025-03-24T14:00:00
BI529,Room13,2025-03-21T10:00:00
BI534,Room10,2025-03-03T14:00:00
BI544,Room16,2025-03-18T14:00:00
BI551,Room6,2025-03-11T14:00:00
BI586,Room16,2025-03-20T14:00:00
BI593,Room21,2025-03-21T10:00:00
BI597,Room18,2025-03-12T10:00:00
BI624,Room6,2025-03-07T10:00:00
BI636,Room3,2025-03-17T10:00:00
BI641,Room1,2025-03-05T10:00:00
BI654,Room1,2025-03-20T10:00:00
BI666,Room2,2025-03-11T14:00:00
BI679,Room21,2025-03-11T14:00:00
BI682,Room17,2025-03-07T14:00:00
BI727,Room19,2025-03-03T14:00:00
BI728,Room18,2025-03-20T14:00:00
BI734,Room2,2025-03-04T10:00:00
BI747,Room11,2025-03-14T14:00:00
BI761,Room20,2025-03-05T14:00:00
BI768,Room18,2025-03-20T10:00:00
BI781,Room1,2025-03-07T10:00:00
BI790,Room21,2025-03-21T10:00:00
BI806,Room13,2025-03-21T10:00:00
BI810,Room3,2025-03-03T10:00:00
BI839,Room19,2025-03-06T14:00:00
BI848,Room17,2025-03-12T14:00:00
BI861,Room13,2025-03-04T14:00:00
BI907,Room13,2025-03-10T14:00:00
BI943,Room2,2025-03-19T10:00:00
BI966,Room9,2025-03-07T14:00:00
BI985,Room20,2025-03-17T14:00:00
CA018,Room3,2025-03-03T10:00:00
CA021,Room18,2025-03-05T14:00:00
CA027,Room18,2025-03-21T10:00:00
CA035,Room13,2025-03-19T10:00:00
CA042,Room2,2025-03-19T10:00:00
CA047,Room18,2025-03-21T10:00:00
CA072,Room16,2025-03-24T10:00:00
CA084,Room1,2025-03-19T10:00:00
CA099,Room16,2025-03-05T14:00:00
CA141,Room20,2025-03-21T10:00:00
CA164,Room5,2025-03-05T14:00:00
CA182,Room21,2025-03-07T14:00:00
CA208,Room15,2025-03-07T14:00:00
CA252,Room17,2025-03-05T14:00:00
CA339,Room12,2025-03-05T14:00:00
CA370,Room17,2025-03-11T10:00:00
CA403,Room18,2025-03-07T10:00:00
CA405,Room18,2025-03-03T10:00:00
CA424,Room18,2025-03-04T14:00:00
CA436,Room3,2025-03-13T10:00:00
CA448,Room11,2025-03-17T14:00:00
CA465,Room22,2025-03-04T10:00:00
CA477,Room20,2025-03-21T10:00:00
CA496,Room9,2025-03-14T10:00:00
CA500,Room10,2025-03-17T10:00:00
CA537,Room10,2025-03-19T10:00:00
CA552,Room10,2025-03-17T14:00:00
CA574,Room12,2025-03-24T10:00:00
CA612,Room17,2025-03-07T14:00:00
CA616,Room22,2025-03-24T10:00:00
CA635,Room22,2025-03-12T14:00:00
CA641,Room17,2025-03-12T14:00:00
CA652,Room13,2025-03-21T14:00:00
CA692,Room14,2025-03-04T10:00:00
CA715,Room21,2025-03-05T10:00:00
CA719,Room22,2025-03-19T14:00:00
CA726,Room21,2025-03-10T10:00:00
CA741,Room22,2025-03-04T10:00:00
CA747,Room15,2025-03-18T10:00:00
CA768,Room19,2025-03-10T10:00:00
CA770,Room16,2025-03-17T10:00:00
CA772,Room19,2025-03-11T10:00:00
CA784,Room20,2025-03-12T10:00:00
CA800,Room11,2025-03-05T14:00:00
CA811,Room16,2025-03-19T14:00:00
CA812,Room14,2025-03-13T14:00:00
CA815,Room17,2025-03-24T14:00:00
CA817,Room1,2025-03-24T14:00:00
CA836,Room15,2025-03-06T10:00:00
CA849,Room4,2025-03-24T10:00:00
CA852,Room18,2025-03-04T14:00:00
CA853,Room2,2025-03-07T14:00:00
CA858,Room22,2025-03-03T10:00:00
CA896,Room19,2025-03-05T10:00:00
CA900,Room17,2025-03-13T10:00:00
CA947,Room20,2025-03-10T14:00:00
CA967,Room17,2025-03-17T14:00:00
CA976,Room22,2025-03-11T10:00:00
CA988,Room19,2025-03-07T14:00:00
CH005,Room2,2025-03-24T10:00:00
CH008,Room15,2025-03-17T14:00:00
CH023,Room18,2025-03-13T14:00:00
CH030,Room22,2025-03-20T14:00:00
CH067,Room21,2025-03-19T14:00:00
CH120,Room22,2025-03-21T10:00:00
CH130,Room19,2025-03-24T10:00:00
CH218,Room21,2025-03-20T14:00:00
CH221,Room17,2025-03-21T10:00:00
CH254,Room6,2025-03-03T10:00:00
CH255,Room15,2025-03-24T14:00:00
CH257,Room17,2025-03-14T10:00:00
CH265,Room21,2025-03-21T14:00:00
CH271,Room22,2025-03-18T14:00:00
CH285,Room22,2025-03-03T10:00:00
CH295,Room12,2025-03-17T14:00:00
CH313,Room6,2025-03-17T14:00:00
CH315,Room6,2025-03-14T14:00:00
CH324,Room17,2025-03-12T10:00:00
CH383,Room17,2025-03-07T10:00:00
CH405,Room4,2025-03-13T10:00:00
CH416,Room19,2025-03-03T10:00:00
CH428,Room13,2025-03-06T10:00:00
CH439,Room19,2025-03-14T10:00:00
CH452,Room14,2025-03-07T14:00:00
CH454,Room22,2025-03-06T14:00:00
CH485,Room4,2025-03-04T14:00:00
CH516,Room21,2025-03-06T10:00:00
CH525,Room4,2025-03-04T10:00:00
CH579,Room2,2025-03-17T14:00:00
CH607,Room13,2025-03-07T14:00:00
CH612,Room1,2025-03-12T14:00:00
CH623,Room12,2025-03-14T14:00:00
CH648,Room14,2025-03-04T14:00:00
CH649,Room18,2025-03-07T14:00:00
CH657,Room18,2025-03-07T10:00:00
CH665,Room18,2025-03-21T10:00:00
CH675,Room21,2025-03-24T10:00:00
CH711,Room1,2025-03-03T10:00:00
CH720,Room16,2025-03-10T10:00:00
CH727,Room21,2025-03-19T10:00:00
CH732,Room18,2025-03-24T10:00:00
CH739,Room20,2025-03-07T14:00:00
CH740,Room16,2025-03-04T10:00:00
CH758,Room13,2025-03-06T10:00:00
CH770,Room18,2025-03-06T10:00:00
CH802,Room8,2025-03-05T10:00:00
CH811,Room1,2025-03-04T14:00:00
CH817,Room8,2025-03-24T10:00:00
CH828,Room5,2025-03-03T10:00:00
CH830,Room11,2025-03-07T14:00:00
CH858,Room22,2025-03-04T14:00:00
CH860,Room19,2025-03-13T10:00:00
CH874,Room16,2025-03-13T10:00:00
CH888,Room17,2025-03-04T10:00:00
CH918,Room22,2025-03-07T14:00:00
CH984,Room22,2025-03-03T10:00:00
CH987,Room21,2025-03-21T10:00:00
CH995,Room5,2025-03-17T14:00:00
EN009,Room11,2025-03-04T14:00:00
EN033,Room9,2025-03-04T10:00:00
EN042,Room16,2025-03-07T14:00:00
EN053,Room16,2025-03-07T14:00:00
EN056,Room5,2025-03-07T10:00:00
EN060,Room19,2025-03-05T14:00:00
EN067,Room17,2025-03-14T10:00:00
EN091,Room19,2025-03-06T14:00:00
EN103,Room22,2025-03-04T10:00:00
EN162,Room16,2025-03-24T10:00:00
EN174,Room5,2025-03-24T10:00:00
EN179,Room16,2025-03-06T14:00:00
EN185,Room21,2025-03-19T10:00:00
EN194,Room17,2025-03-21T10:00:00
EN206,Room10,2025-03-13T10:00:00
EN220,Room13,2025-03-06T10:00:00
EN234,Room20,2025-03-24T14:00:00
EN264,Room15,2025-03-21T10:00:00
EN285,Room18,2025-03-03T10:00:00
EN332,Room11,2025-03-14T10:00:00
EN335,Room12,2025-03-11T10:00:00
EN336,Room3,2025-03-17T14:00:00
EN344,Room19,2025-03-05T14:00:00
EN360,Room6,2025-03-05T14:00:00
EN375,Room22,2025-03-19T10:00:00
EN377,Room20,2025-03-19T10:00:00
EN394,Room17,2025-03-10T14:00:00
EN419,Room18,2025-03-14T14:00:00
EN421,Room1,2025-03-14T14:00:00
EN425,Room8,2025-03-18T10:00:00
EN432,Room20,2025-03-04T14:00:00
EN507,Room21,2025-03-17T14:00:00
EN546,Room4,2025-03-21T14:00:00
EN568,Room17,2025-03-17T14:00:00
EN574,Room14,2025-03-14T10:00:00
EN579,Room14,2025-03-11T10:00:00
EN581,Room10,2025-03-24T14:00:00
EN584,Room16,2025-03-21T14:00:00
EN586,Room3,2025-03-03T14:00:00
EN607,Room15,2025-03-20T10:00:00
EN618,Room12,2025-03-03T10:00:00
EN645,Room13,2025-03-17T14:00:00
EN672,Room22,2025-03-04T14:00:00
EN673,Room16,2025-03-24T10:00:00
EN674,Room9,2025-03-17T14:00:00
EN689,Room3,2025-03-19T10:00:00
EN713,Room4,2025-03-06T10:00:00
EN724,Room16,2025-03-20T10:00:00
EN753,Room14,2025-03-05T14:00:00
EN755,Room9,2025-03-07T14:00:00
EN775,Room20,2025-03-18T10:00:00
EN799,Room13,2025-03-06T14:00:00
EN806,Room22,2025-03-07T14:00:00
EN813,Room9,2025-03-03T10:00:00
EN821,Room10,2025-03-03T10:00:00
EN832,Room14,2025-03-24T10:00:00
EN889,Room22,2025-03-17T14:00:00
EN898,Room20,2025-03-24T14:00:00
EN907,Room20,2025-03-21T10:00:00
EN943,Room18,2025-03-20T14:00:00
EN950,Room22,2025-03-12T10:00:00
GO013,Room21,2025-03-18T14:00:00
GO034,Room20,2025-03-10T10:00:00
GO041,Room2,2025-03-05T14:00:00
GO053,Room22,2025-03-11T10:00:00
GO086,Room20,2025-03-24T10:00:00
GO092,Room18,2025-03-07T14:00:00
GO155,Room17,2025-03-14T10:00:00
