courses,room,datetime
BI003,Room10,2025-03-10T10:00:00
BI099,Room9,2025-03-14T10:00:00
BI142,Room18,2025-03-10T14:00:00
BI173,Room17,2025-03-10T14:00:00
BI197,Room14,2025-03-07T10:00:00
BI277,Room18,2025-03-17T14:00:00
BI305,Room17,2025-03-12T10:00:00
BI329,Room14,2025-03-18T10:00:00
BI344,Room18,2025-03-18T10:00:00
BI370,Room9,2025-03-18T10:00:00
BI383,Room17,2025-03-14T14:00:00
BI411,Room9,2025-03-13T10:00:00
BI415,Room11,2025-03-13T14:00:00
BI627,Room13,2025-03-07T14:00:00
BI629,Room18,2025-03-03T14:00:00
BI637,Room16,2025-03-18T10:00:00
BI750,Room12,2025-03-03T14:00:00
BI757,Room13,2025-03-10T14:00:00
BI867,Room18,2025-03-11T14:00:00
BI883,Room18,2025-03-05T10:00:00
BI896,Room1,2025-03-03T14:00:00
BI947,Room12,2025-03-12T10:00:00
CA055,Room16,2025-03-06T10:00:00
CA116,Room18,2025-03-06T10:00:00
CA121,Room16,2025-03-06T14:00:00
CA165,Room14,2025-03-03T10:00:00
CA257,Room18,2025-03-03T10:00:00
CA319,Room16,2025-03-17T10:00:00
CA395,Room17,2025-03-17T10:00:00
CA398,Room16,2025-03-13T10:00:00
CA409,Room6,2025-03-13T14:00:00
CA452,Room16,2025-03-12T14:00:00
CA459,Room17,2025-03-10T10:00:00
CA578,Room18,2025-03-13T14:00:00
CA593,Room12,2025-03-14T10:00:00
CA762,Room12,2025-03-18T10:00:00
CA814,Room1,2025-03-06T14:00:00
CA827,Room4,2025-03-03T10:00:00
CA847,Room16,2025-03-03T10:00:00
CA870,Room17,2025-03-03T10:00:00
CA886,Room16,2025-03-11T14:00:00
CA968,Room15,2025-03-10T14:00:00
CA973,Room11,2025-03-06T14:00:00
CH152,Room15,2025-03-10T10:00:00
CH177,Room14,2025-03-13T10:00:00
CH272,Room16,2025-03-07T14:00:00
CH276,Room16,2025-03-04T14:00:00
CH302,Room13,2025-03-03T10:00:00
CH399,Room3,2025-03-14T14:00:00
CH460,Room2,2025-03-05T14:00:00
CH461,Room4,2025-03-18T10:00:00
CH508,Room18,2025-03-05T14:00:00
CH526,Room10,2025-03-03T10:00:00
CH537,Room5,2025-03-05T10:00:00
CH585,Room8,2025-03-14T10:00:00
CH589,Room8,2025-03-18T10:00:00
CH703,Room16,2025-03-06T10:00:00
CH720,Room12,2025-03-03T14:00:00
CH757,Room12,2025-03-04T10:00:00
CH798,Room11,2025-03-18T14:00:00
CH806,Room18,2025-03-03T10:00:00
CH901,Room18,2025-03-04T10:00:00
CH908,Room13,2025-03-18T10:00:00
CH950,Room13,2025-03-05T10:00:00
EN025,Room1,2025-03-18T14:00:00
EN116,Room5,2025-03-04T10:00:00
EN136,Room17,2025-03-05T10:00:00
EN258,Room15,2025-03-04T10:00:00
EN380,Room8,2025-03-04T10:00:00
EN404,Room9,2025-03-04T10:00:00
