courses,room,datetime
BI025,Room17,2025-03-06T14:00:00
BI167,Room17,2025-03-07T10:00:00
BI425,Room18,2025-03-17T10:00:00
BI547,Room17,2025-03-17T14:00:00
BI558,Room17,2025-03-12T14:00:00
BI661,Room15,2025-03-10T14:00:00
BI687,Room9,2025-03-11T10:00:00
BI868,Room3,2025-03-14T10:00:00
BI989,Room5,2025-03-13T10:00:00
CA206,Room18,2025-03-05T10:00:00
CA225,Room18,2025-03-10T10:00:00
CA229,Room16,2025-03-07T14:00:00
CA455,Room18,2025-03-03T10:00:00
CA499,Room11,2025-03-10T10:00:00
CA614,Room10,2025-03-03T10:00:00
CA821,Room14,2025-03-13T14:00:00
CA890,Room14,2025-03-04T10:00:00
CA930,Room3,2025-03-13T14:00:00
CH219,Room15,2025-03-11T10:00:00
CH500,Room11,2025-03-14T14:00:00
CH528,Room16,2025-03-05T14:00:00
CH570,Room14,2025-03-07T10:00:00
CH804,Room13,2025-03-17T10:00:00
CH850,Room14,2025-03-12T10:00:00
CH935,Room17,2025-03-10T14:00:00
CH965,Room3,2025-03-10T14:00:00
CH982,Room13,2025-03-05T10:00:00
EN016,Room13,2025-03-06T14:00:00
EN190,Room14,2025-03-07T10:00:00
EN203,Room13,2025-03-07T14:00:00
EN403,Room13,2025-03-06T10:00:00
EN570,Room12,2025-03-17T14:00:00
EN723,Room6,2025-03-14T10:00:00
EN757,Room14,2025-03-17T14:00:00
EN810,Room4,2025-03-07T10:00:00
EN981,Room15,2025-03-06T14:00:00
GO043,Room9,2025-03-11T14:00:00
GO256,Room17,2025-03-03T14:00:00
GO274,Room3,2025-03-17T14:00:00
GO352,Room6,2025-03-03T10:00:00
GO394,Room2,2025-03-07T14:00:00
GO631,Room16,2025-03-12T10:00:00
GO633,Room17,2025-03-05T14:00:00
GO652,Room10,2025-03-12T14:00:00
GO830,Room11,2025-03-17T14:00:00
HI039,Room16,2025-03-11T10:00:00
HI098,Room17,2025-03-07T14:00:00
HI212,Room1,2025-03-03T14:00:00
HI218,Room10,2025-03-03T10:00:00
HI512,Room13,2025-03-10T14:00:00
HI769,Room2,2025-03-14T10:00:00
HI807,Room4,2025-03-05T10:00:00
HI808,Room4,2025-03-10T10:00:00
HI836,Room12,2025-03-04T10:00:00
MA086,Room6,2025-03-13T14:00:00
MA258,Room7,2025-03-14T14:00:00
MA298,Room10,2025-03-05T14:00:00
MA407,Room16,2025-03-12T10:00:00
MA442,Room16,2025-03-17T10:00:00
MA498,Room2,2025-03-04T10:00:00
MA571,Room5,2025-03-17T14:00:00
MA602,Room15,2025-03-07T14:00:00
MA661,Room18,2025-03-17T10:00:00
PY026,Room10,2025-03-10T14:00:00
PY251,Room17,2025-03-13T14:00:00
PY276,Room12,2025-03-10T14:00:00
PY294,Room17,2025-03-11T10:00:00
PY295,Room10,2025-03-06T10:00:00
PY329,Room8,2025-03-10T10:00:00
PY713,Room16,2025-03-05T10:00:00
PY714,Room10,2025-03-12T10:00:00
PY875,Room8,2025-03-17T10:00:00
ST156,Room15,2025-03-12T10:00:00
ST220,Room16,2025-03-13T14:00:00
ST229,Room14,2025-03-05T14:00:00
ST424,Room10,2025-03-17T10:00:00
ST444,Room13,2025-03-07T10:00:00
ST503,Room12,2025-03-07T14:00:00
ST525,Room14,2025-03-03T14:00:00
ST959,Room10,2025-03-04T10:00:00
ST964,Room10,2025-03-13T14:00:00
