courses,room,datetime
BI010,Room5,2025-03-03T10:00:00
BI043,Room11,2025-03-10T10:00:00
BI068,Room11,2025-03-10T14:00:00
BI073,Room3,2025-03-05T14:00:00
BI086,Room6,2025-03-03T10:00:00
BI105,Room10,2025-03-05T14:00:00
BI122,Room3,2025-03-05T14:00:00
BI125,Room5,2025-03-10T10:00:00
BI129,Room11,2025-03-06T14:00:00
BI138,Room12,2025-03-11T10:00:00
BI139,Room6,2025-03-07T10:00:00
BI150,Room12,2025-03-05T14:00:00
BI189,Room6,2025-03-13T10:00:00
BI191,Room15,2025-03-11T10:00:00
BI218,Room5,2025-03-12T14:00:00
BI234,Room3,2025-03-05T14:00:00
BI263,Room4,2025-03-05T14:00:00
BI281,Room14,2025-03-13T10:00:00
BI295,Room7,2025-03-11T10:00:00
BI323,Room5,2025-03-12T14:00:00
BI324,Room1,2025-03-06T14:00:00
BI354,Room4,2025-03-05T14:00:00
BI361,Room5,2025-03-10T10:00:00
BI371,Room12,2025-03-11T10:00:00
BI377,Room12,2025-03-05T14:00:00
BI399,Room15,2025-03-07T10:00:00
BI416,Room9,2025-03-07T10:00:00
BI432,Room5,2025-03-03T14:00:00
BI449,Room2,2025-03-14T14:00:00
BI458,Room3,2025-03-04T14:00:00
BI462,Room14,2025-03-13T10:00:00
BI478,Room14,2025-03-10T10:00:00
BI500,Room8,2025-03-03T14:00:00
BI531,Room7,2025-03-12T14:00:00
BI536,Room5,2025-03-05T14:00:00
BI572,Room9,2025-03-12T14:00:00
BI589,Room1,2025-03-11T10:00:00
BI607,Room3,2025-03-13T10:00:00
BI644,Room14,2025-03-10T10:00:00
BI687,Room15,2025-03-07T14:00:00
BI696,Room6,2025-03-10T10:00:00
BI734,Room10,2025-03-11T10:00:00
BI736,Room14,2025-03-07T10:00:00
BI757,Room14,2025-03-14T14:00:00
BI762,Room14,2025-03-04T14:00:00
BI768,Room11,2025-03-13T10:00:00
BI884,Room3,2025-03-11T10:00:00
BI891,Room15,2025-03-14T14:00:00
BI901,Room9,2025-03-07T14:00:00
BI926,Room11,2025-03-05T14:00:00
BI941,Room11,2025-03-07T10:00:00
BI992,Room12,2025-03-10T10:00:00
CA017,Room5,2025-03-13T10:00:00
CA023,Room13,2025-03-11T10:00:00
CA052,Room14,2025-03-05T14:00:00
CA061,Room12,2025-03-11T10:00:00
CA123,Room15,2025-03-12T14:00:00
CA155,Room15,2025-03-13T10:00:00
CA156,Room9,2025-03-04T14:00:00
CA224,Room2,2025-03-05T14:00:00
CA233,Room14,2025-03-06T14:00:00
CA237,Room15,2025-03-05T14:00:00
CA272,Room12,2025-03-05T14:00:00
CA308,Room12,2025-03-11T10:00:00
CA357,Room3,2025-03-13T10:00:00
CA384,Room14,2025-03-11T10:00:00
CA405,Room10,2025-03-05T14:00:00
CA407,Room12,2025-03-11T10:00:00
CA416,Room11,2025-03-12T14:00:00
CA420,Room10,2025-03-05T14:00:00
CA422,Room5,2025-03-13T10:00:00
CA446,Room12,2025-03-12T14:00:00
CA449,Room9,2025-03-11T10:00:00
CA467,Room7,2025-03-13T10:00:00
CA468,Room13,2025-03-05T14:00:00
CA478,Room15,2025-03-11T10:00:00
CA512,Room13,2025-03-13T10:00:00
CA528,Room1,2025-03-11T10:00:00
CA560,Room13,2025-03-05T14:00:00
CA592,Room14,2025-03-05T14:00:00
CA593,Room8,2025-03-07T14:00:00
CA604,Room3,2025-03-12T14:00:00
CA626,Room1,2025-03-05T14:00:00
CA635,Room6,2025-03-03T10:00:00
CA636,Room10,2025-03-03T10:00:00
CA646,Room9,2025-03-05T10:00:00
CA660,Room11,2025-03-13T14:00:00
CA664,Room15,2025-03-14T10:00:00
CA705,Room4,2025-03-03T10:00:00
CA713,Room6,2025-03-06T10:00:00
CA799,Room7,2025-03-10T10:00:00
CA809,Room14,2025-03-12T10:00:00
CA826,Room1,2025-03-11T14:00:00
CA840,Room15,2025-03-07T14:00:00
CA869,Room2,2025-03-05T14:00:00
CA894,Room8,2025-03-14T10:00:00
CA905,Room2,2025-03-05T10:00:00
CA906,Room8,2025-03-03T10:00:00
CA913,Room5,2025-03-10T10:00:00
CA926,Room6,2025-03-10T14:00:00
CA935,Room13,2025-03-14T14:00:00
CA991,Room15,2025-03-12T14:00:00
CH014,Room15,2025-03-12T10:00:00
