courses,room,datetime
BI015,Room19,2025-03-03T10:00:00
BI020,Room13,2025-03-12T10:00:00
BI050,Room17,2025-03-04T10:00:00
BI060,Room19,2025-03-10T10:00:00
BI104,Room11,2025-03-06T14:00:00
BI113,Room1,2025-03-11T14:00:00
BI125,Room8,2025-03-17T10:00:00
BI143,Room12,2025-03-12T14:00:00
BI148,Room18,2025-03-14T14:00:00
BI151,Room14,2025-03-17T10:00:00
BI157,Room18,2025-03-03T10:00:00
BI196,Room13,2025-03-14T14:00:00
BI201,Room17,2025-03-07T10:00:00
BI208,Room5,2025-03-17T10:00:00
BI215,Room15,2025-03-11T14:00:00
BI242,Room12,2025-03-12T14:00:00
BI269,Room19,2025-03-11T14:00:00
BI278,Room16,2025-03-06T14:00:00
BI279,Room8,2025-03-10T10:00:00
BI284,Room18,2025-03-14T14:00:00
BI334,Room17,2025-03-06T14:00:00
BI426,Room3,2025-03-17T14:00:00
BI442,Room17,2025-03-13T10:00:00
BI469,Room12,2025-03-17T10:00:00
BI480,Room13,2025-03-03T14:00:00
BI501,Room19,2025-03-03T14:00:00
BI521,Room14,2025-03-10T10:00:00
BI547,Room19,2025-03-17T10:00:00
BI615,Room16,2025-03-11T14:00:00
BI718,Room19,2025-03-07T10:00:00
BI747,Room19,2025-03-14T10:00:00
BI781,Room15,2025-03-06T14:00:00
BI808,Room15,2025-03-04T10:00:00
BI817,Room18,2025-03-14T14:00:00
BI824,Room14,2025-03-03T14:00:00
BI853,Room15,2025-03-07T14:00:00
BI868,Room12,2025-03-06T10:00:00
BI890,Room14,2025-03-12T14:00:00
BI896,Room19,2025-03-12T10:00:00
BI930,Room19,2025-03-06T10:00:00
BI939,Room17,2025-03-17T14:00:00
BI973,Room16,2025-03-14T14:00:00
BI995,Room6,2025-03-17T10:00:00
CA030,Room16,2025-03-05T10:00:00
CA069,Room17,2025-03-17T10:00:00
CA088,Room8,2025-03-07T10:00:00
CA144,Room10,2025-03-12T14:00:00
CA218,Room13,2025-03-03T10:00:00
CA248,Room17,2025-03-13T14:00:00
CA311,Room10,2025-03-11T14:00:00
CA324,Room1,2025-03-03T10:00:00
CA366,Room5,2025-03-17T10:00:00
CA367,Room16,2025-03-11T14:00:00
CA373,Room12,2025-03-04T14:00:00
CA377,Room8,2025-03-03T10:00:00
CA383,Room10,2025-03-03T10:00:00
CA391,Room1,2025-03-11T14:00:00
CA405,Room16,2025-03-06T14:00:00
CA417,Room14,2025-03-06T10:00:00
CA459,Room13,2025-03-04T10:00:00
CA468,Room5,2025-03-17T10:00:00
CA471,Room14,2025-03-11T14:00:00
CA485,Room15,2025-03-17T14:00:00
CA495,Room3,2025-03-17T10:00:00
CA533,Room1,2025-03-07T10:00:00
CA573,Room7,2025-03-03T10:00:00
CA590,Room4,2025-03-14T14:00:00
CA599,Room9,2025-03-12T14:00:00
CA608,Room1,2025-03-11T14:00:00
CA624,Room3,2025-03-11T14:00:00
CA678,Room10,2025-03-06T10:00:00
CA686,Room15,2025-03-17T10:00:00
CA700,Room16,2025-03-07T14:00:00
CA708,Room8,2025-03-06T10:00:00
CA761,Room17,2025-03-04T14:00:00
CA790,Room11,2025-03-14T14:00:00
CA809,Room5,2025-03-14T14:00:00
CA820,Room14,2025-03-10T10:00:00
CA846,Room1,2025-03-10T10:00:00
CA859,Room19,2025-03-07T10:00:00
CA907,Room5,2025-03-11T14:00:00
CA914,Room15,2025-03-11T14:00:00
CA917,Room10,2025-03-06T14:00:00
CA965,Room16,2025-03-04T10:00:00
CA968,Room8,2025-03-12T14:00:00
CH061,Room10,2025-03-12T14:00:00
CH065,Room13,2025-03-11T14:00:00
CH066,Room7,2025-03-06T14:00:00
CH080,Room11,2025-03-03T14:00:00
CH082,Room3,2025-03-03T10:00:00
CH085,Room8,2025-03-07T10:00:00
CH103,Room2,2025-03-17T10:00:00
CH123,Room14,2025-03-11T14:00:00
CH163,Room5,2025-03-17T14:00:00
CH174,Room13,2025-03-06T14:00:00
CH182,Room9,2025-03-13T14:00:00
CH300,Room16,2025-03-11T14:00:00
CH314,Room1,2025-03-03T10:00:00
CH318,Room8,2025-03-14T14:00:00
CH357,Room9,2025-03-17T10:00:00
CH369,Room3,2025-03-14T14:00:00
CH401,Room3,2025-03-13T14:00:00
CH408,Room1,2025-03-03T10:00:00
CH454,Room15,2025-03-04T10:00:00
CH462,Room16,2025-03-10T10:00:00
CH486,Room14,2025-03-07T10:00:00
CH514,Room5,2025-03-07T10:00:00
CH515,Room2,2025-03-11T14:00:00
CH522,Room13,2025-03-03T10:00:00
CH550,Room3,2025-03-13T14:00:00
CH554,Room17,2025-03-11T14:00:00
CH579,Room1,2025-03-06T14:00:00
CH590,Room19,2025-03-11T14:00:00
CH618,Room15,2025-03-17T10:00:00
CH630,Room10,2025-03-12T14:00:00
CH682,Room13,2025-03-17T10:00:00
CH695,Room19,2025-03-12T14:00:00
CH703,Room19,2025-03-17T14:00:00
CH757,Room13,2025-03-14T14:00:00
CH775,Room10,2025-03-14T14:00:00
CH780,Room15,2025-03-03T10:00:00
CH801,Room14,2025-03-14T14:00:00
CH840,Room11,2025-03-07T10:00:00
CH873,Room5,2025-03-11T14:00:00
CH880,Room17,2025-03-11T14:00:00
CH939,Room11,2025-03-04T14:00:00
CH974,Room14,2025-03-03T10:00:00
CH991,Room8,2025-03-06T14:00:00
EN034,Room16,2025-03-12T14:00:00
EN075,Room14,2025-03-11T14:00:00
EN138,Room4,2025-03-03T10:00:00
EN143,Room13,2025-03-14T14:00:00
EN154,Room17,2025-03-10T10:00:00
EN171,Room12,2025-03-05T10:00:00
EN177,Room10,2025-03-14T10:00:00
EN223,Room10,2025-03-10T10:00:00
EN274,Room3,2025-03-11T14:00:00
EN289,Room2,2025-03-14T14:00:00
EN294,Room10,2025-03-11T14:00:00
EN326,Room11,2025-03-03T10:00:00
EN331,Room17,2025-03-11T14:00:00
EN354,Room15,2025-03-07T10:00:00
EN362,Room12,2025-03-10T10:00:00
EN431,Room4,2025-03-11T14:00:00
EN461,Room8,2025-03-14T14:00:00
EN502,Room2,2025-03-03T10:00:00
EN516,Room15,2025-03-07T14:00:00
EN534,Room1,2025-03-11T14:00:00
EN559,Room18,2025-03-06T14:00:00
EN571,Room4,2025-03-07T10:00:00
EN578,Room13,2025-03-10T10:00:00
EN603,Room9,2025-03-17T10:00:00
EN606,Room4,2025-03-11T14:00:00
EN612,Room2,2025-03-07T10:00:00
EN652,Room3,2025-03-06T14:00:00
EN653,Room5,2025-03-11T14:00:00
EN674,Room19,2025-03-11T14:00:00
EN701,Room3,2025-03-11T14:00:00
EN725,Room15,2025-03-03T10:00:00
EN728,Room4,2025-03-07T10:00:00
EN803,Room2,2025-03-17T10:00:00
EN812,Room13,2025-03-11T14:00:00
EN821,Room13,2025-03-12T14:00:00
EN828,Room8,2025-03-03T10:00:00
EN858,Room10,2025-03-11T14:00:00
EN867,Room8,2025-03-17T10:00:00
EN906,Room10,2025-03-11T14:00:00
EN926,Room16,2025-03-11T14:00:00
GO030,Room3,2025-03-03T10:00:00
GO062,Room13,2025-03-17T10:00:00
GO075,Room7,2025-03-07T10:00:00
GO113,Room13,2025-03-03T10:00:00
GO129,Room17,2025-03-03T10:00:00
GO154,Room4,2025-03-11T14:00:00
GO225,Room3,2025-03-03T10:00:00
GO258,Room7,2025-03-03T10:00:00
GO294,Room3,2025-03-03T10:00:00
GO368,Room1,2025-03-11T14:00:00
GO377,Room7,2025-03-11T14:00:00
GO382,Room7,2025-03-17T10:00:00
GO417,Room9,2025-03-14T14:00:00
GO420,Room18,2025-03-06T14:00:00
GO492,Room17,2025-03-17T10:00:00
GO523,Room3,2025-03-03T10:00:00
GO524,Room16,2025-03-12T14:00:00
GO525,Room5,2025-03-11T14:00:00
GO548,Room18,2025-03-03T10:00:00
GO565,Room14,2025-03-11T14:00:00
GO569,Room16,2025-03-03T10:00:00
GO585,Room2,2025-03-11T14:00:00
GO601,Room13,2025-03-07T10:00:00
GO611,Room13,2025-03-03T10:00:00
GO650,Room3,2025-03-17T10:00:00
GO655,Room7,2025-03-03T10:00:00
GO673,Room16,2025-03-03T10:00:00
GO677,Room18,2025-03-06T10:00:00
GO690,Room10,2025-03-06T14:00:00
GO722,Room12,2025-03-14T10:00:00
GO747,Room13,2025-03-17T14:00:00
GO760,Room10,2025-03-17T10:00:00
GO774,Room12,2025-03-13T14:00:00
GO780,Room19,2025-03-05T10:00:00
GO819,Room12,2025-03-03T10:00:00
GO858,Room12,2025-03-06T10:00:00
GO926,Room19,2025-03-03T10:00:00
GO953,Room17,2025-03-06T10:00:00
GO973,Room15,2025-03-14T14:00:00
GO995,Room4,2025-03-17T10:00:00
GO996,Room3,2025-03-03T10:00:00
GO998,Room12,2025-03-06T14:00:00
HI019,Room1,2025-03-17T10:00:00
HI034,Room5,2025-03-07T10:00:00
HI062,Room3,2025-03-03T10:00:00
HI077,Room18,2025-03-17T10:00:00
HI107,Room19,2025-03-14T14:00:00
HI161,Room1,2025-03-03T10:00:00
HI176,Room14,2025-03-03T10:00:00
HI186,Room15,2025-03-03T10:00:00
HI208,Room14,2025-03-11T14:00:00
HI234,Room17,2025-03-03T10:00:00
HI266,Room19,2025-03-11T14:00:00
HI299,Room15,2025-03-04T14:00:00
HI369,Room16,2025-03-10T10:00:00
HI391,Room13,2025-03-14T10:00:00
HI410,Room13,2025-03-12T14:00:00
HI416,Room16,2025-03-03T10:00:00
HI421,Room14,2025-03-11T14:00:00
HI470,Room9,2025-03-11T14:00:00
HI481,Room16,2025-03-13T14:00:00
HI535,Room13,2025-03-14T14:00:00
HI595,Room17,2025-03-17T10:00:00
HI606,Room17,2025-03-07T10:00:00
HI659,Room19,2025-03-14T14:00:00
HI685,Room19,2025-03-11T14:00:00
HI706,Room19,2025-03-14T14:00:00
HI720,Room13,2025-03-04T14:00:00
HI730,Room10,2025-03-17T14:00:00
HI737,Room11,2025-03-17T14:00:00
HI781,Room19,2025-03-10T10:00:00
HI789,Room7,2025-03-06T10:00:00
HI822,Room16,2025-03-14T14:00:00
HI826,Room7,2025-03-03T10:00:00
HI848,Room9,2025-03-06T14:00:00
HI851,Room7,2025-03-04T14:00:00
HI857,Room3,2025-03-11T14:00:00
HI868,Room4,2025-03-10T10:00:00
HI882,Room4,2025-03-17T10:00:00
HI887,Room16,2025-03-17T14:00:00
HI888,Room15,2025-03-13T14:00:00
HI915,Room10,2025-03-14T14:00:00
HI927,Room19,2025-03-10T10:00:00
HI947,Room12,2025-03-06T14:00:00
HI953,Room3,2025-03-13T14:00:00
MA022,Room5,2025-03-04T14:00:00
MA043,Room13,2025-03-11T14:00:00
MA051,Room19,2025-03-11T14:00:00
MA096,Room12,2025-03-10T10:00:00
MA189,Room1,2025-03-03T10:00:00
MA195,Room9,2025-03-11T14:00:00
MA199,Room2,2025-03-11T14:00:00
MA211,Room15,2025-03-03T10:00:00
MA220,Room7,2025-03-11T14:00:00
MA265,Room19,2025-03-11T14:00:00
MA286,Room2,2025-03-11T14:00:00
MA345,Room15,2025-03-11T14:00:00
MA346,Room13,2025-03-12T14:00:00
MA359,Room14,2025-03-11T14:00:00
MA375,Room18,2025-03-04T14:00:00
MA388,Room19,2025-03-04T14:00:00
MA405,Room6,2025-03-10T10:00:00
MA406,Room17,2025-03-03T10:00:00
MA450,Room14,2025-03-03T10:00:00
MA567,Room16,2025-03-06T14:00:00
MA595,Room7,2025-03-17T10:00:00
MA605,Room17,2025-03-17T10:00:00
MA607,Room3,2025-03-07T10:00:00
MA624,Room10,2025-03-11T14:00:00
MA679,Room15,2025-03-10T10:00:00
MA690,Room14,2025-03-14T14:00:00
MA694,Room1,2025-03-03T10:00:00
MA698,Room15,2025-03-11T14:00:00
MA730,Room14,2025-03-06T14:00:00
MA751,Room16,2025-03-06T10:00:00
MA754,Room12,2025-03-14T14:00:00
MA763,Room3,2025-03-04T14:00:00
MA773,Room14,2025-03-14T14:00:00
MA782,Room9,2025-03-07T10:00:00
MA783,Room17,2025-03-11T14:00:00
MA801,Room15,2025-03-11T14:00:00
MA809,Room11,2025-03-07T10:00:00
MA813,Room17,2025-03-17T10:00:00
MA829,Room18,2025-03-17T10:00:00
MA873,Room3,2025-03-12T14:00:00
MA885,Room13,2025-03-14T14:00:00
MA893,Room11,2025-03-11T14:00:00
MA932,Room12,2025-03-03T10:00:00
PY016,Room11,2025-03-14T14:00:00
PY021,Room19,2025-03-07T10:00:00
PY025,Room7,2025-03-06T14:00:00
PY055,Room2,2025-03-12T14:00:00
PY066,Room14,2025-03-06T14:00:00
PY101,Room16,2025-03-17T10:00:00
PY113,Room16,2025-03-06T14:00:00
PY164,Room5,2025-03-04T14:00:00
PY173,Room9,2025-03-17T10:00:00
PY184,Room17,2025-03-07T10:00:00
PY237,Room14,2025-03-17T10:00:00
PY238,Room15,2025-03-07T10:00:00
PY291,Room6,2025-03-03T10:00:00
PY333,Room19,2025-03-14T14:00:00
PY337,Room4,2025-03-07T10:00:00
PY367,Room18,2025-03-12T14:00:00
PY391,Room12,2025-03-17T10:00:00
PY403,Room12,2025-03-07T10:00:00
PY409,Room12,2025-03-11T14:00:00
PY442,Room3,2025-03-11T14:00:00
PY456,Room18,2025-03-03T10:00:00
PY458,Room12,2025-03-03T10:00:00
PY459,Room8,2025-03-06T14:00:00
PY469,Room16,2025-03-06T10:00:00
PY508,Room15,2025-03-03T10:00:00
PY531,Room7,2025-03-11T14:00:00
PY551,Room13,2025-03-06T14:00:00
PY572,Room16,2025-03-11T14:00:00
PY602,Room19,2025-03-14T14:00:00
PY619,Room7,2025-03-06T14:00:00
PY662,Room1,2025-03-14T14:00:00
PY734,Room7,2025-03-07T10:00:00
PY752,Room4,2025-03-12T14:00:00
PY756,Room4,2025-03-10T10:00:00
PY795,Room18,2025-03-11T14:00:00
PY872,Room12,2025-03-03T10:00:00
PY881,Room14,2025-03-17T10:00:00
PY936,Room16,2025-03-10T10:00:00
PY956,Room18,2025-03-04T10:00:00
PY959,Room19,2025-03-17T14:00:00
PY974,Room15,2025-03-17T10:00:00
PY984,Room15,2025-03-12T14:00:00
PY995,Room14,2025-03-17T10:00:00
ST046,Room14,2025-03-14T14:00:00
ST055,Room11,2025-03-14T10:00:00
ST057,Room3,2025-03-17T10:00:00
ST067,Room17,2025-03-11T14:00:00
ST070,Room17,2025-03-13T14:00:00
ST071,Room9,2025-03-03T10:00:00
ST082,Room4,2025-03-10T10:00:00
ST091,Room10,2025-03-11T14:00:00
ST115,Room14,2025-03-05T10:00:00
ST124,Room12,2025-03-13T14:00:00
ST155,Room17,2025-03-12T14:00:00
ST159,Room18,2025-03-14T14:00:00
ST234,Room13,2025-03-04T14:00:00
ST283,Room17,2025-03-10T10:00:00
ST291,Room8,2025-03-11T14:00:00
ST343,Room17,2025-03-07T10:00:00
ST369,Room12,2025-03-17T10:00:00
ST376,Room1,2025-03-03T10:00:00
ST432,Room6,2025-03-14T14:00:00
ST468,Room16,2025-03-06T14:00:00
ST494,Room17,2025-03-11T14:00:00
ST508,Room12,2025-03-13T10:00:00
ST543,Room13,2025-03-07T14:00:00
ST566,Room14,2025-03-03T10:00:00
ST571,Room11,2025-03-17T10:00:00
ST580,Room18,2025-03-13T14:00:00
ST638,Room19,2025-03-13T14:00:00
ST682,Room5,2025-03-10T10:00:00
ST738,Room10,2025-03-04T14:00:00
ST746,Room14,2025-03-14T14:00:00
ST754,Room16,2025-03-07T10:00:00
ST775,Room15,2025-03-11T14:00:00
ST778,Room7,2025-03-06T14:00:00
ST785,Room10,2025-03-14T10:00:00
ST843,Room15,2025-03-10T10:00:00
ST881,Room19,2025-03-06T14:00:00
ST919,Room12,2025-03-03T10:00:00
ST941,Room16,2025-03-13T14:00:00
ST949,Room3,2025-03-07T10:00:00
ST981,Room12,2025-03-06T14:00:00
ST990,Room15,2025-03-06T14:00:00
ST996,Room18,2025-03-11T14:00:00
