courses,room,datetime
BI002,Room25,2025-03-17T14:00:00
BI025,Room20,2025-03-17T14:00:00
BI057,Room20,2025-03-07T10:00:00
BI077,Room22,2025-03-17T14:00:00
BI080,Room20,2025-03-20T10:00:00
BI096,Room8,2025-03-07T10:00:00
BI103,Room18,2025-03-13T10:00:00
BI145,Room24,2025-03-19T14:00:00
BI148,Room15,2025-03-07T10:00:00
BI150,Room19,2025-03-17T14:00:00
BI152,Room13,2025-03-11T10:00:00
BI172,Room11,2025-03-07T14:00:00
BI184,Room24,2025-03-13T14:00:00
BI190,Room22,2025-03-19T10:00:00
BI253,Room14,2025-03-18T14:00:00
BI266,Room24,2025-03-04T10:00:00
BI320,Room24,2025-03-10T14:00:00
BI321,Room8,2025-03-05T10:00:00
BI326,Room8,2025-03-13T14:00:00
BI334,Room8,2025-03-20T14:00:00
BI451,Room8,2025-03-19T10:00:00
BI480,Room11,2025-03-11T14:00:00
BI483,Room21,2025-03-05T14:00:00
BI484,Room21,2025-03-03T14:00:00
BI498,Room19,2025-03-17T10:00:00
BI506,Room13,2025-03-07T14:00:00
BI534,Room6,2025-03-11T14:00:00
BI536,Room23,2025-03-03T10:00:00
BI541,Room7,2025-03-20T14:00:00
BI543,Room10,2025-03-03T10:00:00
BI555,Room16,2025-03-17T10:00:00
BI558,Room17,2025-03-17T14:00:00
BI586,Room12,2025-03-04T10:00:00
BI614,Room1,2025-03-04T10:00:00
BI617,Room7,2025-03-13T14:00:00
BI653,Room6,2025-03-19T10:00:00
BI672,Room16,2025-03-19T10:00:00
BI676,Room21,2025-03-03T10:00:00
BI716,Room23,2025-03-11T10:00:00
BI718,Room17,2025-03-17T14:00:00
BI721,Room11,2025-03-03T14:00:00
BI730,Room14,2025-03-17T10:00:00
BI731,Room25,2025-03-05T14:00:00
BI745,Room18,2025-03-03T14:00:00
BI778,Room19,2025-03-10T14:00:00
BI787,Room15,2025-03-19T14:00:00
BI793,Room15,2025-03-04T10:00:00
BI802,Room13,2025-03-12T10:00:00
BI832,Room2,2025-03-19T10:00:00
BI887,Room24,2025-03-12T10:00:00
BI931,Room23,2025-03-03T14:00:00
BI976,Room24,2025-03-17T14:00:00
BI990,Room10,2025-03-19T10:00:00
BI999,Room22,2025-03-05T14:00:00
CA009,Room8,2025-03-03T14:00:00
CA021,Room23,2025-03-17T14:00:00
CA046,Room13,2025-03-05T10:00:00
CA056,Room20,2025-03-20T14:00:00
CA102,Room12,2025-03-10T10:00:00
CA119,Room22,2025-03-03T14:00:00
CA124,Room6,2025-03-18T14:00:00
CA142,Room18,2025-03-07T14:00:00
CA166,Room21,2025-03-20T14:00:00
CA186,Room23,2025-03-03T10:00:00
CA198,Room23,2025-03-19T14:00:00
CA203,Room17,2025-03-11T14:00:00
CA215,Room2,2025-03-17T10:00:00
CA233,Room16,2025-03-04T10:00:00
CA286,Room6,2025-03-03T14:00:00
CA302,Room7,2025-03-04T10:00:00
CA360,Room14,2025-03-13T14:00:00
CA370,Room12,2025-03-07T14:00:00
CA400,Room13,2025-03-11T10:00:00
CA418,Room20,2025-03-04T10:00:00
CA444,Room12,2025-03-17T14:00:00
CA490,Room17,2025-03-12T10:00:00
CA505,Room22,2025-03-19T10:00:00
CA530,Room19,2025-03-11T14:00:00
CA537,Room13,2025-03-07T14:00:00
CA548,Room20,2025-03-03T10:00:00
CA550,Room22,2025-03-20T14:00:00
CA561,Room24,2025-03-20T14:00:00
CA595,Room17,2025-03-03T10:00:00
CA600,Room17,2025-03-05T14:00:00
CA618,Room20,2025-03-13T14:00:00
CA666,Room12,2025-03-18T14:00:00
CA689,Room13,2025-03-11T14:00:00
CA694,Room3,2025-03-14T14:00:00
CA722,Room10,2025-03-07T14:00:00
CA736,Room24,2025-03-17T14:00:00
CA741,Room11,2025-03-11T14:00:00
CA743,Room19,2025-03-13T14:00:00
CA771,Room21,2025-03-18T14:00:00
CA820,Room19,2025-03-05T14:00:00
CA842,Room1,2025-03-03T10:00:00
CA843,Room12,2025-03-10T14:00:00
CA845,Room24,2025-03-03T14:00:00
CA846,Room9,2025-03-20T14:00:00
CA867,Room17,2025-03-11T14:00:00
CA868,Room20,2025-03-05T14:00:00
CA893,Room22,2025-03-13T14:00:00
CA897,Room4,2025-03-17T14:00:00
CA901,Room7,2025-03-18T14:00:00
CA905,Room15,2025-03-05T10:00:00
CA923,Room22,2025-03-17T14:00:00
CA942,Room16,2025-03-19T10:00:00
CA980,Room23,2025-03-14T14:00:00
CA986,Room11,2025-03-14T14:00:00
CA988,Room14,2025-03-14T14:00:00
CH000,Room23,2025-03-10T10:00:00
CH070,Room20,2025-03-03T10:00:00
CH101,Room19,2025-03-11T10:00:00
CH123,Room14,2025-03-03T14:00:00
CH162,Room24,2025-03-04T10:00:00
CH169,Room15,2025-03-11T14:00:00
CH179,Room23,2025-03-11T10:00:00
CH197,Room21,2025-03-17T10:00:00
CH204,Room22,2025-03-05T14:00:00
CH222,Room11,2025-03-19T10:00:00
CH234,Room11,2025-03-10T14:00:00
CH240,Room14,2025-03-03T14:00:00
CH260,Room13,2025-03-20T14:00:00
CH274,Room19,2025-03-03T10:00:00
CH282,Room12,2025-03-04T10:00:00
CH303,Room25,2025-03-10T14:00:00
CH336,Room19,2025-03-05T14:00:00
CH355,Room20,2025-03-03T10:00:00
CH357,Room18,2025-03-12T10:00:00
CH371,Room15,2025-03-18T14:00:00
CH375,Room25,2025-03-11T10:00:00
CH424,Room22,2025-03-13T14:00:00
CH469,Room22,2025-03-05T10:00:00
CH471,Room14,2025-03-14T14:00:00
CH507,Room10,2025-03-03T14:00:00
CH539,Room21,2025-03-18T14:00:00
CH563,Room19,2025-03-05T10:00:00
CH580,Room24,2025-03-03T14:00:00
CH588,Room7,2025-03-11T10:00:00
CH595,Room12,2025-03-12T10:00:00
CH596,Room21,2025-03-17T14:00:00
CH625,Room20,2025-03-11T14:00:00
CH662,Room21,2025-03-05T10:00:00
CH667,Room22,2025-03-12T10:00:00
CH673,Room15,2025-03-07T14:00:00
CH723,Room14,2025-03-13T14:00:00
CH739,Room25,2025-03-05T14:00:00
CH760,Room8,2025-03-12T10:00:00
CH778,Room20,2025-03-10T14:00:00
CH797,Room21,2025-03-17T14:00:00
CH803,Room18,2025-03-11T14:00:00
CH816,Room20,2025-03-05T10:00:00
CH817,Room17,2025-03-03T10:00:00
CH826,Room21,2025-03-07T14:00:00
CH845,Room23,2025-03-14T14:00:00
CH880,Room6,2025-03-07T14:00:00
CH914,Room4,2025-03-07T14:00:00
CH943,Room25,2025-03-13T14:00:00
CH950,Room15,2025-03-12T10:00:00
CH968,Room18,2025-03-20T14:00:00
CH970,Room18,2025-03-03T10:00:00
CH991,Room2,2025-03-10T10:00:00
CH992,Room15,2025-03-03T10:00:00
EN006,Room24,2025-03-18T10:00:00
EN007,Room18,2025-03-14T14:00:00
EN013,Room14,2025-03-11T14:00:00
EN049,Room18,2025-03-14T14:00:00
EN069,Room4,2025-03-10T10:00:00
EN078,Room22,2025-03-11T14:00:00
EN083,Room1,2025-03-07T14:00:00
EN088,Room22,2025-03-10T14:00:00
EN153,Room25,2025-03-19T10:00:00
EN154,Room13,2025-03-10T14:00:00
EN161,Room24,2025-03-13T14:00:00
EN163,Room6,2025-03-12T10:00:00
EN166,Room10,2025-03-20T14:00:00
EN184,Room25,2025-03-11T10:00:00
EN240,Room8,2025-03-17T14:00:00
EN275,Room21,2025-03-13T14:00:00
EN324,Room18,2025-03-14T14:00:00
EN356,Room4,2025-03-11T10:00:00
EN380,Room20,2025-03-07T14:00:00
EN396,Room21,2025-03-05T10:00:00
EN403,Room24,2025-03-17T14:00:00
EN455,Room15,2025-03-17T14:00:00
EN466,Room20,2025-03-05T14:00:00
EN469,Room17,2025-03-03T14:00:00
EN477,Room19,2025-03-18T14:00:00
EN484,Room20,2025-03-17T14:00:00
EN504,Room25,2025-03-05T10:00:00
EN507,Room16,2025-03-05T14:00:00
EN515,Room24,2025-03-19T10:00:00
EN548,Room20,2025-03-13T14:00:00
EN553,Room20,2025-03-12T10:00:00
EN582,Room19,2025-03-19T10:00:00
EN653,Room20,2025-03-19T10:00:00
EN674,Room1,2025-03-19T10:00:00
EN692,Room25,2025-03-03T14:00:00
EN703,Room18,2025-03-11T14:00:00
EN729,Room15,2025-03-20T14:00:00
EN741,Room5,2025-03-20T14:00:00
EN747,Room7,2025-03-07T14:00:00
EN755,Room5,2025-03-17T14:00:00
EN791,Room22,2025-03-06T10:00:00
EN807,Room20,2025-03-05T10:00:00
EN852,Room25,2025-03-11T14:00:00
EN859,Room19,2025-03-20T14:00:00
EN860,Room18,2025-03-17T14:00:00
EN891,Room24,2025-03-05T10:00:00
EN897,Room24,2025-03-18T14:00:00
EN901,Room18,2025-03-13T14:00:00
EN938,Room10,2025-03-03T10:00:00
EN979,Room12,2025-03-20T14:00:00
EN995,Room9,2025-03-17T10:00:00
EN996,Room25,2025-03-03T14:00:00
GO015,Room21,2025-03-13T14:00:00
GO020,Room20,2025-03-12T10:00:00
GO021,Room10,2025-03-05T10:00:00
GO023,Room14,2025-03-17T14:00:00
GO070,Room10,2025-03-19T10:00:00
GO073,Room23,2025-03-03T10:00:00
GO079,Room5,2025-03-12T10:00:00
GO126,Room13,2025-03-07T14:00:00
GO157,Room22,2025-03-20T14:00:00
GO160,Room12,2025-03-03T14:00:00
GO161,Room15,2025-03-03T10:00:00
GO177,Room18,2025-03-05T10:00:00
GO181,Room22,2025-03-20T14:00:00
GO246,Room22,2025-03-10T10:00:00
GO275,Room11,2025-03-14T14:00:00
GO289,Room11,2025-03-14T14:00:00
GO295,Room10,2025-03-07T14:00:00
GO297,Room19,2025-03-14T14:00:00
GO303,Room17,2025-03-11T14:00:00
GO305,Room19,2025-03-10T10:00:00
GO308,Room24,2025-03-03T10:00:00
GO309,Room14,2025-03-10T10:00:00
GO334,Room18,2025-03-19T10:00:00
GO398,Room20,2025-03-14T14:00:00
GO413,Room10,2025-03-20T14:00:00
GO416,Room15,2025-03-05T14:00:00
GO453,Room4,2025-03-03T14:00:00
GO471,Room25,2025-03-10T10:00:00
GO476,Room24,2025-03-11T14:00:00
GO510,Room25,2025-03-20T14:00:00
GO541,Room19,2025-03-11T14:00:00
GO582,Room22,2025-03-10T10:00:00
GO585,Room7,2025-03-17T14:00:00
GO586,Room17,2025-03-12T10:00:00
GO598,Room12,2025-03-19T10:00:00
GO604,Room17,2025-03-05T10:00:00
GO605,Room11,2025-03-17T14:00:00
GO678,Room14,2025-03-19T10:00:00
GO707,Room3,2025-03-05T14:00:00
GO711,Room12,2025-03-13T14:00:00
GO751,Room21,2025-03-11T10:00:00
GO809,Room22,2025-03-10T14:00:00
GO810,Room15,2025-03-05T14:00:00
GO867,Room23,2025-03-13T14:00:00
GO872,Room1,2025-03-18T14:00:00
GO899,Room5,2025-03-10T10:00:00
GO915,Room7,2025-03-05T14:00:00
GO939,Room11,2025-03-05T10:00:00
GO951,Room8,2025-03-03T10:00:00
GO956,Room25,2025-03-19T10:00:00
GO962,Room21,2025-03-03T14:00:00
GO967,Room18,2025-03-07T14:00:00
GO975,Room23,2025-03-17T14:00:00
GO986,Room11,2025-03-13T14:00:00
HI021,Room18,2025-03-05T14:00:00
HI022,Room13,2025-03-07T14:00:00
HI052,Room23,2025-03-03T14:00:00
HI062,Room10,2025-03-03T10:00:00
HI072,Room25,2025-03-05T10:00:00
HI085,Room19,2025-03-03T10:00:00
HI115,Room11,2025-03-20T14:00:00
HI120,Room3,2025-03-13T14:00:00
HI177,Room22,2025-03-11T10:00:00
HI207,Room17,2025-03-03T14:00:00
HI213,Room14,2025-03-18T14:00:00
HI255,Room21,2025-03-19T10:00:00
HI271,Room22,2025-03-14T14:00:00
HI272,Room20,2025-03-03T10:00:00
HI281,Room23,2025-03-14T14:00:00
HI327,Room10,2025-03-06T14:00:00
HI363,Room16,2025-03-07T14:00:00
HI365,Room23,2025-03-07T14:00:00
HI371,Room16,2025-03-10T10:00:00
HI381,Room17,2025-03-10T10:00:00
HI382,Room11,2025-03-03T10:00:00
HI424,Room11,2025-03-14T14:00:00
HI437,Room11,2025-03-05T14:00:00
HI440,Room19,2025-03-07T14:00:00
HI462,Room22,2025-03-11T14:00:00
HI468,Room18,2025-03-04T10:00:00
HI472,Room2,2025-03-11T10:00:00
HI520,Room5,2025-03-17T14:00:00
HI557,Room1,2025-03-19T10:00:00
HI573,Room25,2025-03-03T14:00:00
HI585,Room6,2025-03-20T14:00:00
HI612,Room23,2025-03-12T10:00:00
HI631,Room14,2025-03-11T14:00:00
HI633,Room10,2025-03-17T14:00:00
HI635,Room10,2025-03-10T14:00:00
HI666,Room19,2025-03-14T14:00:00
HI684,Room24,2025-03-17T14:00:00
HI692,Room21,2025-03-13T14:00:00
HI716,Room3,2025-03-03T10:00:00
