courses,room,datetime
BI050,Room1,2025-03-07T14:00:00
BI128,Room7,2025-03-07T14:00:00
BI309,Room10,2025-03-04T14:00:00
BI340,Room9,2025-03-07T14:00:00
BI368,Room9,2025-03-06T14:00:00
BI423,Room10,2025-03-11T10:00:00
BI476,Room8,2025-03-11T10:00:00
BI501,Room3,2025-03-11T10:00:00
BI605,Room1,2025-03-05T14:00:00
BI632,Room8,2025-03-05T14:00:00
BI642,Room7,2025-03-05T14:00:00
BI822,Room9,2025-03-05T14:00:00
BI875,Room7,2025-03-11T14:00:00
BI948,Room5,2025-03-05T14:00:00
BI955,Room7,2025-03-05T14:00:00
BI985,Room6,2025-03-05T14:00:00
CA185,Room2,2025-03-11T14:00:00
CA196,Room1,2025-03-10T10:00:00
CA249,Room10,2025-03-10T10:00:00
CA395,Room1,2025-03-03T14:00:00
CA396,Room3,2025-03-10T10:00:00
CA545,Room4,2025-03-10T10:00:00
CA635,Room2,2025-03-03T14:00:00
CA739,Room9,2025-03-10T14:00:00
CA756,Room10,2025-03-11T10:00:00
CA768,Room6,2025-03-10T10:00:00
CA843,Room1,2025-03-06T14:00:00
CA846,Room7,2025-03-04T14:00:00
CA906,Room9,2025-03-11T14:00:00
CA942,Room8,2025-03-11T14:00:00
CH011,Room8,2025-03-11T14:00:00
CH113,Room3,2025-03-11T14:00:00
CH190,Room9,2025-03-11T14:00:00
CH197,Room8,2025-03-05T14:00:00
CH221,Room8,2025-03-11T14:00:00
CH234,Room3,2025-03-10T14:00:00
CH314,Room8,2025-03-03T14:00:00
CH585,Room6,2025-03-04T14:00:00
CH617,Room10,2025-03-03T14:00:00
CH639,Room7,2025-03-11T10:00:00
CH656,Room8,2025-03-10T10:00:00
CH772,Room3,2025-03-06T14:00:00
CH816,Room2,2025-03-11T10:00:00
CH901,Room7,2025-03-11T10:00:00
CH932,Room1,2025-03-11T10:00:00
CH996,Room2,2025-03-10T14:00:00
EN159,Room8,2025-03-10T14:00:00
EN251,Room2,2025-03-05T14:00:00
EN293,Room9,2025-03-04T10:00:00
EN324,Room10,2025-03-10T14:00:00
EN397,Room7,2025-03-03T14:00:00
EN421,Room5,2025-03-03T14:00:00
EN426,Room9,2025-03-03T14:00:00
EN657,Room9,2025-03-03T14:00:00
EN693,Room10,2025-03-03T14:00:00
EN715,Room10,2025-03-03T14:00:00
EN724,Room4,2025-03-10T14:00:00
EN758,Room9,2025-03-06T14:00:00
EN796,Room10,2025-03-10T14:00:00
EN910,Room9,2025-03-11T14:00:00
EN924,Room10,2025-03-10T14:00:00
EN969,Room10,2025-03-10T14:00:00
GO043,Room10,2025-03-11T14:00:00
GO092,Room1,2025-03-11T14:00:00
GO203,Room8,2025-03-10T10:00:00
GO245,Room7,2025-03-11T14:00:00
GO298,Room2,2025-03-11T14:00:00
GO336,Room7,2025-03-10T14:00:00
GO572,Room9,2025-03-10T14:00:00
GO622,Room10,2025-03-10T14:00:00
GO651,Room10,2025-03-07T14:00:00
GO656,Room10,2025-03-06T10:00:00
GO659,Room10,2025-03-03T14:00:00
GO715,Room10,2025-03-03T14:00:00
GO873,Room10,2025-03-03T14:00:00
GO952,Room9,2025-03-06T14:00:00
GO989,Room9,2025-03-10T10:00:00
HI003,Room10,2025-03-10T14:00:00
HI038,Room10,2025-03-10T14:00:00
HI123,Room4,2025-03-10T14:00:00
HI163,Room7,2025-03-10T14:00:00
HI334,Room8,2025-03-10T14:00:00
HI473,Room7,2025-03-10T10:00:00
HI640,Room9,2025-03-10T10:00:00
HI655,Room9,2025-03-04T10:00:00
HI704,Room4,2025-03-11T10:00:00
HI875,Room7,2025-03-03T14:00:00
HI910,Room8,2025-03-11T10:00:00
HI957,Room8,2025-03-03T14:00:00
HI977,Room4,2025-03-03T14:00:00
HI984,Room3,2025-03-10T10:00:00
HI993,Room6,2025-03-03T14:00:00
MA112,Room9,2025-03-03T14:00:00
MA123,Room6,2025-03-11T10:00:00
MA322,Room6,2025-03-04T14:00:00
MA399,Room10,2025-03-04T14:00:00
MA404,Room10,2025-03-07T10:00:00
MA480,Room3,2025-03-04T10:00:00
MA505,Room9,2025-03-04T10:00:00
MA516,Room9,2025-03-04T14:00:00
MA541,Room10,2025-03-04T10:00:00
MA602,Room9,2025-03-04T10:00:00
MA707,Room9,2025-03-03T10:00:00
MA746,Room8,2025-03-03T10:00:00
MA801,Room9,2025-03-06T10:00:00
MA845,Room10,2025-03-03T10:00:00
MA854,Room9,2025-03-05T14:00:00
MA923,Room10,2025-03-05T14:00:00
PY031,Room5,2025-03-10T10:00:00
PY106,Room10,2025-03-10T10:00:00
PY135,Room8,2025-03-10T10:00:00
PY143,Room3,2025-03-03T14:00:00
