courses,room,datetime
BI152,Room19,2025-03-05T14:00:00
BI173,Room15,2025-03-03T14:00:00
BI225,Room18,2025-03-10T10:00:00
BI252,Room15,2025-03-04T10:00:00
BI291,Room10,2025-03-12T10:00:00
BI318,Room20,2025-03-07T14:00:00
BI331,Room19,2025-03-12T14:00:00
BI368,Room16,2025-03-17T10:00:00
BI406,Room11,2025-03-04T14:00:00
BI416,Room15,2025-03-17T14:00:00
BI417,Room21,2025-03-12T10:00:00
BI436,Room14,2025-03-07T14:00:00
BI594,Room18,2025-03-18T14:00:00
BI599,Room21,2025-03-05T10:00:00
BI626,Room8,2025-03-13T14:00:00
BI629,Room8,2025-03-03T14:00:00
BI646,Room6,2025-03-10T14:00:00
BI693,Room3,2025-03-17T14:00:00
BI715,Room11,2025-03-12T14:00:00
BI806,Room9,2025-03-17T14:00:00
BI824,Room21,2025-03-10T14:00:00
BI858,Room15,2025-03-06T10:00:00
BI864,Room11,2025-03-14T14:00:00
BI895,Room2,2025-03-10T14:00:00
BI897,Room10,2025-03-06T10:00:00
BI965,Room1,2025-03-17T14:00:00
BI966,Room16,2025-03-12T14:00:00
BI969,Room21,2025-03-10T10:00:00
BI974,Room20,2025-03-13T10:00:00
CA000,Room16,2025-03-14T10:00:00
CA032,Room11,2025-03-14T14:00:00
CA090,Room7,2025-03-07T10:00:00
CA101,Room7,2025-03-04T10:00:00
CA140,Room18,2025-03-12T14:00:00
CA154,Room10,2025-03-13T14:00:00
CA184,Room11,2025-03-04T14:00:00
CA226,Room1,2025-03-12T14:00:00
CA362,Room21,2025-03-03T10:00:00
CA367,Room20,2025-03-10T14:00:00
CA453,Room16,2025-03-17T14:00:00
CA471,Room4,2025-03-17T14:00:00
CA549,Room15,2025-03-07T14:00:00
CA602,Room2,2025-03-17T10:00:00
CA632,Room14,2025-03-17T14:00:00
CA633,Room11,2025-03-12T14:00:00
CA660,Room12,2025-03-13T14:00:00
CA695,Room1,2025-03-14T10:00:00
CA712,Room13,2025-03-10T14:00:00
CA766,Room1,2025-03-04T14:00:00
CA829,Room17,2025-03-03T14:00:00
CA834,Room17,2025-03-18T10:00:00
CA844,Room15,2025-03-07T10:00:00
CA865,Room14,2025-03-05T14:00:00
CA891,Room11,2025-03-17T14:00:00
CA893,Room1,2025-03-18T14:00:00
CA962,Room1,2025-03-04T14:00:00
CA975,Room7,2025-03-12T14:00:00
CA982,Room17,2025-03-14T14:00:00
CH055,Room2,2025-03-12T10:00:00
CH065,Room4,2025-03-17T14:00:00
CH125,Room2,2025-03-10T14:00:00
CH126,Room11,2025-03-17T14:00:00
CH137,Room10,2025-03-07T14:00:00
CH178,Room12,2025-03-07T10:00:00
CH185,Room20,2025-03-04T10:00:00
CH217,Room21,2025-03-06T10:00:00
CH256,Room13,2025-03-17T14:00:00
CH292,Room19,2025-03-04T14:00:00
CH402,Room16,2025-03-04T10:00:00
CH483,Room21,2025-03-17T14:00:00
CH515,Room6,2025-03-12T14:00:00
CH544,Room16,2025-03-14T14:00:00
CH627,Room18,2025-03-12T14:00:00
CH634,Room17,2025-03-06T10:00:00
CH638,Room11,2025-03-03T10:00:00
CH706,Room19,2025-03-10T14:00:00
CH726,Room21,2025-03-10T14:00:00
CH745,Room13,2025-03-14T14:00:00
CH794,Room6,2025-03-17T14:00:00
CH797,Room16,2025-03-06T14:00:00
CH812,Room16,2025-03-18T14:00:00
CH852,Room17,2025-03-04T10:00:00
CH883,Room12,2025-03-17T10:00:00
CH920,Room18,2025-03-17T14:00:00
CH924,Room9,2025-03-18T10:00:00
CH947,Room11,2025-03-13T14:00:00
CH983,Room8,2025-03-04T14:00:00
EN023,Room19,2025-03-05T10:00:00
EN054,Room7,2025-03-17T14:00:00
EN131,Room8,2025-03-14T14:00:00
EN157,Room8,2025-03-04T10:00:00
EN162,Room13,2025-03-07T10:00:00
EN172,Room10,2025-03-10T14:00:00
EN213,Room16,2025-03-05T10:00:00
EN223,Room15,2025-03-18T10:00:00
EN263,Room18,2025-03-03T10:00:00
EN287,Room19,2025-03-12T10:00:00
EN335,Room18,2025-03-18T14:00:00
EN385,Room14,2025-03-05T10:00:00
EN412,Room17,2025-03-17T10:00:00
EN448,Room14,2025-03-04T10:00:00
EN456,Room1,2025-03-07T14:00:00
EN489,Room20,2025-03-07T10:00:00
EN507,Room7,2025-03-13T14:00:00
EN535,Room11,2025-03-06T10:00:00
EN563,Room14,2025-03-18T10:00:00
EN580,Room15,2025-03-14T14:00:00
EN639,Room13,2025-03-04T14:00:00
EN666,Room14,2025-03-10T14:00:00
EN677,Room21,2025-03-04T14:00:00
EN701,Room20,2025-03-12T10:00:00
EN709,Room20,2025-03-04T10:00:00
EN834,Room16,2025-03-18T14:00:00
EN849,Room13,2025-03-14T10:00:00
EN949,Room19,2025-03-10T14:00:00
EN987,Room18,2025-03-07T10:00:00
GO004,Room7,2025-03-10T14:00:00
GO040,Room8,2025-03-04T10:00:00
GO146,Room19,2025-03-07T10:00:00
GO149,Room16,2025-03-04T14:00:00
GO175,Room17,2025-03-04T14:00:00
GO190,Room15,2025-03-14T14:00:00
GO198,Room10,2025-03-18T14:00:00
GO212,Room18,2025-03-10T10:00:00
GO216,Room20,2025-03-14T14:00:00
GO247,Room5,2025-03-07T14:00:00
GO279,Room9,2025-03-18T10:00:00
GO324,Room1,2025-03-12T14:00:00
GO370,Room21,2025-03-05T14:00:00
GO390,Room2,2025-03-13T10:00:00
GO404,Room16,2025-03-17T14:00:00
GO408,Room21,2025-03-07T14:00:00
GO412,Room1,2025-03-03T10:00:00
GO471,Room21,2025-03-10T14:00:00
GO602,Room20,2025-03-14T14:00:00
GO638,Room11,2025-03-17T14:00:00
GO673,Room20,2025-03-04T10:00:00
GO679,Room2,2025-03-10T14:00:00
GO695,Room16,2025-03-07T14:00:00
GO772,Room18,2025-03-03T14:00:00
GO892,Room8,2025-03-18T14:00:00
GO928,Room15,2025-03-10T10:00:00
GO938,Room11,2025-03-04T10:00:00
GO949,Room10,2025-03-05T10:00:00
GO997,Room17,2025-03-07T10:00:00
HI033,Room16,2025-03-13T14:00:00
HI080,Room19,2025-03-05T14:00:00
HI128,Room5,2025-03-12T14:00:00
HI167,Room2,2025-03-13T14:00:00
HI169,Room12,2025-03-14T14:00:00
HI361,Room19,2025-03-03T10:00:00
HI373,Room6,2025-03-17T14:00:00
HI420,Room20,2025-03-11T10:00:00
HI434,Room20,2025-03-12T14:00:00
HI544,Room8,2025-03-17T10:00:00
HI547,Room13,2025-03-12T14:00:00
HI552,Room10,2025-03-14T10:00:00
HI589,Room20,2025-03-03T14:00:00
HI593,Room17,2025-03-12T10:00:00
HI609,Room8,2025-03-10T10:00:00
HI620,Room13,2025-03-14T10:00:00
HI637,Room13,2025-03-18T14:00:00
HI648,Room14,2025-03-07T14:00:00
HI676,Room17,2025-03-13T10:00:00
HI700,Room17,2025-03-05T14:00:00
HI759,Room1,2025-03-17T14:00:00
HI775,Room12,2025-03-12T10:00:00
HI817,Room13,2025-03-14T14:00:00
HI875,Room13,2025-03-03T10:00:00
HI912,Room2,2025-03-07T10:00:00
HI916,Room4,2025-03-12T10:00:00
