courses,room,datetime
BI066,Room28,2025-03-06T14:00:00
BI078,Room21,2025-03-18T14:00:00
BI130,Room27,2025-03-07T14:00:00
BI131,Room13,2025-03-24T14:00:00
BI165,Room23,2025-03-26T14:00:00
BI184,Room19,2025-03-24T14:00:00
BI190,Room17,2025-03-14T14:00:00
BI191,Room19,2025-03-07T14:00:00
BI210,Room14,2025-03-14T10:00:00
BI241,Room21,2025-03-14T14:00:00
BI254,Room29,2025-03-07T10:00:00
BI258,Room24,2025-03-05T10:00:00
BI263,Room16,2025-03-18T10:00:00
BI269,Room9,2025-03-21T10:00:00
BI272,Room23,2025-03-18T14:00:00
BI288,Room23,2025-03-19T14:00:00
BI297,Room19,2025-03-21T14:00:00
BI311,Room21,2025-03-26T14:00:00
BI312,Room24,2025-03-04T14:00:00
BI328,Room19,2025-03-10T14:00:00
BI336,Room24,2025-03-25T14:00:00
BI341,Room29,2025-03-03T10:00:00
BI352,Room29,2025-03-17T14:00:00
BI358,Room28,2025-03-11T14:00:00
BI360,Room4,2025-03-25T10:00:00
BI378,Room29,2025-03-10T14:00:00
BI379,Room1,2025-03-05T10:00:00
BI449,Room10,2025-03-05T10:00:00
BI453,Room29,2025-03-06T14:00:00
BI465,Room19,2025-03-26T10:00:00
BI488,Room20,2025-03-05T10:00:00
BI492,Room9,2025-03-04T14:00:00
BI511,Room1,2025-03-10T14:00:00
BI534,Room28,2025-03-14T14:00:00
BI542,Room19,2025-03-26T14:00:00
BI564,Room3,2025-03-18T10:00:00
BI573,Room26,2025-03-14T14:00:00
BI588,Room27,2025-03-21T10:00:00
BI589,Room21,2025-03-05T10:00:00
BI609,Room19,2025-03-05T10:00:00
BI627,Room28,2025-03-21T10:00:00
BI639,Room22,2025-03-18T10:00:00
BI657,Room26,2025-03-24T14:00:00
BI668,Room11,2025-03-04T14:00:00
BI711,Room3,2025-03-10T14:00:00
BI718,Room13,2025-03-18T10:00:00
BI734,Room5,2025-03-17T14:00:00
BI738,Room24,2025-03-25T14:00:00
BI749,Room26,2025-03-11T10:00:00
BI757,Room21,2025-03-13T14:00:00
BI761,Room22,2025-03-21T10:00:00
BI765,Room3,2025-03-17T14:00:00
BI772,Room7,2025-03-20T10:00:00
BI782,Room14,2025-03-10T14:00:00
BI785,Room27,2025-03-11T14:00:00
BI800,Room2,2025-03-24T14:00:00
BI809,Room15,2025-03-05T10:00:00
BI820,Room25,2025-03-26T14:00:00
BI857,Room7,2025-03-14T14:00:00
BI864,Room14,2025-03-07T14:00:00
BI867,Room23,2025-03-21T10:00:00
BI888,Room25,2025-03-04T10:00:00
BI935,Room26,2025-03-20T10:00:00
BI980,Room21,2025-03-06T14:00:00
BI983,Room13,2025-03-12T14:00:00
BI984,Room29,2025-03-14T14:00:00
BI989,Room26,2025-03-10T10:00:00
BI991,Room24,2025-03-17T14:00:00
BI996,Room24,2025-03-24T10:00:00
CA024,Room15,2025-03-18T10:00:00
CA034,Room23,2025-03-17T10:00:00
CA071,Room10,2025-03-07T14:00:00
CA096,Room29,2025-03-07T10:00:00
CA111,Room21,2025-03-21T10:00:00
CA183,Room6,2025-03-10T10:00:00
CA184,Room3,2025-03-13T14:00:00
CA203,Room10,2025-03-07T10:00:00
CA229,Room20,2025-03-26T14:00:00
CA235,Room23,2025-03-21T14:00:00
CA238,Room26,2025-03-04T14:00:00
CA247,Room12,2025-03-14T14:00:00
CA255,Room22,2025-03-12T10:00:00
CA256,Room29,2025-03-10T14:00:00
CA309,Room23,2025-03-05T10:00:00
CA320,Room13,2025-03-10T10:00:00
CA333,Room21,2025-03-26T10:00:00
CA338,Room29,2025-03-13T14:00:00
CA364,Room17,2025-03-19T10:00:00
CA374,Room29,2025-03-10T14:00:00
CA383,Room22,2025-03-19T14:00:00
CA390,Room6,2025-03-21T10:00:00
CA397,Room20,2025-03-13T10:00:00
CA398,Room3,2025-03-24T10:00:00
CA415,Room18,2025-03-13T10:00:00
CA416,Room26,2025-03-07T14:00:00
CA417,Room8,2025-03-10T14:00:00
CA436,Room20,2025-03-17T14:00:00
CA462,Room28,2025-03-24T14:00:00
CA471,Room23,2025-03-24T14:00:00
CA472,Room28,2025-03-04T14:00:00
CA474,Room4,2025-03-14T14:00:00
CA475,Room22,2025-03-11T14:00:00
CA482,Room21,2025-03-21T10:00:00
CA492,Room15,2025-03-25T10:00:00
CA507,Room19,2025-03-19T14:00:00
CA517,Room20,2025-03-03T10:00:00
CA521,Room29,2025-03-10T14:00:00
CA533,Room22,2025-03-12T14:00:00
CA553,Room27,2025-03-14T14:00:00
CA569,Room27,2025-03-21T10:00:00
CA573,Room23,2025-03-21T14:00:00
CA574,Room23,2025-03-10T10:00:00
CA595,Room3,2025-03-26T14:00:00
CA604,Room19,2025-03-18T14:00:00
CA630,Room20,2025-03-10T14:00:00
CA641,Room19,2025-03-05T10:00:00
CA658,Room16,2025-03-17T14:00:00
CA708,Room28,2025-03-11T10:00:00
CA713,Room24,2025-03-21T14:00:00
CA724,Room24,2025-03-13T10:00:00
CA730,Room18,2025-03-25T10:00:00
CA786,Room13,2025-03-11T14:00:00
CA790,Room24,2025-03-24T14:00:00
CA795,Room3,2025-03-26T10:00:00
CA796,Room19,2025-03-05T10:00:00
CA808,Room14,2025-03-18T10:00:00
CA812,Room25,2025-03-07T14:00:00
CA837,Room23,2025-03-03T10:00:00
CA843,Room26,2025-03-05T10:00:00
CA894,Room28,2025-03-19T14:00:00
CA895,Room20,2025-03-14T10:00:00
CA896,Room18,2025-03-19T10:00:00
CA900,Room21,2025-03-05T14:00:00
CA913,Room23,2025-03-18T10:00:00
CA930,Room11,2025-03-10T14:00:00
CA931,Room22,2025-03-10T10:00:00
CA941,Room29,2025-03-06T10:00:00
CA973,Room29,2025-03-14T14:00:00
CA986,Room19,2025-03-04T14:00:00
CH009,Room21,2025-03-13T10:00:00
CH065,Room29,2025-03-07T10:00:00
CH088,Room6,2025-03-14T14:00:00
CH091,Room16,2025-03-24T14:00:00
CH093,Room16,2025-03-25T10:00:00
CH101,Room17,2025-03-06T14:00:00
CH116,Room13,2025-03-10T14:00:00
CH120,Room11,2025-03-18T14:00:00
CH132,Room24,2025-03-14T14:00:00
CH133,Room14,2025-03-05T10:00:00
CH142,Room12,2025-03-10T14:00:00
CH151,Room8,2025-03-26T14:00:00
CH152,Room27,2025-03-21T14:00:00
CH175,Room6,2025-03-10T14:00:00
CH182,Room26,2025-03-19T14:00:00
CH189,Room29,2025-03-17T14:00:00
CH190,Room20,2025-03-24T14:00:00
CH191,Room14,2025-03-10T10:00:00
CH199,Room14,2025-03-03T10:00:00
CH221,Room27,2025-03-07T14:00:00
CH235,Room9,2025-03-26T14:00:00
CH240,Room24,2025-03-05T10:00:00
CH270,Room6,2025-03-04T14:00:00
CH313,Room29,2025-03-24T10:00:00
CH365,Room23,2025-03-10T10:00:00
CH411,Room1,2025-03-05T10:00:00
CH416,Room26,2025-03-17T14:00:00
CH433,Room13,2025-03-19T14:00:00
CH444,Room2,2025-03-05T10:00:00
CH461,Room24,2025-03-06T10:00:00
CH462,Room17,2025-03-13T10:00:00
CH475,Room19,2025-03-11T14:00:00
CH515,Room23,2025-03-25T10:00:00
CH572,Room18,2025-03-05T14:00:00
CH590,Room29,2025-03-07T14:00:00
CH594,Room7,2025-03-18T10:00:00
CH598,Room18,2025-03-21T10:00:00
CH606,Room9,2025-03-24T14:00:00
CH635,Room28,2025-03-14T14:00:00
CH637,Room19,2025-03-13T10:00:00
CH638,Room28,2025-03-10T10:00:00
CH639,Room27,2025-03-21T14:00:00
CH658,Room29,2025-03-18T10:00:00
CH668,Room21,2025-03-07T10:00:00
CH677,Room25,2025-03-26T10:00:00
CH699,Room27,2025-03-04T14:00:00
CH704,Room17,2025-03-18T10:00:00
CH721,Room5,2025-03-21T14:00:00
CH740,Room25,2025-03-11T14:00:00
CH764,Room10,2025-03-21T10:00:00
CH780,Room26,2025-03-07T14:00:00
CH785,Room10,2025-03-26T14:00:00
CH853,Room26,2025-03-10T14:00:00
CH868,Room20,2025-03-12T14:00:00
CH869,Room17,2025-03-04T10:00:00
CH870,Room14,2025-03-10T10:00:00
CH889,Room21,2025-03-25T10:00:00
CH894,Room29,2025-03-24T10:00:00
CH908,Room15,2025-03-26T14:00:00
CH930,Room17,2025-03-17T14:00:00
CH943,Room24,2025-03-12T14:00:00
CH967,Room22,2025-03-26T10:00:00
CH973,Room14,2025-03-17T10:00:00
CH984,Room21,2025-03-18T14:00:00
CH986,Room27,2025-03-06T14:00:00
CH996,Room29,2025-03-13T10:00:00
CH997,Room18,2025-03-07T14:00:00
EN001,Room5,2025-03-10T14:00:00
EN018,Room19,2025-03-10T10:00:00
EN057,Room25,2025-03-18T10:00:00
EN114,Room24,2025-03-05T10:00:00
EN116,Room13,2025-03-04T14:00:00
EN141,Room14,2025-03-14T14:00:00
EN145,Room6,2025-03-05T10:00:00
EN154,Room24,2025-03-05T10:00:00
EN170,Room25,2025-03-07T10:00:00
EN174,Room28,2025-03-13T14:00:00
EN175,Room23,2025-03-10T14:00:00
EN220,Room1,2025-03-24T14:00:00
EN283,Room22,2025-03-24T10:00:00
EN288,Room26,2025-03-20T10:00:00
EN308,Room20,2025-03-11T10:00:00
EN315,Room24,2025-03-18T10:00:00
EN324,Room3,2025-03-21T10:00:00
EN333,Room15,2025-03-24T14:00:00
EN336,Room9,2025-03-14T14:00:00
EN348,Room13,2025-03-10T14:00:00
EN350,Room21,2025-03-10T14:00:00
EN379,Room16,2025-03-24T14:00:00
EN385,Room4,2025-03-26T14:00:00
EN392,Room17,2025-03-18T10:00:00
EN401,Room24,2025-03-24T14:00:00
EN404,Room8,2025-03-18T10:00:00
EN406,Room28,2025-03-05T10:00:00
EN416,Room18,2025-03-26T14:00:00
EN432,Room18,2025-03-18T10:00:00
EN442,Room18,2025-03-05T10:00:00
EN484,Room25,2025-03-18T10:00:00
EN485,Room21,2025-03-03T14:00:00
EN486,Room21,2025-03-03T14:00:00
EN514,Room25,2025-03-12T14:00:00
EN538,Room25,2025-03-11T14:00:00
EN578,Room28,2025-03-13T14:00:00
EN618,Room27,2025-03-21T14:00:00
EN655,Room25,2025-03-06T14:00:00
EN669,Room25,2025-03-19T14:00:00
EN672,Room16,2025-03-21T10:00:00
EN698,Room20,2025-03-07T10:00:00
EN702,Room17,2025-03-13T14:00:00
EN706,Room23,2025-03-11T14:00:00
EN713,Room1,2025-03-07T10:00:00
EN722,Room16,2025-03-18T10:00:00
EN738,Room12,2025-03-24T10:00:00
EN770,Room6,2025-03-21T14:00:00
EN778,Room26,2025-03-14T14:00:00
EN783,Room16,2025-03-26T10:00:00
EN798,Room29,2025-03-24T10:00:00
EN803,Room27,2025-03-10T10:00:00
EN806,Room3,2025-03-05T10:00:00
EN819,Room24,2025-03-06T14:00:00
EN823,Room9,2025-03-21T10:00:00
EN834,Room22,2025-03-10T14:00:00
EN846,Room26,2025-03-04T14:00:00
EN852,Room2,2025-03-03T10:00:00
EN905,Room22,2025-03-24T14:00:00
EN906,Room1,2025-03-06T14:00:00
EN909,Room19,2025-03-26T14:00:00
EN931,Room1,2025-03-13T10:00:00
EN937,Room25,2025-03-10T14:00:00
EN943,Room5,2025-03-21T10:00:00
EN948,Room13,2025-03-03T10:00:00
EN955,Room20,2025-03-05T10:00:00
EN959,Room23,2025-03-04T14:00:00
EN993,Room27,2025-03-13T14:00:00
EN996,Room21,2025-03-04T14:00:00
GO024,Room24,2025-03-07T10:00:00
GO039,Room28,2025-03-17T14:00:00
GO040,Room20,2025-03-13T14:00:00
GO060,Room28,2025-03-11T10:00:00
GO103,Room1,2025-03-18T10:00:00
GO131,Room21,2025-03-26T14:00:00
GO143,Room2,2025-03-07T14:00:00
GO148,Room28,2025-03-14T14:00:00
GO168,Room12,2025-03-24T14:00:00
GO171,Room20,2025-03-10T14:00:00
GO172,Room22,2025-03-13T10:00:00
GO179,Room16,2025-03-13T14:00:00
GO183,Room23,2025-03-13T14:00:00
GO190,Room16,2025-03-03T10:00:00
GO207,Room8,2025-03-11T14:00:00
GO208,Room29,2025-03-04T14:00:00
GO215,Room10,2025-03-26T14:00:00
GO216,Room13,2025-03-05T10:00:00
GO239,Room20,2025-03-26T14:00:00
GO265,Room23,2025-03-14T14:00:00
GO302,Room19,2025-03-26T14:00:00
GO304,Room19,2025-03-04T14:00:00
GO332,Room22,2025-03-24T10:00:00
GO339,Room9,2025-03-05T10:00:00
GO341,Room26,2025-03-26T10:00:00
GO347,Room18,2025-03-04T14:00:00
GO349,Room2,2025-03-14T14:00:00
GO353,Room16,2025-03-04T14:00:00
GO361,Room2,2025-03-21T14:00:00
GO363,Room24,2025-03-11T14:00:00
GO370,Room26,2025-03-14T14:00:00
GO414,Room20,2025-03-20T10:00:00
GO422,Room14,2025-03-14T14:00:00
GO435,Room7,2025-03-21T14:00:00
GO448,Room12,2025-03-07T14:00:00
GO467,Room25,2025-03-26T14:00:00
GO473,Room18,2025-03-10T14:00:00
GO513,Room22,2025-03-24T10:00:00
GO540,Room7,2025-03-24T14:00:00
GO595,Room17,2025-03-20T10:00:00
GO611,Room25,2025-03-07T10:00:00
GO643,Room17,2025-03-03T10:00:00
GO648,Room8,2025-03-24T14:00:00
GO655,Room1,2025-03-26T14:00:00
GO669,Room17,2025-03-18T10:00:00
GO684,Room15,2025-03-21T10:00:00
GO691,Room14,2025-03-07T10:00:00
GO719,Room28,2025-03-11T14:00:00
