courses,room,datetime
BI134,Room10,2025-03-06T10:00:00
BI179,Room2,2025-03-03T10:00:00
BI244,Room11,2025-03-11T10:00:00
BI307,Room10,2025-03-11T10:00:00
BI361,Room11,2025-03-06T10:00:00
BI413,Room4,2025-03-10T14:00:00
BI415,Room10,2025-03-04T14:00:00
BI421,Room12,2025-03-06T10:00:00
BI510,Room10,2025-03-06T10:00:00
BI553,Room5,2025-03-11T10:00:00
BI617,Room10,2025-03-07T10:00:00
BI673,Room9,2025-03-11T10:00:00
BI681,Room12,2025-03-11T10:00:00
BI735,Room6,2025-03-11T10:00:00
BI774,Room6,2025-03-11T10:00:00
BI809,Room10,2025-03-11T10:00:00
BI813,Room12,2025-03-05T10:00:00
BI888,Room9,2025-03-03T10:00:00
BI929,Room11,2025-03-10T14:00:00
BI961,Room8,2025-03-04T14:00:00
BI985,Room8,2025-03-07T10:00:00
CA088,Room9,2025-03-04T14:00:00
CA137,Room8,2025-03-03T10:00:00
CA176,Room1,2025-03-06T10:00:00
CA244,Room11,2025-03-10T14:00:00
CA385,Room12,2025-03-11T10:00:00
CA448,Room6,2025-03-06T10:00:00
CA485,Room12,2025-03-03T14:00:00
CA578,Room12,2025-03-07T10:00:00
CA598,Room6,2025-03-06T10:00:00
CA601,Room8,2025-03-11T10:00:00
CA645,Room3,2025-03-11T10:00:00
CA662,Room2,2025-03-10T14:00:00
CA868,Room1,2025-03-06T10:00:00
CA885,Room3,2025-03-03T10:00:00
CA894,Room4,2025-03-07T10:00:00
CA907,Room7,2025-03-03T10:00:00
CA946,Room6,2025-03-04T14:00:00
CA966,Room2,2025-03-06T10:00:00
CA987,Room12,2025-03-03T10:00:00
CA995,Room11,2025-03-10T14:00:00
CH006,Room3,2025-03-07T10:00:00
CH128,Room9,2025-03-06T10:00:00
CH172,Room3,2025-03-11T10:00:00
CH198,Room12,2025-03-04T14:00:00
CH238,Room1,2025-03-07T10:00:00
CH304,Room7,2025-03-03T10:00:00
CH325,Room11,2025-03-06T10:00:00
CH373,Room11,2025-03-04T14:00:00
CH460,Room12,2025-03-03T14:00:00
CH553,Room12,2025-03-07T10:00:00
CH633,Room9,2025-03-11T10:00:00
CH741,Room11,2025-03-04T14:00:00
