courses,room,datetime
BI120,Room10,2025-03-17T10:00:00
BI137,Room18,2025-03-03T10:00:00
BI216,Room18,2025-03-07T14:00:00
BI253,Room11,2025-03-03T10:00:00
BI333,Room3,2025-03-03T10:00:00
BI351,Room5,2025-03-10T14:00:00
BI372,Room14,2025-03-04T10:00:00
BI472,Room17,2025-03-12T10:00:00
BI495,Room15,2025-03-05T10:00:00
BI538,Room11,2025-03-05T10:00:00
BI545,Room18,2025-03-12T14:00:00
BI562,Room8,2025-03-04T14:00:00
BI675,Room17,2025-03-12T14:00:00
BI811,Room6,2025-03-11T14:00:00
BI846,Room17,2025-03-07T10:00:00
BI896,Room15,2025-03-10T14:00:00
BI909,Room17,2025-03-13T14:00:00
BI910,Room6,2025-03-04T10:00:00
BI948,Room17,2025-03-10T14:00:00
BI990,Room3,2025-03-13T10:00:00
CA015,Room4,2025-03-12T14:00:00
CA023,Room15,2025-03-17T10:00:00
CA127,Room12,2025-03-12T14:00:00
CA175,Room9,2025-03-11T14:00:00
CA181,Room16,2025-03-11T14:00:00
CA182,Room13,2025-03-17T10:00:00
CA442,Room1,2025-03-11T14:00:00
CA480,Room14,2025-03-07T10:00:00
CA500,Room11,2025-03-17T14:00:00
CA558,Room12,2025-03-17T14:00:00
CA567,Room17,2025-03-17T14:00:00
CA597,Room18,2025-03-17T14:00:00
CA603,Room15,2025-03-17T14:00:00
CA674,Room14,2025-03-17T14:00:00
CA677,Room9,2025-03-17T14:00:00
CA767,Room7,2025-03-17T14:00:00
CA779,Room18,2025-03-17T14:00:00
CA791,Room1,2025-03-17T14:00:00
CA845,Room7,2025-03-05T10:00:00
CA886,Room18,2025-03-17T10:00:00
CH008,Room5,2025-03-17T10:00:00
CH162,Room14,2025-03-14T10:00:00
CH213,Room17,2025-03-17T10:00:00
CH238,Room1,2025-03-06T10:00:00
CH287,Room14,2025-03-12T14:00:00
CH404,Room3,2025-03-17T14:00:00
CH423,Room5,2025-03-14T10:00:00
CH444,Room18,2025-03-06T10:00:00
CH457,Room7,2025-03-04T10:00:00
CH501,Room18,2025-03-12T10:00:00
CH516,Room18,2025-03-06T14:00:00
CH518,Room9,2025-03-11T10:00:00
CH573,Room16,2025-03-04T10:00:00
CH591,Room17,2025-03-05T10:00:00
CH627,Room4,2025-03-10T14:00:00
CH643,Room7,2025-03-13T14:00:00
CH653,Room15,2025-03-14T14:00:00
CH826,Room14,2025-03-07T14:00:00
CH840,Room12,2025-03-07T10:00:00
CH927,Room13,2025-03-13T10:00:00
EN091,Room6,2025-03-11T10:00:00
EN116,Room18,2025-03-03T14:00:00
EN134,Room17,2025-03-05T14:00:00
EN154,Room13,2025-03-12T14:00:00
EN184,Room7,2025-03-03T10:00:00
EN243,Room7,2025-03-07T14:00:00
EN252,Room15,2025-03-04T14:00:00
EN304,Room16,2025-03-06T14:00:00
EN627,Room9,2025-03-03T10:00:00
EN670,Room10,2025-03-07T14:00:00
EN727,Room17,2025-03-07T10:00:00
EN743,Room6,2025-03-07T14:00:00
EN751,Room8,2025-03-11T10:00:00
EN766,Room16,2025-03-17T14:00:00
EN777,Room13,2025-03-05T14:00:00
EN883,Room8,2025-03-03T14:00:00
EN885,Room5,2025-03-07T14:00:00
EN946,Room7,2025-03-10T10:00:00
EN967,Room15,2025-03-04T14:00:00
EN979,Room7,2025-03-04T14:00:00
GO012,Room18,2025-03-07T14:00:00
GO067,Room16,2025-03-04T10:00:00
GO088,Room5,2025-03-11T14:00:00
GO137,Room13,2025-03-04T14:00:00
GO187,Room5,2025-03-03T14:00:00
GO188,Room12,2025-03-04T14:00:00
GO331,Room16,2025-03-14T10:00:00
GO367,Room5,2025-03-04T14:00:00
GO380,Room9,2025-03-17T14:00:00
GO428,Room18,2025-03-04T14:00:00
GO484,Room5,2025-03-12T10:00:00
GO519,Room17,2025-03-13T14:00:00
GO575,Room14,2025-03-14T14:00:00
GO597,Room5,2025-03-05T10:00:00
GO618,Room10,2025-03-14T10:00:00
GO791,Room5,2025-03-12T10:00:00
